spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,549.75,15029453.21,465.39,70774491.54,1540.61,88.125,0.105,0,0,0,0,0,0,0,12290,120766,356894026,2783810259,360031333,363868401,35,305841,305925,53467006210,481092,481244,54130161295,1115075780,15446183061,6313689051,35979265,39413711,153016323,71,159,1396,6635094173,9252316589,26.98
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,1927.17,40345786.07,257.811,66001780.62,2363.212,7.068,0.216,0,0,1.367,0.526,12080.788,767.697,121.212,15637,172644,552079008,3926502919,450522254,457134662,37,292529,292642,70621476464,618691,618841,60036160412,1566776422,18742794819,8078774814,54045896,62011536,166020114,409,292,877,7477135350,11764838475,50.993
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,246.807,8290482.553,495.53,47982632.89,2219.856,11.242,0.189,0,0,7.682,0.485,4975.367,2325.894,121.212,7203,67554,333686969,2595122479,365619352,366054802,45,520185,520249,51477915806,359995,360153,51158503056,1053481397,15967048481,6806257302,27890563,47139956,138179066,2466,1910,5600,6511620339,9974090479,19.284
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,21.42,4933816.633,189.701,23131627.66,2214.28,13.538,0.091,0,0,24.068,0.023,0,7742.17,121.212,7590,70388,390178494,2491132031,336644955,345124138,32,272331,272393,50820767490,353398,353552,56040248378,980486352,16003604660,6379384115,33897724,52549953,133583851,0,0,462,6335162069,10405227718,19.239
1,4,117,0.46,0.65,1,0,1,1,109,1,0,87,0,2,30,29,9,5,326,102,633,30,2,91,398,9,7,6,2,517.867,18787928.03,217.784,55201897.84,2278.576,6.909,0.178,0,0,2.974,1.542,11223.152,1625.333,121.212,10693,77407,441432219,2708275007,361082751,361645995,38,297918,298000,55575554156,379086,379246,55612751898,1006908521,15847613363,6333858041,40596408,61374473,155453399,0,0,513,6679745566,9937322470,37.721
4,6,94,0.84,0.55,1,0,0,0,49,0,0,121,0,3,28,2,9,10,171,7,1008,37,1,36,459,10,6,7,8,665.686,13318058.41,242.458,29393806.51,2266.25,17.47,0.242,0,0,4.511,1.462,10401.652,2446.833,121.212,8720,69333,375094581,2630696837,365376973,367676751,33,314453,314524,52399895767,353671,353828,50246742055,956186470,15182163604,6511322623,35873642,44929019,141303484,58,8,809,6271876417,9596012853,24.028
8,5,55,0.71,0.69,0,0,1,0,84,0,1,98,1,5,86,120,4,5,453,16,962,2,2,93,424,14,8,7,6,240.962,7069940.704,351.068,43807371.63,2246.731,34.576,0.167,0,0,7.917,0.898,5173.47,2568.701,121.212,9290,86437,447433661,3059362321,398495950,382865499,32,273702,273756,60910030757,394603,394762,59723682902,1421868049,18594751033,7062125666,35865673,66954309,163893760,8,177,1132,6856650390,13011950930,18.067
5,2,113,0.54,0.5,0,1,1,1,82,1,1,21,1,1,15,134,3,7,393,71,135,17,2,62,490,10,7,1,6,154.686,7081766.152,291.492,34595940.04,2238.337,46.652,0.265,0,0,9.833,0.576,4553.004,3189.167,121.212,7316,71089,378168580,2602096118,364747777,356592074,32,233488,233568,47817547919,355271,355421,49339866551,1023300872,14866679536,6502542315,29722411,38719748,129925124,0,0,490,6067423395,9344332393,18.938
3,1,127,0.75,0.48,1,0,1,0,125,0,1,52,0,3,68,38,7,8,919,109,609,33,3,51,467,6,5,6,8,369.061,9641327.352,319.159,48416328.73,2242.42,9.72,0.296,0,0,4.837,1.254,10180.015,2668.47,121.212,9350,72991,355882975,2612119385,358816203,359935891,32,356744,356812,52105859417,369255,369414,53693387564,1123154156,16232217242,6809780105,36800291,52077755,149582736,1700,1964,3988,6613793896,10145207322,27.213
3,3,104,0.78,0.75,0,0,2,1,92,0,1,116,0,5,109,179,9,4,888,52,387,25,1,70,243,5,4,5,7,14.776,5280024.917,175.648,21007855.32,2189.034,1.58,0.072,0,0,24.068,0.008,0,12848.485,121.212,7453,70094,345745139,2516483430,350302905,357764173,32,312142,312181,49985080453,352289,352442,51452602714,1041413217,15702481929,6589695674,32752334,57771660,132575108,181,0,737,6167149347,9898239152,25.501
6,2,50,0.84,0.73,0,1,1,1,76,0,0,28,0,3,97,14,5,7,523,75,916,48,2,86,260,15,7,6,7,359.773,9439102.511,284.197,37650907.54,2245.239,19.659,0.216,0,0,8.087,4.057,8504.492,4343.992,121.212,6863,68597,310076897,2360464649,322648414,327101881,32,247065,247129,47707274940,348338,348496,51422965617,943315880,15351189283,6344091274,30240126,53303969,133307128,0,63,715,5952617772,9975392066,17.459
2,1,49,0.63,0.36,1,1,1,1,34,1,0,91,1,4,11,92,9,6,712,43,557,48,1,97,148,12,4,2,1,116.924,8405441.269,198.848,28148523.53,2216.883,6.371,0.091,0,0,8.019,0.83,5151.576,2590.595,121.212,6130,68635,324279597,2394470351,345089209,347097221,32,307703,307770,47716560504,348385,348535,50225902202,936133158,14751222235,6109300166,28490117,50745271,133582730,7,0,825,5986600880,9183498986,22.171
