spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,250.875,12953767.37,499.735,108962492.3,2259.053,17.17,0.227,0,0,4.924,0.409,418686.515,106789.598,12121.212,12373,105998,360539993,3012194550,364946089,354005529,32,306335,306399,55034137514,443305,443458,53375121417,1244636951,17272408531,6937770577,35546214,43369012,141292545,521,219,1462,6319507779,10346563291,19.921
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,619.098,36245568.87,556.553,128548461.2,2380.303,10.212,0.341,0,0,1.36,0.39,1213128.242,71720.242,12121.212,17009,123056,511525395,3172124636,401605016,411144465,43,306615,306713,67059498242,491879,492027,57140299476,1369898801,18048467343,7500310481,56964341,78328190,175120737,0,0,510,6893381476,10977711451,27.462
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,171.098,9607071.296,1029.439,135384094,2237.405,16.42,0.14,0,0,8.068,0.117,350928.769,174547.345,12121.212,6673,68690,339819080,2725782812,354119181,353790521,75,522288,522393,49938629174,363124,363283,52321697824,1032407663,15818125127,6592732312,27459575,46328850,123744123,2447,1845,4905,6315165433,9646326077,24.377
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,83.258,8374313.057,471.258,80333787.38,2252.553,31.439,0.098,0,0,8.11,0.026,348466.614,174863.992,12121.212,7749,71481,356492459,2650992961,337333519,347990538,46,266585,266667,50666110467,357239,357393,55363549516,990751650,15544542131,6404419013,39235713,48195744,129788135,260,17,579,6358736492,10350460761,19.676
6,6,27,0.54,0.73,0,0,1,0,10,1,1,26,1,3,120,24,8,3,389,54,973,50,1,97,111,6,4,2,7,122.845,8545660.875,469.261,95389690.11,2235.451,60.515,0.125,0,0,8.11,0.102,347813.447,175517.159,12121.212,7506,67236,297875844,2442953951,326778093,329390613,32,285473,285526,46972946550,343402,343552,47509350637,955807924,14404900271,6149042163,32282578,43189589,135682698,228,336,2381,5899097936,9130278917,15.267
6,1,15,0.33,0.71,0,1,1,0,72,0,1,108,0,5,82,8,8,5,187,51,463,44,2,62,353,15,7,1,7,124.697,8051009.583,511.47,71517675.87,2258.254,63.447,0.087,0,0,8.015,0.883,860557.386,424291.098,12121.212,7577,68325,371340598,2694948637,334845891,339827397,32,278693,278760,49481509448,349589,349740,52469468810,1019449396,15903670304,6700545630,35468092,60427734,137439908,29,1128,1455,6691225018,9728082178,16.047
3,4,71,0.79,0.84,1,0,2,0,96,0,1,96,0,3,89,108,10,5,993,98,337,49,2,30,279,2,8,5,3,207.587,11854827.51,606.019,91211276.83,2277.322,36.553,0.174,0,0,4.208,0.875,1062751.182,222097.303,12121.212,10911,74547,427414449,2648530189,352760097,345745981,38,286063,286155,56400760105,366418,366577,51563011457,1077944223,15863370595,6455836795,36757819,75186805,161315177,8,8,635,6491802105,9895753871,31.93
4,2,112,0.67,0.66,1,1,2,1,79,0,0,37,0,5,23,59,3,3,964,101,515,13,1,73,289,11,2,4,1,84.443,7871221.212,469.367,75462763.85,2223.576,16.265,0.095,0,0,8.053,1.485,857833.106,427015.379,12121.212,7838,69859,337852578,2352142743,350698696,345088017,32,271569,271653,46430653835,351650,351802,48212573022,940827648,13780450731,5866473849,32094357,52920448,141472193,7,0,935,6126996457,8846371323,17.282
5,3,111,0.71,0.71,0,1,0,0,33,0,1,66,0,4,73,66,9,7,312,24,892,26,2,49,266,13,7,4,6,100.807,7544992.47,411.742,84608002.79,2251.102,33.288,0.159,0,0,8.053,0.182,858009.773,426838.712,12121.212,7997,70494,339921670,2456758111,342046886,346539281,32,277111,277168,49558585911,357687,357841,51529446663,947048480,15459965459,6394767837,34900124,52255082,128084865,64,44,634,5890042823,10438826620,15.556
7,3,88,0.59,0.89,1,1,1,1,18,1,0,114,1,5,25,160,10,9,919,113,498,2,3,52,373,4,6,7,9,161.864,9800930.159,681.28,125693874.9,2232.046,15.356,0.121,0,0,7.932,0.129,351437.943,171892.663,12121.212,9479,84454,339627689,2737467922,376834336,369546475,37,466873,466941,53416781532,396771,396929,54834331783,1058967362,15706669806,6681299648,36978151,54289093,145411436,4273,4524,5908,6990461116,9566450574,16.601
