spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.6,0.5,0,1,0,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,3104.48,25950276.727,5734.518,224107250.759,2270.327,28.88,0.076,0.0,0.0,4.626,677.818,2523741.845,594917.856,56818.182,11846.667,429675.0,421070955.333,4506151261.667,430831580.0,426132013.667,122.333,318384.0,318539.333,55872871404.0,1252462.333,1252611.333,50884939248.667,1275307969.667,16383280095.333,7154445174.333,32393074.0,48240042.0,130093713.667,1.667,256.333,1463.0,6324542406.0,10234634750.667,175.832
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,4905.033,81372367.683,7005.085,229319706.74,2390.591,17.874,0.167,0.0,0.0,1.375,2247.62,5678805.187,343922.086,56818.182,16332.0,525050.667,518930629.0,5410544159.333,471888830.0,477068881.667,152.667,300445.0,300665.333,71532811959.667,1503673.0,1503821.333,63638817389.0,1480617591.0,19277360311.333,8651035691.0,44926385.667,59843202.333,163952558.667,3.0,77.667,1721.667,7605315062.0,12176392536.333,219.894
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,2099.944,11903421.97,6458.789,259361689.128,2247.534,74.966,0.073,0.0,0.0,8.188,1196.809,1626473.927,831552.882,56746.712,6222.667,88806.333,381134181.333,2905898721.0,377964342.667,376601545.667,106.667,525715.667,525862.667,49257484998.333,416031.0,416186.333,52417546090.0,1131507678.667,16326150372.667,7064712613.667,28629320.0,45469710.667,128407500.667,1814.0,1005.0,5831.333,6562164538.333,10396372780.0,167.94
5,4,80,0.66,0.66,1,1,1,1,78,1,1,78,1,4,78,121,7,7,640,78,618,30,2,67,340,9,6,5,6,1067.234,8329622.269,4308.538,206798480.706,2241.948,73.378,0.067,0.0,0.0,8.572,663.818,1585482.21,863632.771,56818.182,5987.667,91015.0,401184127.333,2935569635.0,364275299.0,369194889.0,85.333,277060.0,277189.333,50404263576.0,406732.667,406886.667,54945090459.667,1086655636.0,16939943716.333,6981362907.0,33336662.0,48395126.0,125758754.333,0.0,0.0,773.0,5891633566.333,11398422407.0,149.133
1,3,80,0.3,0.42,1,0,1,0,27,1,1,27,0,2,27,81,8,9,280,52,618,21,0,35,500,4,6,1,6,640.389,21229276.736,3594.311,183791332.679,2278.439,24.506,0.095,0.0,0.0,3.438,811.506,5166633.932,856093.341,56818.182,8288.667,105452.0,412924244.333,3145907228.667,389139183.0,383103821.333,100.667,253766.0,253924.667,53102089141.333,446509.0,446656.0,52171551920.667,1208284689.667,16298565560.333,7033341148.333,38440552.667,48278581.667,139358862.333,8.0,81.667,917.333,6356143038.667,10269247178.667,205.742
5,2,32,0.78,0.42,1,0,1,0,128,0,1,128,0,3,128,42,2,7,280,2,618,21,1,67,260,9,7,7,3,1409.495,10326977.843,5598.806,177669968.154,2245.124,43.41,0.052,0.0,0.0,10.78,1572.689,3343649.813,2679077.46,56818.182,5611.0,100672.333,408790684.0,3022380578.0,381928931.667,382664889.0,98.0,371305.0,371435.667,50087601946.0,428728.333,428880.0,50955248168.333,1071247471.0,15769559508.0,6718992881.667,28953666.333,47133972.0,126360964.667,154.667,86.667,1462.333,6228810269.333,10006089809.0,190.777
2,2,104,0.3,0.42,1,0,0,0,78,1,0,52,0,6,2,42,4,6,280,78,821,21,1,51,180,7,3,4,6,461.189,10659769.398,3422.737,184010951.771,2243.467,11.324,0.078,0.0,0.0,8.152,757.838,3998488.904,2024238.369,56818.182,5178.667,96202.0,378670772.333,2809165944.667,367134180.0,372557088.667,88.0,275382.333,275509.667,47306131227.0,417407.667,417556.0,50291810292.333,1006381293.333,15305864279.0,6669632006.667,24924840.0,34495467.667,116073818.667,221.333,155.667,1912.333,6176531080.0,9700107442.667,184.24
8,3,104,0.9,0.42,1,1,1,1,2,0,1,78,1,1,78,42,10,4,460,52,213,11,2,35,340,12,9,7,4,1892.398,11437453.433,6054.526,235908658.218,2246.481,148.577,0.071,0.0,0.0,8.106,1261.51,1630123.207,818991.774,56818.182,6768.0,108907.333,405203924.0,3239747295.667,382139739.667,383847973.667,70.333,263340.0,263450.333,53327251746.0,452173.0,452329.0,57423406164.333,1109388967.333,17861880666.0,7223010040.333,36825102.333,46359450.667,132590405.333,2.333,0.0,515.333,6174744589.333,11974989930.667,143.379
4,6,32,0.66,0.9,0,1,2,1,103,0,0,52,1,5,2,200,7,6,280,128,213,21,0,67,260,7,9,4,9,1324.729,12589782.2,4614.461,229097250.125,2250.766,86.891,0.069,0.0,0.0,9.045,461.451,1542879.808,918242.753,56818.182,5508.667,91327.333,366014943.667,2929602127.667,371811510.333,373011862.333,72.333,240265.667,240377.333,48171356467.0,406128.333,406272.667,50925299367.333,1081739402.0,15957622084.333,6812859259.333,26601421.0,36896478.0,118274760.333,22.667,76.667,683.667,6306849916.333,9863948436.333,150.926
7,2,80,0.54,0.9,0,1,2,1,103,1,0,103,0,5,78,160,8,6,460,27,213,11,2,67,500,1,4,7,3,2807.164,14009207.13,9070.734,217838999.364,2250.417,83.125,0.058,0.0,0.0,8.337,3671.783,3953933.838,2068793.434,56818.182,5967.667,115156.667,388831066.333,3319997082.667,383795909.333,390488380.0,84.667,281754.667,281882.333,53910364542.667,467608.0,467763.667,58187814322.333,1238378141.333,18205674890.0,7297939859.333,30284476.667,42369337.333,129035551.0,122.667,102.333,1305.333,6581333909.667,11969775271.333,184.003
