spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,1361.172,49985066.312,492.359,89473828.188,1340.281,21.047,0.109,0.0,0.0,4.891,1.562,722.109,335.484,54.844,7474.0,89314.0,306330112.0,2808548611.0,369760279.0,373665750.0,62.0,309248.0,309342.0,49562905759.0,403880.0,404033.0,52129601520.0,1239955826.0,17356424700.0,6962273334.0,34361758.0,44338123.0,134747761.0,131.0,345.0,2068.0,6257922253.0,10706595960.0,15.263
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,5241.425,202661178.85,589.425,303678794.2,1685.6,65.2,0.3,0.0,0.0,0.75,0.075,1044.925,150.925,87.75,11306.0,117603.0,368911193.0,3023627181.0,378710142.0,361891156.0,69.0,272311.0,272428.0,58324161020.0,470711.0,470861.0,50560299442.0,1078978765.0,15309077365.0,6348207485.0,36599946.0,45004506.0,128684401.0,7.0,6.0,891.0,6556375912.0,9314222129.0,29.811
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,168.138,11182031.031,650.6,25755510.05,1235.406,11.85,0.144,0.0,0.0,7.406,2.175,308.762,312.575,21.938,7151.0,70355.0,307222959.0,2932261400.0,371889940.0,374770698.0,65.0,505973.0,506076.0,53366314774.0,389077.0,389235.0,54977599314.0,1146281964.0,17027427695.0,7392046937.0,30519064.0,63493778.0,161628812.0,1379.0,1107.0,6717.0,6724198128.0,11077196418.0,13.8
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,63.61,6519695.27,236.2,16602454.83,1231.76,3.1,0.04,0.0,0.0,17.09,0.05,8.59,555.17,35.1,7306.0,65720.0,349280977.0,2390345150.0,343548485.0,334669488.0,32.0,279393.0,279444.0,50112180731.0,344339.0,344493.0,50840520016.0,998086221.0,15138800858.0,6526416198.0,32332721.0,45114215.0,144100586.0,107.0,0.0,637.0,5931785638.0,10236750041.0,12.757
6,6,47,0.41,0.57,1,0,0,1,12,1,1,20,1,1,11,138,7,9,358,38,951,23,3,31,252,14,4,4,2,317.738,16980645.05,261.725,39776361.988,1264.75,12.0,0.038,0.0,0.0,10.938,1.375,458.612,852.15,43.875,6425.0,62988.0,309993224.0,2501093067.0,339536327.0,347011405.0,32.0,312000.0,312052.0,49034388605.0,347336.0,347490.0,51028824615.0,992422049.0,15682878817.0,6601093316.0,28229520.0,39823461.0,120506708.0,920.0,659.0,2955.0,6353337937.0,9649849612.0,8.948
7,4,114,0.7,0.3,1,1,1,0,82,0,1,54,1,4,26,27,10,6,854,52,796,41,1,28,213,8,7,8,7,247.664,13204693.007,272.397,29085938.842,1257.644,18.473,0.041,0.0,0.0,5.685,3.52,252.288,152.473,24.041,6999.0,66678.0,336360991.0,2604587714.0,367355411.0,364566342.0,32.0,260995.0,261054.0,53004029790.0,349940.0,350096.0,51096996391.0,1055987039.0,15340874529.0,6691900073.0,30078518.0,45488845.0,130042267.0,211.0,390.0,1534.0,6339946992.0,9933537139.0,8.924
1,4,95,0.51,0.59,1,1,1,1,110,1,1,105,0,4,74,78,3,5,442,84,461,16,0,47,167,11,8,3,6,11.661,6580525.425,113.402,12091637.575,1202.961,1.063,0.032,0.0,0.0,16.221,0.016,0.0,376.646,27.638,6431.0,69414.0,398898255.0,2609409399.0,348957910.0,345830912.0,32.0,254503.0,254543.0,52157443829.0,356332.0,356479.0,53017053989.0,1095873009.0,16002296807.0,6540801733.0,33431292.0,54978890.0,144403212.0,0.0,0.0,546.0,6705396943.0,9512665215.0,21.263
8,1,27,0.37,0.78,0,1,2,1,59,1,0,92,0,4,96,41,9,10,517,30,584,13,2,72,303,5,1,5,7,719.763,31178431.068,407.407,63392387.152,1311.017,23.458,0.068,0.0,0.0,4.83,11.915,545.814,264.932,59.492,5742.0,57910.0,278611387.0,2188003895.0,303059427.0,309761574.0,32.0,246456.0,246523.0,46979767876.0,323536.0,323693.0,50089318399.0,914054973.0,14279869064.0,5814488712.0,26885578.0,40184262.0,120625927.0,8.0,0.0,1217.0,5795737755.0,9388829267.0,7.224
4,2,127,0.87,0.87,0,1,1,1,95,0,1,5,1,3,66,142,8,8,204,4,142,39,0,53,148,3,2,2,2,491.256,20656042.275,307.056,41294596.006,1300.969,25.425,0.15,0.0,0.0,2.812,5.656,299.062,72.762,21.938,7768.0,68814.0,379924573.0,2555544962.0,386568553.0,381152552.0,32.0,247813.0,247892.0,52717969063.0,356871.0,357021.0,51564446907.0,1058313110.0,15852257200.0,6803138170.0,33134437.0,49192361.0,139291249.0,51.0,9.0,549.0,6370384210.0,10355631545.0,12.693
1,2,104,0.45,0.76,1,1,2,0,42,1,0,96,1,4,34,162,4,3,679,74,646,19,3,58,337,7,3,7,5,41.868,13596339.743,103.721,20032245.088,1213.324,0.552,0.022,0.0,0.0,14.757,0.412,37.037,655.985,25.809,6409.0,68883.0,342985985.0,2700291125.0,355557722.0,356007971.0,32.0,405953.0,406000.0,53993024774.0,359369.0,359527.0,55885452783.0,1088253047.0,17253527140.0,6953853761.0,32980999.0,44386054.0,150618520.0,1851.0,1464.0,4797.0,6810705798.0,10259721009.0,20.483
