ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
32000,3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,1361.172,49985066.31,492.359,89473828.19,1340.281,21.047,0.109,0,0,4.891,1.562,722.109,335.484,54.844,7474,89314,306330112,2808548611,369760279,373665750,62,309248,309342,49562905759,403880,404033,52129601520,1239955826,17356424700,6962273334,34361758,44338123,134747761,131,345,2068,6257922253,10706595960,15.263
32000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,5241.425,202661178.9,589.425,303678794.2,1685.6,65.2,0.3,0,0,0.75,0.075,1044.925,150.925,87.75,11306,117603,368911193,3023627181,378710142,361891156,69,272311,272428,58324161020,470711,470861,50560299442,1078978765,15309077365,6348207485,36599946,45004506,128684401,7,6,891,6556375912,9314222129,29.811
32000,8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,168.138,11182031.03,650.6,25755510.05,1235.406,11.85,0.144,0,0,7.406,2.175,308.762,312.575,21.938,7151,70355,307222959,2932261400,371889940,374770698,65,505973,506076,53366314774,389077,389235,54977599314,1146281964,17027427695,7392046937,30519064,63493778,161628812,1379,1107,6717,6724198128,11077196418,13.8
32000,4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,63.61,6519695.27,236.2,16602454.83,1231.76,3.1,0.04,0,0,17.09,0.05,8.59,555.17,35.1,7306,65720,349280977,2390345150,343548485,334669488,32,279393,279444,50112180731,344339,344493,50840520016,998086221,15138800858,6526416198,32332721,45114215,144100586,107,0,637,5931785638,10236750041,12.757
32000,6,6,47,0.41,0.57,1,0,0,1,12,1,1,20,1,1,11,138,7,9,358,38,951,23,3,31,252,14,4,4,2,317.738,16980645.05,261.725,39776361.99,1264.75,12,0.038,0,0,10.938,1.375,458.612,852.15,43.875,6425,62988,309993224,2501093067,339536327,347011405,32,312000,312052,49034388605,347336,347490,51028824615,992422049,15682878817,6601093316,28229520,39823461,120506708,920,659,2955,6353337937,9649849612,8.948
32000,7,4,114,0.7,0.3,1,1,1,0,82,0,1,54,1,4,26,27,10,6,854,52,796,41,1,28,213,8,7,8,7,247.664,13204693.01,272.397,29085938.84,1257.644,18.473,0.041,0,0,5.685,3.52,252.288,152.473,24.041,6999,66678,336360991,2604587714,367355411,364566342,32,260995,261054,53004029790,349940,350096,51096996391,1055987039,15340874529,6691900073,30078518,45488845,130042267,211,390,1534,6339946992,9933537139,8.924
32000,1,4,95,0.51,0.59,1,1,1,1,110,1,1,105,0,4,74,78,3,5,442,84,461,16,0,47,167,11,8,3,6,11.661,6580525.425,113.402,12091637.58,1202.961,1.063,0.032,0,0,16.221,0.016,0,376.646,27.638,6431,69414,398898255,2609409399,348957910,345830912,32,254503,254543,52157443829,356332,356479,53017053989,1095873009,16002296807,6540801733,33431292,54978890,144403212,0,0,546,6705396943,9512665215,21.263
32000,8,1,27,0.37,0.78,0,1,2,1,59,1,0,92,0,4,96,41,9,10,517,30,584,13,2,72,303,5,1,5,7,719.763,31178431.07,407.407,63392387.15,1311.017,23.458,0.068,0,0,4.83,11.915,545.814,264.932,59.492,5742,57910,278611387,2188003895,303059427,309761574,32,246456,246523,46979767876,323536,323693,50089318399,914054973,14279869064,5814488712,26885578,40184262,120625927,8,0,1217,5795737755,9388829267,7.224
32000,4,2,127,0.87,0.87,0,1,1,1,95,0,1,5,1,3,66,142,8,8,204,4,142,39,0,53,148,3,2,2,2,491.256,20656042.28,307.056,41294596.01,1300.969,25.425,0.15,0,0,2.812,5.656,299.062,72.762,21.938,7768,68814,379924573,2555544962,386568553,381152552,32,247813,247892,52717969063,356871,357021,51564446907,1058313110,15852257200,6803138170,33134437,49192361,139291249,51,9,549,6370384210,10355631545,12.693
32000,1,2,104,0.45,0.76,1,1,2,0,42,1,0,96,1,4,34,162,4,3,679,74,646,19,3,58,337,7,3,7,5,41.868,13596339.74,103.721,20032245.09,1213.324,0.552,0.022,0,0,14.757,0.412,37.037,655.985,25.809,6409,68883,342985985,2700291125,355557722,356007971,32,405953,406000,53993024774,359369,359527,55885452783,1088253047,17253527140,6953853761,32980999,44386054,150618520,1851,1464,4797,6810705798,10259721009,20.483
32000,2,6,71,0.64,0.35,1,0,1,0,77,0,0,10,0,5,118,112,3,8,114,104,552,9,1,50,468,2,5,4,3,106.262,14371828.78,158.35,23254235.49,1225.913,4.136,0.087,0,0,14.864,0.68,63.456,400.952,34.078,6005,65634,322343325,2584189579,342531153,333746070,32,256242,256293,51741955996,343829,343981,50359664098,1000501721,15340902860,6217590424,31287837,43126790,115618264,0,15,1140,6162680042,9269921035,13.737
32000,2,4,22,0.43,0.7,1,1,1,0,95,1,1,126,0,6,126,131,5,7,373,94,891,43,1,76,374,7,4,3,4,39.018,7294888.444,73.685,19137726.72,1183.018,2.037,0.074,0,0,12.963,0,0,885.815,65,5812,57104,277923685,2250324740,319704175,320048783,32,286560,286603,45647228496,318563,318714,46316366873,898930221,14328468872,6098852547,27633497,51471002,121538838,247,257,1811,5485793737,8750928278,7.016
32000,3,6,64,0.76,0.89,0,1,2,1,25,1,0,50,0,5,122,149,5,5,233,109,231,26,2,66,419,5,3,5,7,161.052,15687834.12,171.917,27214612.04,1251.167,4.667,0.115,0,0,13.969,1.51,95.99,402.281,36.562,6682,64639,337269067,2367225213,335739794,336937344,32,267681,267733,52150137574,342919,343075,55641316288,1004099109,16116790859,6590841051,30597474,56572890,143473596,136,102,1239,6043442007,10617943537,11.305
32000,5,5,101,0.58,0.79,0,0,2,1,20,0,0,21,1,5,105,5,6,6,482,71,650,48,2,82,437,11,9,6,7,188.947,13615488.75,232.083,29652481.59,1274.91,10.767,0.045,0,0,8.323,1.21,333.872,376.97,26.391,6373,67890,331619287,2604910724,349600511,352214807,32,246873,246933,50605524742,354422,354579,53498083898,959232616,15558087863,6589758606,29815529,42540798,129190837,537,284,590,6276704590,10179168878,10.091
32000,2,3,60,0.55,0.47,0,0,2,0,117,1,1,13,1,5,38,66,8,4,986,88,386,7,1,45,317,10,7,3,6,19.837,5851446.804,125.054,14491409.14,1203.304,2.456,0.054,0,0,17.217,0.011,0,890.924,38.152,7107,65879,325235476,2483713200,353623630,354105744,32,244582,244635,50041404984,345008,345158,47643549917,1069400807,15251929734,6550116688,30486467,47415358,138941919,7,234,1292,6009745913,10185349668,10.867
32000,7,3,10,0.71,0.45,1,1,0,0,70,1,1,74,1,3,6,49,5,7,792,11,249,45,0,42,383,5,4,2,4,495.119,24680135.74,250.881,57612602.05,1277.881,28.286,0.167,0,0,3.81,0.476,686.714,684.524,83.571,4784,55202,280040692,2157702633,307904431,311696417,32,236950,237000,44993350563,313464,313610,45327795580,902974747,13995832655,6080172507,30738042,53324221,144798427,0,0,571,5688857697,8893162746,6.674
32000,6,5,66,0.49,0.42,1,0,0,1,88,0,1,82,0,2,17,168,2,6,188,97,698,4,2,89,199,9,2,7,2,287.622,18016135.94,281.418,36693649.69,1281.224,13.408,0.061,0,0,7.082,3.816,276.837,211.265,35.816,7364,64974,333192519,2367203133,327135646,330702981,32,277175,277238,49103828558,341106,341265,52148278619,984966362,15581219286,6545502707,34161516,49424537,129238055,0,17,698,6058286356,9797406201,7.98
32000,5,4,31,0.63,0.52,0,0,0,1,75,0,0,122,1,2,40,23,8,6,638,57,746,2,0,39,100,4,6,1,9,406.19,22969417.81,308.984,47128033.52,1271.905,24.333,0.095,0,0,9.905,1.254,470.476,909.651,55.714,6744,65607,324055237,2334135530,335752656,334079047,32,250935,250990,46409401224,338464,338612,46494639775,953204193,14333717349,6317268616,34922021,42881833,128715517,422,86,622,5776642251,9328965753,8.825
32000,6,2,108,0.34,0.37,1,0,1,0,107,1,0,102,0,3,78,99,8,4,405,14,285,49,2,62,280,9,9,6,3,218.114,14136190.04,254.564,27826678.98,1271.843,7.079,0.086,0,0,6.193,1.343,194.829,146.843,25.071,7028,67281,345912987,2385786143,351260378,349037754,32,260528,260586,51192929425,361084,361241,51910603054,973771792,15130891195,6358376589,32761379,54398581,145491292,0,0,301,5983803676,9923842830,9.058
32000,6,3,48,0.74,0.7,1,0,1,0,10,0,1,78,0,6,48,85,7,7,909,45,997,22,1,92,488,1,6,6,8,380.458,19947668.01,238.132,42245217.9,1275.253,18.193,0.217,0,0,7.47,5,296.205,280.108,42.289,6274,59141,327814125,2381488155,322127748,321476988,35,281808,281866,51433846823,324157,324310,50769490949,950255381,14911195503,6352284028,34685462,51260781,144165740,108,0,859,6203472253,9571713286,7.718
32000,3,1,55,0.61,0.41,0,0,2,1,63,0,1,44,0,3,94,189,10,3,946,59,42,27,2,79,444,12,8,6,2,387.724,23547816.38,558.333,50872965.51,1305.816,7.988,0.218,0,0,4.851,1.253,392.494,157.322,40.345,8090,65947,355775458,2369470059,331988338,336306567,38,243248,243318,52218820271,344967,345127,53281935947,991534228,15879152576,6395017801,33967633,57098732,149272480,0,0,501,6254648260,9871927493,14.527
32000,7,2,77,0.36,0.56,0,1,1,0,120,0,0,86,0,4,83,180,9,9,144,65,930,35,0,21,269,9,2,8,9,337.321,18364112.09,279.009,35906791.76,1274.734,26.459,0.156,0,0,6.688,11.578,260.459,178.385,32.202,6274,60578,324774601,2303278103,337188190,337769785,32,259378,259446,48347204782,329069,329217,47284047818,1029133796,14771679004,6407988168,29750760,42885778,127177934,549,379,679,6048658375,9128702231,8.094
32000,5,5,39,0.47,0.84,1,0,1,1,47,1,0,66,1,3,25,73,4,8,542,78,364,5,3,58,404,12,3,1,8,430.028,22721927.63,292.535,46677615.49,1270.606,6.761,0.155,0,0,10.986,1.521,234.197,515.676,49.437,6400,63817,332387458,2500456554,334335140,326317460,45,424221,424290,50354959394,349744,349894,51356302775,973616332,15431673463,6540176894,29346510,50758017,133117312,822,915,5570,6542580487,9551730189,10.587
32000,4,5,40,0.32,0.66,1,1,1,0,26,0,0,118,1,2,100,37,7,5,879,32,855,31,3,68,243,12,6,2,3,1500.153,43404664.99,637.333,85713266.19,1328.264,16.778,0.236,0,0,3.764,12.806,573.75,168.694,48.75,7667,63971,310389483,2494587581,336690285,344104085,54,494311,494388,52320667796,354846,355000,50694204040,1024134569,15369904481,6723649563,33003088,49733322,147472639,698,630,5911,6305687154,9800336496,17.929
32000,2,1,18,0.53,0.62,1,0,0,0,55,0,0,45,0,5,111,16,9,7,319,122,89,39,1,94,121,6,5,2,1,207.18,26794392.22,176.66,41300182.12,1235.3,8.52,0.12,0,0,10.02,1.32,130.72,825.96,70.2,4778,58567,281134655,2397626025,304646957,311567487,32,267745,267808,44513918182,322995,323144,46525244250,862020697,14175077151,6105185772,23710288,39617691,126422847,0,282,929,5696009470,8981343526,10.105
32000,7,5,87,0.81,0.48,1,0,0,1,36,1,1,68,1,2,53,96,6,9,727,19,460,18,1,99,366,14,7,5,4,175.866,11493570.54,238.294,27464306.02,1251.933,10.874,0.126,0,0,8.412,1.429,533.37,553.899,29.496,6353,65215,357006293,2605598498,358944212,347389420,32,278114,278169,50348495158,345791,345944,50266810506,999161182,15598393041,6661879454,25890754,37617669,128857890,178,93,1330,6003248215,9994913339,8.774
