spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
2,3,44,0.31,0.6,1,1,1,0,78,1,0,116,1,1,79,47,4,3,856,53,261,34,1,32,451,9,4,3,4,3881.213,70519796.407,62159.232,1969911841.093,1445.102,99.852,0.065,0.0,0.0,2.13,2.704,8120.148,750.62,592.593,9845.0,106237.0,569960826.0,3048231508.0,381187937.0,387319200.0,430.0,321591.0,322081.0,60288057156.0,451011.0,451162.0,58762540896.0,1173088548.0,17132599927.0,7039877343.0,52617582.0,49153013.0,128295780.0,108.0,224.0,1247.0,7254079066.0,10501015468.0,350.791
7,3,49,0.57,0.81,0,0,2,1,86,1,0,2,0,1,118,68,6,4,386,55,171,39,0,70,356,6,4,7,4,683.796,15238074.168,46955.177,1770784591.646,1261.389,410.266,0.044,0.0,0.0,8.965,4.071,5995.54,2871.009,566.372,5575.0,94867.0,393374167.0,3024754008.0,366565846.0,383307132.0,298.0,235591.0,235945.0,50707138807.0,416956.0,417100.0,51344408893.0,1081244144.0,16694473639.0,6843834394.0,32031112.0,35882048.0,125381077.0,0.0,7.0,468.0,5439925963.0,10122527485.0,294.599
7,3,14,0.53,0.33,1,1,1,0,46,1,1,115,1,4,125,199,7,7,227,87,452,24,3,93,194,12,6,2,6,872.987,14673017.59,32750.449,2029250267.269,1233.551,257.192,0.09,0.0,0.0,5.205,0.051,6329.487,5150.5,820.513,5649.0,99178.0,403776986.0,3169735740.0,369403408.0,380920368.0,289.0,483766.0,484097.0,50285857243.0,437552.0,437701.0,55139703985.0,1176648537.0,17295184856.0,6717960687.0,32810483.0,40678047.0,137542976.0,1107.0,1008.0,5327.0,6729378486.0,10436923058.0,240.193
2,3,87,0.75,0.53,1,1,1,1,26,0,0,36,1,3,14,124,9,3,252,4,723,26,0,82,234,12,1,4,5,884.715,26899907.265,19578.55,1256203568.43,1267.815,30.609,0.04,0.0,0.0,10.166,0.596,4814.563,1824.272,423.841,6817.0,105548.0,517365098.0,3048369527.0,385822225.0,391497901.0,258.0,276761.0,277039.0,51642088976.0,450001.0,450148.0,50856660775.0,1054707895.0,16084166251.0,7318409372.0,37064435.0,43862399.0,128796586.0,0.0,0.0,1441.0,6393119842.0,10448067825.0,287.574
8,4,94,0.55,0.9,1,1,1,1,111,0,0,29,0,2,41,9,10,10,953,25,36,36,2,44,122,6,6,7,3,652.411,12131661.747,39227.253,1441743448.671,1276.563,337.994,0.082,0.0,0.0,11.702,4.443,4392.785,1948.481,405.063,6496.0,104269.0,474584445.0,2811903740.0,376938943.0,396664538.0,228.0,260169.0,260471.0,52743477724.0,446396.0,446552.0,58399212718.0,1117396835.0,16808928918.0,7214937472.0,40605237.0,40022905.0,114715396.0,0.0,0.0,766.0,6795950509.0,11828467846.0,307.244
3,5,53,0.9,0.4,0,0,1,1,88,1,0,31,0,6,75,90,7,7,812,98,341,10,0,52,103,7,8,4,6,289.624,14692266.359,21041.607,1535274392.256,1263.735,230.188,0.086,0.0,0.0,9.658,1.487,5743.658,2819.761,547.008,6770.0,142039.0,389235729.0,3103211482.0,386892833.0,351407402.0,334.0,242880.0,243248.0,51643175048.0,536167.0,536312.0,52571633764.0,1093526990.0,16983403664.0,6285650053.0,34717660.0,36762494.0,134539789.0,0.0,6.0,426.0,4672752221.0,9440922889.0,301.556
5,4,104,0.42,0.63,0,0,0,1,97,1,1,86,1,4,46,20,5,8,466,71,87,47,2,27,134,1,5,1,2,328.762,10533970.649,11848.97,959942673.756,1263.744,327.792,0.06,0.0,0.0,15.619,1.589,4562.929,2978.566,380.952,5319.0,92243.0,405427089.0,3119044005.0,383155527.0,377322701.0,219.0,284088.0,284374.0,53661723619.0,414959.0,415106.0,57535732332.0,1050750826.0,17145174236.0,7183643787.0,36216328.0,54910370.0,138058105.0,0.0,13.0,681.0,6910882620.0,10449997415.0,222.407
5,1,35,0.61,0.5,1,0,1,1,20,0,0,41,0,2,102,39,4,5,402,122,774,22,3,53,371,13,2,7,4,617.242,16453242.667,33684.929,1912438068.152,1236.616,53.131,0.081,0.0,0.0,10.04,2.434,5598.919,4521.485,646.465,5477.0,102247.0,433244482.0,3314262402.0,381547903.0,397308995.0,205.0,343443.0,343703.0,49955789745.0,440380.0,440535.0,49833239867.0,1271879230.0,18293680657.0,7306165410.0,32779775.0,44705285.0,141872882.0,585.0,577.0,4196.0,5776286060.0,11648278738.0,256.312
2,2,39,0.77,0.38,1,1,1,0,73,0,1,125,0,2,106,134,8,4,677,7,219,38,2,62,414,5,8,5,6,2132.175,41673840.952,28941.427,1751293060.408,1289.845,102.136,0.048,0.0,0.0,5.573,0.903,7486.427,2240.952,621.359,8543.0,106651.0,471933426.0,3330438369.0,376385561.0,374132935.0,275.0,306085.0,306407.0,59429700370.0,450364.0,450520.0,59693055860.0,1259225482.0,18530738189.0,7236183765.0,50816005.0,57226491.0,145360767.0,0.0,0.0,727.0,6927649629.0,11052136871.0,333.867
6,3,26,0.48,0.58,1,1,1,1,102,0,0,64,0,5,61,176,3,5,909,93,844,29,2,97,291,3,7,2,7,839.622,17650089.611,47092.744,2305959713.589,1254.367,533.0,0.056,0.0,0.0,7.889,2.367,6384.522,4747.922,711.111,5203.0,97564.0,372793690.0,2728907800.0,372964217.0,370329395.0,213.0,271223.0,271490.0,48779126880.0,422904.0,423053.0,55075476702.0,1028052990.0,15863686551.0,6829749447.0,32552769.0,37410152.0,106651069.0,0.0,0.0,402.0,6689572401.0,10725266382.0,275.817
3,3,121,0.41,0.73,1,0,1,1,16,1,1,49,1,3,123,158,4,5,594,63,281,21,1,36,155,15,8,4,2,605.33,16327159.286,11161.043,859789796.995,1262.962,54.227,0.038,0.0,0.0,11.881,2.432,3978.249,1573.438,345.946,7654.0,111578.0,477623501.0,3286174401.0,439604932.0,457923395.0,270.0,275432.0,275764.0,55588074271.0,469885.0,470035.0,57943850195.0,1347362072.0,19615993460.0,8140312078.0,45126675.0,44022619.0,126752495.0,46.0,0.0,491.0,6584529175.0,12652329784.0,245.343
6,6,110,0.35,0.57,0,1,0,1,50,0,1,90,0,2,94,96,3,10,507,32,481,30,1,57,493,11,1,3,2,405.138,8564611.27,13835.569,932081788.345,1246.942,35.466,0.023,0.0,0.0,16.552,2.098,3396.897,2361.264,367.816,5523.0,101323.0,405861540.0,3248143893.0,407406050.0,410593674.0,257.0,285272.0,285571.0,50692232175.0,439456.0,439604.0,51458042895.0,1287792940.0,17694609203.0,7314514651.0,31569403.0,38802401.0,120241356.0,0.0,0.0,989.0,6192265786.0,10993715173.0,245.617
4,4,72,0.38,0.49,0,1,0,1,119,1,0,62,1,4,51,117,3,4,561,76,693,4,0,85,221,8,3,3,9,340.044,12622858.176,23920.375,1438103682.647,1258.331,129.713,0.074,0.0,0.0,10.375,1.618,5914.162,2672.213,470.588,8056.0,231748.0,602235969.0,3175916122.0,411457341.0,424274939.0,309.0,249767.0,250131.0,49880336151.0,761371.0,761516.0,50446842392.0,918368442.0,12163606807.0,6261399097.0,38413647.0,36517097.0,95056996.0,17.0,0.0,1264.0,6625064898.0,10350932376.0,299.111
7,2,55,0.36,0.63,0,1,2,0,29,0,0,16,0,1,82,82,10,9,770,115,320,35,2,48,190,2,7,1,9,721.723,15661954.059,38148.487,1609136941.168,1268.479,691.008,0.034,0.0,0.0,10.429,5.42,5443.58,2975.916,537.815,5702.0,94894.0,427416337.0,3097205693.0,379614804.0,386972827.0,250.0,242694.0,242997.0,50518421661.0,419831.0,419978.0,54413908853.0,1127503173.0,16898246468.0,7442872949.0,42344772.0,32153239.0,130160554.0,0.0,0.0,624.0,6631630679.0,10472353664.0,262.494
7,4,59,0.44,0.66,1,0,0,1,58,1,0,95,0,3,68,169,9,8,697,36,895,45,2,94,477,6,9,2,4,701.252,14843648.098,41890.325,1707963407.35,1257.642,647.382,0.024,0.0,0.0,9.675,4.163,5592.016,2553.675,520.325,5658.0,94168.0,508437935.0,2875382002.0,344761630.0,356414386.0,263.0,303299.0,303624.0,50796178770.0,417020.0,417169.0,51309451835.0,1100516499.0,15481122464.0,6546433916.0,36908927.0,41348568.0,124079565.0,16.0,0.0,601.0,6668185667.0,9953689457.0,286.288
1,5,90,0.83,0.83,1,1,1,0,67,0,1,59,1,3,96,119,3,9,752,41,750,12,2,68,248,14,7,2,1,514.942,29472846.89,9407.494,1055022512.63,1272.753,102.182,0.071,0.0,0.0,11.396,0.851,4544.526,1991.506,415.584,8213.0,141184.0,642694972.0,3454515218.0,428589659.0,438181833.0,307.0,300055.0,300379.0,52840970220.0,539418.0,539569.0,54923137161.0,1217143098.0,19449522010.0,7618275658.0,48897153.0,55619126.0,148633981.0,8.0,0.0,520.0,6344989782.0,12316868460.0,306.266
5,4,106,0.82,0.45,1,1,0,0,32,1,1,103,0,2,110,146,5,8,353,104,131,7,1,65,166,13,9,8,4,334.194,9444271.082,12833.906,930024659.871,1245.565,74.065,0.035,0.0,0.0,16.835,2.688,3396.635,2497.012,376.471,6609.0,151181.0,460356837.0,3482569630.0,426978854.0,433801375.0,262.0,331512.0,331819.0,55480553392.0,562727.0,562880.0,55614393749.0,1268888821.0,17943556821.0,7637415062.0,34304791.0,53913674.0,148859514.0,1136.0,678.0,1591.0,5957039843.0,11786720423.0,236.069
3,2,79,0.46,0.43,1,0,2,1,8,1,1,70,0,5,25,166,5,6,915,44,616,5,1,39,406,5,2,4,7,240.482,11638963.14,13834.909,1080331970.049,1241.028,50.552,0.049,0.0,0.0,15.287,1.776,4028.804,2977.629,447.552,7353.0,197493.0,413886657.0,3604870324.0,384427158.0,382054111.0,324.0,299057.0,299414.0,56931474163.0,675749.0,675898.0,58180034300.0,1215915660.0,17289301460.0,7190301363.0,40323936.0,40508664.0,145588691.0,204.0,992.0,1709.0,6110061916.0,9836008892.0,282.182
2,4,119,0.33,0.77,0,0,2,0,79,0,0,53,0,4,85,150,8,8,154,108,929,2,2,24,444,4,4,6,5,118.71,10700897.0,10717.809,1026663466.317,1249.628,41.475,0.071,0.0,0.0,18.667,1.656,3041.18,2433.792,349.727,10142.0,440503.0,1073601255.0,4137765026.0,521513165.0,486898480.0,351.0,269317.0,269726.0,55888790175.0,1286220.0,1286375.0,47887432906.0,1160532658.0,13627210730.0,6555258678.0,67306297.0,74587604.0,139838158.0,0.0,0.0,792.0,6457322008.0,12384818083.0,351.359
1,1,62,0.71,0.35,0,0,2,1,3,1,1,109,1,5,64,98,9,7,214,61,181,32,1,40,295,11,7,2,5,87.127,12118421.5,9510.897,1204323861.881,1223.675,33.897,0.064,0.0,0.0,23.127,1.318,2224.46,6152.825,507.936,5440.0,119493.0,556236623.0,3238480375.0,405317070.0,420117201.0,465.0,322581.0,323085.0,50870340479.0,480477.0,480624.0,52218538865.0,1325989634.0,18651045191.0,7721551358.0,56895035.0,48435834.0,145082174.0,0.0,8.0,772.0,5959771349.0,11967561944.0,424.97
1,5,84,0.69,0.69,0,0,1,0,93,0,1,7,0,4,48,27,8,9,852,15,886,9,2,34,316,10,5,5,2,74.716,11489802.845,6451.682,1049861975.27,1235.669,41.973,0.054,0.0,0.0,16.345,1.764,3803.311,2966.419,432.432,6826.0,171482.0,736318746.0,3945387322.0,468351250.0,506653306.0,311.0,262255.0,262608.0,64244604685.0,610571.0,610725.0,68218936643.0,1555187548.0,22573730680.0,9522029332.0,62553081.0,53617981.0,148059843.0,0.0,0.0,736.0,6677863242.0,15868027595.0,356.931
4,4,77,0.87,0.72,0,0,1,0,42,0,0,76,1,6,35,109,9,4,161,75,390,19,0,77,341,2,3,6,7,305.823,11730395.688,27946.277,1447973265.879,1256.496,121.844,0.036,0.0,0.0,15.021,2.177,3968.44,3076.546,453.901,5687.0,123331.0,563617191.0,3111445966.0,391414097.0,385974879.0,404.0,263396.0,263846.0,43344048889.0,488134.0,488278.0,41943596930.0,1147308432.0,18854238516.0,7433619574.0,32909731.0,47373796.0,138869754.0,7.0,8.0,974.0,5416730312.0,10814723637.0,361.694
7,2,68,0.57,0.68,0,0,1,0,52,0,1,74,0,6,5,65,8,7,990,20,555,26,2,60,470,9,8,6,8,566.674,11307513.167,25932.083,1412033953.606,1238.523,249.894,0.03,0.0,0.0,22.667,1.273,2371.97,5218.333,484.848,6368.0,113451.0,550175659.0,3351957019.0,403076313.0,392423840.0,336.0,261355.0,261731.0,50527806088.0,465221.0,465376.0,49319357421.0,1228162887.0,17717097002.0,7146530746.0,35428949.0,39529533.0,122278211.0,0.0,0.0,749.0,6297554449.0,11613448603.0,317.92
6,5,23,0.69,0.54,0,1,1,0,113,0,1,104,0,4,31,140,6,5,109,101,48,13,3,87,216,3,3,5,5,785.966,18153159.483,20764.885,1764572870.425,1242.828,26.782,0.046,0.0,0.0,5.161,1.54,7994.356,3521.966,735.632,6925.0,108006.0,363150792.0,2838060829.0,380891256.0,378483786.0,67.0,467443.0,467555.0,48930835398.0,461467.0,461618.0,51408669069.0,1065424569.0,15304153565.0,7058846249.0,30541746.0,55321910.0,137702810.0,1321.0,462.0,7169.0,6536402756.0,9903415723.0,194.628
3,6,30,0.8,0.86,1,1,0,0,66,1,1,121,1,5,15,56,7,7,312,47,408,42,2,89,380,4,4,7,6,348.638,16489084.84,20988.734,1867543431.489,1245.319,112.362,0.043,0.0,0.0,9.096,0.957,6041.915,4835.308,680.851,5484.0,98778.0,570509899.0,3034434375.0,395247391.0,402745429.0,342.0,312266.0,312655.0,47286681485.0,427196.0,427352.0,49957131225.0,1157686174.0,18377881013.0,7766089203.0,38594686.0,66892908.0,135671423.0,8.0,0.0,991.0,5669010264.0,12544116292.0,292.702
4,1,99,0.64,0.85,1,0,1,1,104,1,1,25,1,3,91,42,3,5,497,117,523,15,3,20,277,8,2,4,3,1472.092,20042877.834,17225.209,1080727329.478,1283.902,42.288,0.061,0.0,0.0,7.552,1.638,5012.319,1201.982,392.638,8647.0,127095.0,491178069.0,3833128790.0,466510901.0,471278440.0,255.0,272417.0,272717.0,62851548757.0,514176.0,514329.0,66463201329.0,1378480847.0,20612525959.0,8613022538.0,47528967.0,51352386.0,157577371.0,55.0,54.0,1482.0,8057555696.0,12711949237.0,273.248
5,5,11,0.67,0.79,0,1,1,0,121,1,0,83,1,5,27,72,2,6,578,27,1000,41,1,80,424,3,6,3,8,772.333,19874030.76,45698.44,2492709660.587,1249.933,108.147,0.093,0.0,0.0,4.187,5.093,6548.12,5231.827,853.333,4638.0,86934.0,434611526.0,2625200508.0,378058529.0,355490389.0,282.0,290305.0,290629.0,45225997763.0,395260.0,395408.0,44701729257.0,942275952.0,14133934791.0,7117432750.0,30013773.0,33283068.0,115579269.0,0.0,8.0,1304.0,5555586876.0,9724368303.0,256.927
5,2,116,0.5,0.47,1,1,0,0,37,0,0,96,0,2,57,193,4,9,632,81,595,49,1,24,264,9,5,8,1,339.117,11468105.522,24091.283,1098150657.961,1260.694,206.067,0.028,0.0,0.0,16.378,3.128,3331.867,2234.356,355.556,6260.0,101412.0,520387010.0,3054275543.0,390856901.0,405148319.0,388.0,296581.0,297020.0,56946698498.0,438999.0,439151.0,57659073856.0,1090822614.0,15584692448.0,7027225825.0,44148615.0,50017635.0,132590718.0,22.0,0.0,660.0,7293070946.0,10882511494.0,328.629
8,6,127,0.6,0.75,0,0,2,0,125,1,0,20,1,5,21,30,6,8,299,12,977,18,1,75,140,14,2,6,8,531.314,10695874.99,23662.592,991862836.351,1257.827,23.204,0.042,0.0,0.0,13.55,3.88,4188.707,1929.01,335.078,6754.0,110185.0,498646962.0,3298165305.0,416451367.0,424200545.0,261.0,305339.0,305664.0,53202634860.0,462000.0,462151.0,50953393810.0,1272430828.0,17940553718.0,7476268715.0,30372445.0,49658328.0,137877574.0,0.0,0.0,1347.0,7053418606.0,11439697121.0,244.704
6,2,35,0.76,0.31,0,0,2,0,61,0,1,44,1,4,113,181,7,6,443,90,806,46,3,46,385,14,5,7,8,631.303,12311960.434,30361.374,1908754461.333,1229.737,72.01,0.081,0.0,0.0,9.586,0.879,5800.606,4266.778,646.465,5353.0,95640.0,442096591.0,3245791648.0,387012848.0,375544070.0,241.0,410416.0,410733.0,53715054669.0,428058.0,428213.0,58339422095.0,1200482761.0,17456401399.0,7411353068.0,43045699.0,47248187.0,143847999.0,1446.0,2400.0,7105.0,7248553017.0,10881361809.0,278.953
