spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,5630.562,55657596.125,1899.938,205529536.0,1340.281,21.922,0.031,0.0,0.0,5.031,0.172,5150.094,2366.812,500.0,8832.0,150106.0,359203254.0,3141234212.0,386194550.0,387055574.0,92.0,289569.0,289703.0,51104243419.0,559066.0,559219.0,53130084605.0,1085818363.0,14611400668.0,6482779141.0,25954407.0,49066513.0,128291293.0,659.0,822.0,2167.0,6869074037.0,10111408496.0,42.96
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,26233.325,310351569.925,1871.05,561021777.85,1701.0,57.425,0.75,0.0,0.0,0.65,0.225,10519.175,1204.825,800.0,12952.0,252085.0,423519974.0,4375810395.0,405232452.0,401902630.0,111.0,270564.0,270718.0,63102820960.0,825038.0,825187.0,56568592354.0,1312193965.0,17346609585.0,7941343716.0,37663797.0,54912581.0,151872135.0,5.0,8.0,693.0,7348078252.0,10771348304.0,91.45
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,1316.662,11003757.45,1155.294,96163472.556,1243.669,15.719,0.044,0.0,0.0,10.525,16.65,2050.594,1453.35,200.0,5747.0,74287.0,332663545.0,2905502715.0,380839776.0,378667805.0,314.0,504194.0,504536.0,53160903374.0,392019.0,392178.0,57533764505.0,1196554397.0,17447042173.0,7124574008.0,32217579.0,79288738.0,158316727.0,573.0,876.0,5869.0,7236245581.0,10612268101.0,38.928
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,1166.77,14959688.19,1303.34,93464344.93,1268.79,13.91,0.06,0.0,0.0,15.64,0.93,1334.62,3410.69,320.0,5059.0,74627.0,384679420.0,2733048550.0,361038324.0,364491868.0,281.0,276368.0,276703.0,49557523109.0,366606.0,366760.0,56414853246.0,956974651.0,15879016689.0,6942995780.0,27262855.0,55661551.0,136625203.0,8.0,0.0,669.0,6756832149.0,11236828780.0,36.952
3,3,104,0.43,0.66,0,1,0,1,3,1,0,68,0,3,108,26,7,8,308,105,236,9,2,38,107,4,7,3,6,2509.757,27144384.302,919.721,96372841.603,1279.279,15.36,0.059,0.0,0.0,7.691,1.412,2361.478,1086.757,235.294,8017.0,82150.0,346627119.0,2917938561.0,372588485.0,369240933.0,38.0,285424.0,285512.0,54133129243.0,397008.0,397163.0,58085385663.0,1081446812.0,17211120947.0,6708717586.0,30613166.0,49940980.0,146644880.0,0.0,8.0,554.0,6455263808.0,10535696442.0,40.551
3,4,28,0.69,0.79,1,1,1,0,33,1,0,6,0,3,79,34,8,10,498,6,108,3,0,26,142,9,6,2,5,5772.0,55834276.3,1658.133,212673505.6,1355.283,45.283,0.267,0.0,0.0,4.667,0.033,5373.5,2442.5,533.333,7285.0,89404.0,357363321.0,3129668386.0,355566623.0,361527345.0,37.0,228392.0,228460.0,51915285630.0,408540.0,408690.0,51524557351.0,1144421996.0,16751692741.0,6977883570.0,26656233.0,38556769.0,121211338.0,7.0,0.0,506.0,6340964177.0,10278960393.0,37.404
7,1,45,0.89,0.43,0,1,1,0,47,0,1,47,0,5,127,75,8,7,936,26,246,6,3,91,227,2,2,2,6,2511.182,22842703.013,1433.792,176591849.39,1287.546,11.195,0.182,0.0,0.0,7.299,3.468,3687.0,2403.39,415.584,5269.0,72004.0,278089167.0,2699708849.0,346351566.0,348846422.0,32.0,351125.0,351185.0,45546756531.0,369591.0,369741.0,49939207225.0,943548421.0,15838357396.0,6568089926.0,26623639.0,37598240.0,117198189.0,264.0,84.0,3859.0,6338246641.0,9750345263.0,24.434
7,3,38,0.59,0.63,1,1,2,0,47,0,0,67,1,6,13,110,5,5,224,105,679,16,1,92,250,11,4,5,2,2923.729,22790187.329,2133.714,176948775.857,1288.914,28.557,0.171,0.0,0.0,5.529,1.357,4732.886,2250.557,457.143,4195.0,64493.0,246509155.0,2423084592.0,325483097.0,323963213.0,32.0,300764.0,300831.0,44471092686.0,341833.0,341986.0,47530028948.0,930379311.0,14558275183.0,6250761648.0,23269354.0,36416876.0,117237331.0,271.0,308.0,1324.0,5805938236.0,9392427214.0,24.719
4,3,117,0.88,0.55,1,0,2,1,17,1,0,84,1,1,49,52,3,10,462,25,439,14,1,44,278,3,8,2,8,3088.087,24957506.671,1089.456,96823268.94,1271.476,24.53,0.094,0.0,0.0,6.322,0.591,2772.08,935.765,214.765,7348.0,77116.0,344297225.0,2738589814.0,371952307.0,370037847.0,38.0,290154.0,290221.0,49055344725.0,382557.0,382709.0,52285344839.0,1026421990.0,15067400590.0,6437896839.0,31612947.0,47681245.0,129023848.0,38.0,42.0,1043.0,6473362828.0,9659183986.0,42.395
2,3,71,0.52,0.38,0,1,1,1,28,1,1,89,0,4,99,75,6,5,173,64,629,50,1,62,182,10,6,2,1,573.893,13459268.243,458.019,75407792.068,1226.369,5.359,0.039,0.0,0.0,16.544,1.194,1138.252,3414.757,310.68,4453.0,66560.0,330697975.0,2580344768.0,352515797.0,348531674.0,33.0,293579.0,293630.0,45585014437.0,349737.0,349887.0,49018802876.0,939990596.0,14969306368.0,6553453836.0,25646944.0,47441652.0,121013951.0,0.0,0.0,742.0,6011712012.0,9702702673.0,26.641
5,2,82,0.83,0.3,1,0,0,1,69,1,0,86,0,3,38,56,7,5,830,110,322,8,2,30,302,10,4,2,5,1275.974,12785249.737,916.386,84380675.421,1260.053,17.71,0.07,0.0,0.0,15.825,2.053,1285.526,2828.158,280.702,5545.0,73228.0,325725720.0,2658385697.0,366134769.0,373380702.0,32.0,285013.0,285077.0,48255528300.0,367557.0,367709.0,57272508076.0,985718472.0,16608858070.0,6825028558.0,37579344.0,44763597.0,119146554.0,8.0,0.0,517.0,6711051103.0,10434315959.0,26.398
6,6,84,0.43,0.69,0,1,2,1,104,1,0,110,0,1,116,70,3,7,287,113,880,41,0,89,494,12,6,5,5,1538.793,13991921.914,1149.474,89911958.845,1265.914,32.905,0.043,0.0,0.0,14.483,1.25,1516.034,2526.724,275.862,4800.0,66785.0,293090005.0,2619095714.0,339538214.0,335450875.0,32.0,260233.0,260280.0,45794542837.0,350557.0,350705.0,48777900984.0,1037130327.0,15488591582.0,6564981654.0,25079060.0,58497493.0,128545152.0,0.0,8.0,587.0,6162593257.0,9616013185.0,28.069
2,3,124,0.89,0.86,0,0,1,1,75,1,0,42,1,3,64,200,3,5,143,85,609,20,2,62,144,12,9,5,6,1494.026,23365710.41,711.128,77371840.494,1272.737,8.532,0.038,0.0,0.0,9.487,0.442,1957.699,1165.814,205.128,7476.0,79674.0,362919220.0,2820375946.0,370549721.0,364027019.0,38.0,260840.0,260898.0,51001547980.0,392098.0,392257.0,53597163661.0,976784000.0,16675545649.0,6621672684.0,31087332.0,40563247.0,129642983.0,34.0,7.0,794.0,6209445743.0,10554083692.0,44.255
3,5,39,0.83,0.46,1,1,1,1,106,1,0,119,1,1,111,96,10,5,509,12,490,49,1,56,209,11,1,7,7,4894.324,48860126.0,1446.803,178556068.887,1313.916,18.521,0.127,0.0,0.0,5.296,0.155,4536.535,1963.465,450.704,5783.0,66243.0,287423106.0,2504503045.0,349190896.0,356543340.0,38.0,301624.0,301679.0,46474197992.0,349474.0,349631.0,47817760483.0,906830037.0,14114099518.0,6173580402.0,23569232.0,39531595.0,121116150.0,2040.0,453.0,1668.0,5987525100.0,9061529382.0,38.071
4,3,54,0.79,0.8,0,0,1,0,25,1,1,53,0,4,12,43,3,6,182,20,279,14,2,23,298,12,1,2,9,870.302,13945613.349,924.919,95730199.977,1261.872,14.756,0.058,0.0,0.0,14.36,0.895,1546.64,3906.384,372.093,5075.0,68640.0,289740649.0,2521124556.0,345963097.0,353342787.0,32.0,253145.0,253189.0,47913112972.0,354154.0,354306.0,58062060540.0,966498254.0,16487071783.0,6667980484.0,29502435.0,55996719.0,128455973.0,323.0,423.0,1384.0,6259515782.0,10830742833.0,25.05
7,5,122,0.53,0.33,1,0,2,0,9,0,1,45,0,5,96,166,7,8,319,69,602,24,0,79,499,10,5,7,7,1066.494,9589637.753,839.175,68980918.474,1248.312,23.786,0.052,0.0,0.0,16.636,1.734,1046.786,1998.409,207.792,5561.0,72637.0,303083379.0,2809809128.0,362675937.0,362566360.0,32.0,235651.0,235720.0,45993447303.0,367983.0,368130.0,50742857978.0,990315834.0,16072125814.0,6570639343.0,29586961.0,43190464.0,127671420.0,0.0,65.0,746.0,5909873643.0,9552107405.0,29.325
4,6,84,0.6,0.82,1,1,1,1,25,0,1,73,0,3,64,133,8,6,868,83,773,16,2,63,481,2,1,3,9,3719.716,31971839.698,1152.707,123539644.129,1296.198,27.948,0.052,0.0,0.0,6.026,1.793,2996.897,1045.862,275.862,7875.0,77150.0,370825558.0,2738581570.0,391319580.0,386071009.0,38.0,277766.0,277828.0,52655792240.0,381118.0,381273.0,58761638728.0,1087506703.0,17087293852.0,6912814955.0,33027351.0,40388602.0,132731316.0,61.0,116.0,1285.0,6612646003.0,10829063479.0,41.339
1,4,115,0.86,0.31,0,0,0,0,100,0,1,102,0,2,103,87,8,6,679,124,136,11,2,21,244,4,4,7,3,57.728,8483877.122,561.15,56360008.898,1237.211,2.252,0.054,0.0,0.0,8.231,0.252,2145.36,1044.844,217.687,8681.0,81359.0,359035236.0,2701293330.0,360354480.0,356966007.0,38.0,297990.0,298060.0,52212677179.0,397226.0,397387.0,55701591290.0,1024995955.0,15907586682.0,6815971535.0,41044789.0,47494708.0,133795062.0,30.0,8.0,601.0,6498080404.0,10994261718.0,35.492
7,3,114,0.84,0.67,0,1,0,0,128,0,0,52,1,6,79,167,6,6,383,39,403,43,3,35,364,10,5,6,1,1428.692,15742709.514,1015.842,98770115.842,1251.726,12.534,0.089,0.0,0.0,7.801,2.733,2931.774,1321.39,219.178,5026.0,70530.0,288344710.0,2836273816.0,368197040.0,370908468.0,58.0,368458.0,368535.0,48456482229.0,372356.0,372513.0,53461274905.0,1155013553.0,16509141740.0,6915059398.0,26354316.0,48115483.0,139070623.0,668.0,1017.0,3352.0,6789025431.0,10265311605.0,25.29
6,3,89,0.8,0.58,1,0,1,0,53,0,1,10,0,4,22,93,7,6,805,80,59,25,0,50,217,3,8,4,4,1333.231,13376816.273,1101.645,84676004.496,1257.008,33.826,0.025,0.0,0.0,15.19,1.463,1369.306,2506.397,264.463,4909.0,69903.0,303423849.0,2888620083.0,365276983.0,374381323.0,33.0,222853.0,222916.0,47585550788.0,359437.0,359584.0,51993663719.0,1039359582.0,16357640527.0,6711113299.0,24868423.0,30755491.0,118039025.0,0.0,8.0,675.0,6305435681.0,10041333183.0,29.255
3,4,9,0.41,0.45,1,1,1,1,100,1,1,55,0,3,68,61,8,5,954,36,827,36,1,97,135,1,8,7,6,8251.561,87251246.658,2488.658,309867491.439,1384.61,37.39,0.171,0.0,0.0,2.049,0.658,8084.976,3353.073,780.488,5419.0,64671.0,261985050.0,2429644874.0,322393129.0,327136746.0,38.0,267976.0,268026.0,44737715836.0,345141.0,345298.0,46003829910.0,931648986.0,14000428139.0,6236075140.0,30187985.0,50306345.0,111815617.0,7.0,0.0,1285.0,5889621265.0,9346586479.0,36.425
8,4,30,0.75,0.71,0,0,1,1,101,0,1,98,1,4,63,100,8,6,474,112,387,38,1,80,436,13,3,2,7,3300.323,24915121.064,2463.032,199129844.145,1292.145,30.742,0.21,0.0,0.0,6.452,0.452,4318.661,3008.452,516.129,4051.0,62068.0,249744555.0,2540305300.0,324991062.0,324432564.0,32.0,285586.0,285652.0,43579701322.0,334372.0,334522.0,48927733573.0,929140932.0,15112548490.0,6137797643.0,24387414.0,29155086.0,112456781.0,1397.0,1520.0,2017.0,5891934116.0,9002406249.0,25.757
1,4,101,0.57,0.7,1,1,1,0,125,1,0,59,0,4,48,147,8,7,553,66,92,37,2,67,112,3,2,6,7,219.947,12070655.203,325.218,57504615.023,1224.323,1.511,0.03,0.0,0.0,16.707,1.338,1101.88,2424.135,240.602,4497.0,72470.0,378081764.0,2722091103.0,377045445.0,363773903.0,38.0,244779.0,244840.0,47612001330.0,366342.0,366500.0,55573813582.0,970365578.0,16391777047.0,6755830708.0,25382587.0,51939280.0,116871445.0,0.0,0.0,900.0,6152314653.0,11302703705.0,40.851
3,4,111,0.51,0.34,1,1,0,1,45,1,0,128,1,2,76,85,6,8,268,52,695,49,2,53,415,11,4,6,6,2439.336,25804578.371,885.049,92452660.49,1287.846,13.133,0.021,0.0,0.0,7.734,0.308,2972.406,1330.224,223.776,7415.0,75496.0,410961170.0,2919080733.0,371069407.0,372624373.0,38.0,313001.0,313064.0,59676469836.0,380296.0,380456.0,70203431561.0,1145095738.0,19487147941.0,7333757783.0,42617269.0,48770006.0,150600106.0,0.0,0.0,681.0,7004613231.0,13384772592.0,42.024
4,4,76,0.8,0.75,0,1,1,0,88,1,0,43,1,6,124,152,8,7,606,123,843,29,2,23,282,2,1,1,7,1080.917,13854206.583,1023.694,86452021.806,1240.444,20.065,0.056,0.0,0.0,16.889,0.657,1105.62,3318.028,296.296,5246.0,68318.0,352326285.0,2648026006.0,354330644.0,351841015.0,32.0,261866.0,261917.0,50504797722.0,354334.0,354485.0,61092741416.0,993783791.0,16929382082.0,6697462848.0,25615874.0,37397299.0,117123458.0,0.0,0.0,1276.0,6414034927.0,10846341579.0,28.704
5,2,96,0.62,0.61,0,1,2,1,38,0,1,35,1,5,102,158,8,10,328,73,172,17,3,99,401,9,9,3,4,826.762,13807609.608,913.554,78843730.454,1227.523,20.254,0.085,0.0,0.0,18.3,0.5,928.162,3207.938,246.154,5236.0,72365.0,305432295.0,2854806180.0,385676164.0,383194425.0,93.0,426128.0,426241.0,48322912602.0,375262.0,375415.0,51532111114.0,1077979572.0,15880896746.0,7222852835.0,25016208.0,47824255.0,140212159.0,122.0,278.0,5556.0,6391552272.0,10698223484.0,28.71
2,5,70,0.57,0.78,0,1,2,0,98,1,1,5,1,2,127,50,4,8,164,106,611,28,2,86,364,8,6,4,7,2174.657,27686312.843,1052.628,120171113.167,1295.892,12.931,0.088,0.0,0.0,5.529,0.559,3804.333,1262.657,313.726,8710.0,77113.0,324784125.0,2539851354.0,342520797.0,355922535.0,38.0,266391.0,266457.0,49838229081.0,387510.0,387666.0,53311838200.0,946900162.0,15976915346.0,6717396899.0,32683530.0,49818219.0,136470752.0,7.0,7.0,576.0,6203993711.0,10343649623.0,51.273
6,2,117,0.41,0.85,0,1,2,1,59,0,1,37,0,4,103,188,4,5,978,47,822,35,1,58,150,7,5,7,5,996.456,9103651.906,1176.926,70230387.926,1232.443,8.107,0.04,0.0,0.0,17.275,5.517,983.557,2163.826,214.765,5759.0,72508.0,296013760.0,2709288478.0,342555933.0,355202352.0,38.0,294449.0,294509.0,48573758540.0,369144.0,369299.0,51627215240.0,1003091004.0,15927782520.0,6713222041.0,28958117.0,44761982.0,131623578.0,55.0,77.0,1451.0,6175774976.0,9858450552.0,37.173
4,3,88,0.7,0.36,0,0,0,0,16,0,0,79,1,5,26,196,9,9,694,57,192,47,0,23,221,2,6,5,8,1019.858,13178774.417,956.842,76953190.983,1262.358,17.525,0.025,0.0,0.0,16.867,0.758,1369.242,3499.85,266.667,5550.0,68211.0,340021547.0,2685813119.0,343452948.0,346154959.0,32.0,239599.0,239651.0,46163648141.0,353947.0,354095.0,48797988385.0,944905610.0,15128874092.0,6748511156.0,27660630.0,36286261.0,117999669.0,0.0,7.0,586.0,5961870950.0,9560373483.0,29.081
6,1,65,0.87,0.83,1,0,2,1,117,1,0,56,1,6,42,153,6,7,625,120,966,41,2,53,147,7,5,3,5,1857.01,15065191.938,1174.67,109164159.856,1273.619,23.959,0.041,0.0,0.0,13.402,0.742,1978.381,3299.186,329.897,4771.0,65678.0,278706776.0,2529242005.0,338961952.0,337576746.0,32.0,248780.0,248834.0,45326190170.0,346566.0,346719.0,50215911189.0,898244550.0,14759681722.0,6383079914.0,32330243.0,51931093.0,130147291.0,23.0,15.0,677.0,6311916275.0,9841823681.0,24.253
7,2,80,0.52,0.65,0,1,2,0,49,0,0,104,1,4,27,39,6,6,854,78,363,4,1,75,360,8,7,6,3,1851.518,17547764.25,1454.223,113318163.554,1270.009,24.75,0.143,0.0,0.0,8.143,8.688,3038.714,1656.786,285.714,5954.0,79227.0,292388969.0,2814321396.0,365721185.0,367874461.0,32.0,307405.0,307486.0,49438917156.0,383356.0,383510.0,53918165079.0,1112882892.0,16833338456.0,7170866893.0,33905091.0,49556064.0,131781888.0,0.0,24.0,1484.0,6486358729.0,10755091678.0,25.47
5,2,94,0.4,0.41,1,0,0,1,111,0,1,101,1,2,95,98,7,9,378,42,623,34,3,61,465,8,8,2,8,938.952,11597579.04,716.833,79433049.508,1248.064,9.286,0.095,0.0,0.0,17.421,2.23,1265.318,3446.675,253.968,5322.0,70304.0,270438399.0,2678548261.0,354756657.0,353227745.0,33.0,444945.0,445010.0,48166269146.0,370423.0,370575.0,53953346736.0,1006333264.0,16043901427.0,6547622584.0,28158871.0,45562669.0,134888485.0,6153.0,3865.0,5969.0,6629419547.0,9430057482.0,26.705
