spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
#slarge
7,4,65,0.35,0.72,0,0,1,0,13,0,0,44,0,4,6,44,6,6,642,110,493,35,3,32,243,7,7,2,1,186.478,5618805.431,2304.124,583270697.577,27234.33,107.454,0.27,0.0,0.0,4.838,237.471,549137.746,276128.458,20951.254,7863.0,99931.0,590291729.0,4558439998.0,597250457.0,600967101.0,67.0,486747.0,486856.0,80377441316.0,480948.0,481097.0,87041871965.0,1758314045.0,26636928714.0,11365939952.0,51041621.0,95592114.0,212221852.0,7084.0,4138.0,21932.0,10375476073.0,17715084883.0,100.17
7,6,46,0.83,0.4,0,1,0,1,28,1,1,103,0,2,23,126,6,7,798,118,32,33,1,26,403,9,2,3,2,204.59,5914531.894,3000.229,640892272.91,32482.468,64.973,0.261,0.0,0.0,4.324,305.747,644026.798,347460.87,25138.16,7016.0,106401.0,569929232.0,4195480243.0,549651710.0,553860412.0,104.0,411204.0,411352.0,77490061962.0,481785.0,481931.0,83944699491.0,1740846198.0,25597776909.0,10570155027.0,40960291.0,58238254.0,176998494.0,119.0,17.0,1407.0,9857993151.0,16229011868.0,129.556
5,3,36,0.69,0.42,1,0,0,0,120,0,1,107,0,3,39,26,4,6,841,69,947,10,2,94,185,6,2,7,3,151.006,4504567.521,5027.932,814355717.015,36701.891,152.988,0.244,0.0,0.0,5.597,227.991,580313.874,528347.306,28772.053,8921.0,148831.0,956564651.0,5260607277.0,675029407.0,681293295.0,168.0,346515.0,346749.0,96004610749.0,595704.0,595859.0,112958229527.0,2011229642.0,32221687693.0,12550241902.0,78694564.0,103319743.0,285762241.0,30.0,93.0,1415.0,11767510582.0,23650581290.0,205.945
6,4,19,0.62,0.69,1,1,1,1,55,0,1,22,1,2,118,74,5,9,367,85,546,3,0,59,447,15,6,5,8,223.112,5903315.586,4048.627,1056160616.649,45091.981,364.366,0.25,0.0,0.0,3.131,157.821,552569.742,321386.317,34905.142,9421.0,200715.0,728595078.0,5378040192.0,643038110.0,640166744.0,110.0,285059.0,285251.0,87996155895.0,717866.0,718010.0,89596919844.0,1802384780.0,26096014451.0,11349394445.0,58345580.0,84796524.0,222228174.0,72.0,0.0,1043.0,11478420107.0,17866301374.0,151.304
4,5,112,0.77,0.51,1,0,1,1,45,1,1,90,1,4,51,165,7,5,263,48,423,5,2,68,339,13,4,4,5,70.127,3473655.328,1086.548,336636169.028,19597.402,79.975,0.127,0.0,0.0,10.602,43.008,198972.003,177314.072,14830.822,9570.0,157294.0,930549806.0,5684052093.0,691778155.0,675856461.0,90.0,396962.0,397140.0,100352287833.0,614844.0,614992.0,112854955732.0,2184026978.0,32885794781.0,12425321065.0,85771119.0,133248407.0,262376655.0,18.0,17.0,1097.0,12177104572.0,22989588764.0,126.483
6,3,49,0.56,0.45,0,1,1,1,4,1,1,37,1,6,57,35,3,3,979,29,914,17,1,23,201,9,2,6,4,177.07,5678288.984,1942.356,595788839.222,31510.992,40.936,0.276,0.0,0.0,4.423,198.629,408213.799,203525.01,24367.954,8263.0,107984.0,667526188.0,4481080870.0,560132929.0,571132766.0,56.0,316090.0,316206.0,79850828375.0,487862.0,488013.0,81347138562.0,1866853168.0,26340031666.0,11093657922.0,47113891.0,70382273.0,201965873.0,17.0,0.0,2973.0,10545466730.0,17607356490.0,88.562
2,5,30,0.67,0.75,0,0,2,0,104,1,0,66,0,1,75,14,5,4,759,127,150,30,2,73,383,1,5,5,7,1736.272,36839959.292,5955.42,917835830.439,39122.718,79.554,0.631,0.0,0.0,0.856,376.42,1092840.43,100655.388,30184.66,12497.0,113386.0,781635322.0,4573269820.0,575672183.0,555970488.0,97.0,391682.0,391846.0,91519975793.0,507213.0,507370.0,92435284098.0,1885654764.0,28341516491.0,10963824447.0,71584880.0,105219438.0,256148165.0,8.0,49.0,995.0,10732042426.0,19027982172.0,155.735
7,3,9,0.65,0.74,0,1,2,0,10,0,1,33,1,5,91,67,2,10,244,15,645,45,2,41,222,11,3,1,6,336.25,10172021.671,7047.82,1092923783.943,52743.399,809.224,0.553,0.0,0.0,1.636,179.482,688599.882,339108.969,40231.11,6979.0,104341.0,744422533.0,4474927861.0,531658025.0,540970034.0,123.0,307873.0,308066.0,85125673545.0,474275.0,474422.0,97802854378.0,1708455801.0,28499864841.0,11027520724.0,70417154.0,63645472.0,181019819.0,0.0,9.0,705.0,10277769256.0,19567589380.0,145.864
3,3,97,0.43,0.57,1,0,0,1,17,1,1,125,1,3,22,141,5,8,618,64,832,42,1,47,215,13,6,5,1,344.42,7709230.213,2094.411,385988019.157,22866.224,30.465,0.184,0.0,0.0,3.16,114.575,340450.403,80269.1,16329.608,11887.0,112508.0,752677485.0,4840004941.0,595864715.0,600269298.0,122.0,536761.0,536964.0,94500088723.0,513963.0,514115.0,92389553752.0,2209305206.0,29021099451.0,11504148603.0,71508696.0,121217633.0,245372598.0,0.0,118.0,2621.0,10770193282.0,18324767336.0,138.296
