spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,1773.222,19197360.514,2222.308,370408528.173,37987.114,25.04,0.325,0.0,0.0,3.018,44.838,449910.249,151990.671,29283.012,17441.333,300718.333,722559203.333,5917519869.333,633804862.333,636508148.0,69.0,359449.667,359578.667,95654963539.667,969849.667,970000.667,96939949059.0,2107287510.333,29466900191.0,11595980707.333,64584849.0,88186418.667,242608351.667,421.667,278.0,1972.0,11331707642.667,17851910902.333,100.919
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,5342.119,83756633.906,3927.46,692903397.516,54025.494,52.088,1.348,0.0,0.0,0.188,132.253,1542033.96,98394.509,40517.232,23405.333,481442.0,996156311.333,7678084465.667,709094259.667,717195592.333,154.333,356365.667,356601.333,116783392008.333,1432523.333,1432671.0,102545184245.0,2372201229.667,32666634934.333,12997079921.667,93084578.0,113826143.0,281604425.667,1566.667,141.0,1534.333,12515646824.333,19432246901.0,186.178
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,609.422,4859544.28,1095.558,200690110.333,21692.05,30.826,0.178,0.0,0.0,6.935,63.441,193374.936,137852.381,13406.713,10647.0,106643.333,671381025.0,4747333705.333,591161995.333,589076234.0,55.667,685260.0,685375.667,91586292082.333,504578.667,504735.333,92378109947.333,2028709152.667,28793114523.0,11526586831.333,64091869.333,125202672.333,254813461.667,7372.333,7751.333,15797.333,11515078572.0,17523807944.333,87.448
5,4,80,0.66,0.66,1,1,1,1,78,1,1,78,1,4,78,121,7,7,640,78,618,30,2,67,340,9,6,5,6,452.928,6064593.213,1031.426,235329494.299,26232.596,59.761,0.168,0.0,0.0,9.715,51.571,196651.502,207051.893,18391.694,10927.0,105860.333,794294389.0,4564023617.333,612083751.667,611692277.667,44.667,374788.667,374887.0,102684867819.0,481515.667,481669.667,128435266321.333,2113947605.0,34621001389.333,11811209580.0,80767048.667,112728154.333,248100031.667,160.333,425.667,846.333,11611384171.667,23377983028.333,80.096
4,4,32,0.54,0.42,1,1,0,1,27,1,1,2,1,1,27,42,7,10,280,103,213,21,1,67,100,9,9,4,6,1526.001,16035956.846,2031.403,397640708.174,46240.542,61.586,0.282,0.0,0.0,2.545,88.424,544113.655,164511.961,29252.937,11018.0,105669.667,644400824.333,4249031837.0,556922964.0,554044368.0,64.667,352565.0,352680.333,82969808626.333,482633.0,482784.0,85248428584.667,1746724594.667,26165697161.0,10340241684.333,63510161.667,87177944.333,205128841.667,185.0,60.333,1385.667,9909300239.0,16153794833.333,92.729
7,4,128,0.42,0.66,1,1,0,0,103,1,0,52,0,3,27,160,7,6,280,2,416,30,2,51,500,4,7,8,1,595.375,5035840.068,1103.527,186213862.295,17957.52,105.796,0.133,0.0,0.0,7.156,77.731,346928.272,181540.997,13412.903,11799.0,112111.667,783104422.667,4904225103.667,591075721.0,591966729.667,50.0,341502.667,341609.0,95691743039.667,502683.0,502841.0,97225263843.0,2146350992.0,30162410077.0,11583896927.333,72716421.667,93611923.667,227704319.667,3.0,2.667,669.333,10947264371.0,19015454053.333,90.731
2,4,80,0.66,0.66,0,1,1,0,52,1,0,52,1,1,78,160,7,7,280,27,821,30,1,35,180,7,6,5,3,2099.762,24775792.357,1949.125,269462729.876,24316.126,26.479,0.353,0.0,0.0,1.581,87.633,342490.157,36592.124,18415.496,13681.667,115436.333,787155074.333,4716183930.667,609916371.333,614223017.333,91.0,374252.667,374405.0,100050298671.667,519472.0,519624.333,92710717557.667,2132759245.0,29081515607.667,11687529595.0,86450600.0,99028013.667,252877145.667,94.0,61.667,1237.333,10905443012.0,18345768808.0,129.909
8,2,80,0.54,0.54,0,1,1,1,52,0,1,103,0,4,103,81,5,4,460,103,618,1,2,35,420,15,9,5,7,836.051,5722958.472,1713.375,255287329.769,24294.233,114.384,0.171,0.0,0.0,7.101,179.58,429404.632,296040.496,18497.149,19209.667,315316.0,885600528.0,6169368049.0,678115288.0,677883505.667,55.667,327770.333,327887.667,104250744943.667,1007018.667,1007173.333,107395766329.0,2418726203.0,32258790537.333,12784617377.0,81050966.0,104006541.333,250233181.667,1075.333,12.0,737.667,12413251487.333,20363923266.333,104.91
7,2,32,0.66,0.9,0,1,2,1,78,1,1,27,1,2,52,121,4,6,820,128,213,11,1,19,340,9,3,7,7,986.931,8116627.278,2436.198,351522746.582,46453.825,74.339,0.242,0.0,0.0,5.243,93.721,403904.083,310108.522,29604.794,9372.333,118560.333,638741238.333,4702931684.333,590788290.0,581630603.667,59.0,315633.0,315742.333,86931727319.333,512836.0,512988.667,91037217867.667,1951723699.667,27562987384.667,10546919865.0,61469872.0,76346896.333,204799815.667,50.0,910.0,1570.333,10484842898.667,16933436055.667,95.555
5,1,32,0.78,0.78,0,0,1,1,27,0,0,128,1,5,103,200,10,4,280,27,821,30,3,35,340,15,3,1,6,632.783,8377900.542,1942.929,403673323.967,37919.585,165.272,0.268,0.0,0.0,4.916,60.324,357906.265,237910.793,29283.012,8419.0,99640.0,611070546.0,4425024742.0,537497288.0,548641695.0,45.667,447806.667,447916.667,79376633822.667,473138.667,473287.0,86590890758.333,1678628853.333,26442811436.333,10681487628.667,59790156.0,88394007.333,208153550.667,3894.333,1320.0,6780.333,10376407259.333,16114380139.333,75.811
