ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
200000,3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,503.857,12910894.51,1642.739,374658897.8,37989.97,29.034,0.773,0,0,2.221,28.384,501201.362,107065.328,29283.012,18815.333,218853.333,732996771,4932093568,587445152.7,591660083.3,40,353315,353414.333,95010990908,748504,748655.333,86287545945,2018452102,27278713244,11171180538,75723465.67,95411143,248160769.3,542.667,347.667,2169.667,10603842284,17433110865,61.559
200000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,2365.738,72432854.7,2867.388,702297189.6,54013.88,44.213,1.772,0,0,0.259,68.152,1530995.967,109432.501,40517.232,22682.333,298532.333,920459626.3,5922332594,671822257,680085214,74,350093,350230,1.14E+11,953405.667,953553,97561392740,2241366840,29909798408,12360058288,102094523.3,120979289.3,289391418.7,494.333,468.667,2189,12404604738,18895971830,99.796
200000,8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,143.008,3481858.778,711.094,198854884.7,17889.624,23.747,0.158,0,0,6.22,54.865,184970.878,97398.838,13381.373,11031.667,102159,651802537.3,4696299555,596804897.3,605927961.7,130,597755.667,597949.333,89994918250,495352,495509.333,93541244843,1975649560,28508187831,11518809724,57623559,108749434.3,257094771,1825.667,1173,11552.333,11258839790,18147427939,64.397
200000,5,4,80,0.66,0.66,1,1,1,1,78,1,1,78,1,4,78,121,7,7,640,78,618,30,2,67,340,9,6,5,6,113.419,4123292.259,793.649,223681634.2,25226.023,56.815,0.191,0,0,5.116,65.453,247542.466,141366.188,18403.572,10193.333,103215,697937094.3,4572430373,588308103.7,585688173.7,41.333,408304.333,408402,93937029252,477744,477899.667,1.11E+11,2165790048,31858842024,11199975633,69707138,100427243.3,220983986,11.667,36,1529.667,11250220949,21962461669,54.377
200000,2,5,80,0.66,0.9,0,1,2,1,78,1,1,27,0,3,2,121,7,7,460,103,213,21,3,83,500,9,6,7,7,225.374,8761736.536,979.869,264464910.7,24184.763,13.33,0.268,0,0,2.78,111.463,583463.762,141950.895,18391.611,13154.333,111519.333,675659603.7,4649670811,605078273.3,608484073.7,48.333,605308,605415.667,92819023872,517702.333,517859.667,94288382952,1966914505,28780533529,11363696100,68766332.33,102083745.7,251404234.7,5619.333,7528.667,19332.333,11354371996,17798234549,83.729
200000,5,6,104,0.42,0.66,1,0,1,0,2,0,0,52,0,3,103,81,5,4,640,103,213,50,2,51,420,9,3,2,3,99.825,3901427.677,847.569,192828968,20581.691,69.876,0.168,0,0,7.09,110.691,388918.409,223009.292,15524.531,9908,96280.667,713850160.3,4463977101,611191165,609989372.3,38,352599,352687.667,1.02E+11,456472.667,456622.333,1.34E+11,1985765633,36125849492,11730056799,65564728.67,86384616,228777431.7,401.333,295,1728,11499575906,24402154280,56.964
200000,7,1,56,0.42,0.66,1,0,1,1,103,1,0,103,1,5,103,81,5,4,640,103,821,30,3,51,500,9,4,5,4,227.333,5829060.7,1632.663,358037478.4,29475.294,52.05,0.247,0,0,4.484,85.589,303568.962,159733.271,22624.394,9027.333,96168.333,602460102.7,4252922231,545954217.7,548712367.7,38,439438.333,439530.667,81425706983,472296.333,472449.667,85479606940,1807312630,26736586129,10693319687,55626410.33,94772524,234500963.7,3735.333,3014,5400,10435570423,16366712114,59.586
200000,4,2,104,0.42,0.54,0,1,1,1,128,1,1,27,1,2,52,160,10,4,820,103,10,21,2,35,180,7,3,7,4,273.734,6175731.588,1164.384,213080038.6,21889.39,35.52,0.171,0,0,3.813,81.254,273389.387,66547.781,15499.12,13101,109427.333,696520577.3,4769432825,566341453.7,570664806.7,43.333,299640.333,299732.667,97203366586,495991.667,496150.667,95007871013,2141611397,29439731188,11136478128,71724418,89606555.33,224644454,21.333,25,1340.667,10716612752,19262725792,71.492
200000,7,4,104,0.9,0.78,0,1,1,1,103,0,0,78,0,5,103,42,5,4,460,78,1024,40,1,67,100,12,1,2,7,146.087,4352758.485,1119.357,207918914.7,20563,20.737,0.155,0,0,5.656,160.72,407663.66,204264.041,15524.531,9300.667,97587.333,595843837,4284737652,566020200,572322642.7,40,437422.333,437510.333,82868168622,461786,461933.667,87207887166,2021199930,27427341754,10717337686,53907833,80625425,218154483.7,6136.667,2648,14548,10431220731,17574232811,61.277
200000,7,5,56,0.54,0.66,0,0,2,1,52,0,1,78,0,2,2,2,7,10,820,2,416,30,1,83,260,9,7,7,9,162.956,4970490.879,1298.487,291174151.2,29300.333,42.673,0.21,0,0,4.728,190.561,572848.467,314964.02,22480.747,10230.333,100243,615935944.3,4136217240,533936723.7,527436699.3,41,386371.667,386470.667,83175660443,469044,469197.333,82863126876,1804699444,25666447622,9788031377,55211045.67,85186551,215402282.7,835.333,559.333,3166,9999009452,15676094182,61.251
200000,4,1,104,0.78,0.78,0,0,1,0,27,0,0,78,0,3,52,160,8,4,280,2,416,21,1,35,180,12,9,7,1,400.167,7565461.894,1161.533,204173441.4,20593.53,37.258,0.162,0,0,4.196,108.344,488846.723,123080.978,15524.531,12029,103180,705554926,4589285904,573096129.7,565812619,44,389163,389272.333,92675612803,478155.667,478310.667,90281230745,1962107920,27218662059,10670484360,71013758.67,80552213.67,233883590.3,56.667,9,1125.333,10783115612,17501283202,67.966
200000,4,3,80,0.42,0.42,1,1,1,0,27,1,1,78,0,2,128,200,8,6,820,78,821,30,0,67,260,4,6,8,6,330.408,8415000.159,1201.763,252077481.8,25239.759,69.393,0.256,0,0,3.717,145.908,606058.009,152353.714,18391.606,11253,102241.667,695596216.3,4601255653,564216340.3,565435394.7,44,334819.333,334907.667,90053497909,472402.333,472549.333,90362011896,2112035245,27887969348,10782291226,73188251,94768763.33,235950666,171.333,511.667,1215.333,11014284141,17284692683,74.109
200000,7,2,104,0.54,0.54,0,0,1,0,103,1,0,2,0,5,52,121,7,4,820,103,821,30,1,99,420,1,4,4,4,137.624,4021508.249,1217.409,210776915.6,20566.395,22.19,0.145,0,0,5.766,145.41,406779.377,205148.323,15524.531,9719.667,98559,544054259.3,4353307102,544972203,542609433,40,312067,312156,80651032880,466297,466447.333,83858907220,1835910219,25982766580,10086902140,44673869.33,66452337.67,205908582.7,245.333,210.667,2243.667,10025301377,16043606702,64.35
200000,7,4,128,0.66,0.42,1,1,1,0,103,0,0,52,0,2,52,160,5,3,460,52,416,40,2,83,180,9,3,7,4,114.374,3825101.446,906.384,184507169.4,17951.694,47.122,0.135,0,0,5.853,62.507,348209.742,180259.527,13412.903,10598.667,103433.667,703306239.7,4587519089,602823903,606872814.3,41.333,328745.667,328837,95792492661,481405.333,481562,1.15E+11,1951928455,31914676525,11742921418,65301826,77517063,223459834.3,135.667,1029.667,1666,11626217402,22265983149,62.889
200000,2,5,8,0.78,0.66,1,0,1,0,78,0,0,27,0,5,52,42,4,3,640,2,618,30,1,99,340,7,7,1,3,105.582,8131008.329,1411.357,453815049.3,53630.918,42.226,0.74,0,0,1.159,89.509,1102709.109,537719.36,40517.232,5934,94822.667,473367535.3,3915078373,500800493.3,511609971,44,364780,364885,69583890287,450377.667,450524.667,76322407961,1546732985,23692264256,9570273665,51519895.67,68161157,190025352.7,3025.333,490.333,3269.333,9228200849,15105779639,76.044
200000,8,3,104,0.78,0.66,0,0,0,1,52,0,0,78,0,5,27,2,7,10,820,52,213,30,0,83,500,9,7,2,4,169.938,4286571.768,1272.946,234248572.4,20590.145,153.516,0.182,0,0,5.547,169.975,409403.101,202524.6,15524.531,9161.333,98992,630639222,4352472314,546977865.7,545837257,38.667,300475,300563.667,77897713309,465598,465744,82867357837,1752121524,25666902217,10421342860,58459603,78463301,194259148.3,223,93,1126,10151683534,15943107912,63.602
200000,8,2,104,0.66,0.78,1,0,1,1,128,1,0,103,1,4,103,42,4,7,640,52,821,11,1,99,420,7,6,5,6,172.011,4308162.275,1124.715,218384184.4,20568.643,36.352,0.167,0,0,5.638,85.328,214002.775,107229.646,15524.531,9976.333,103717.333,667964612.3,4625616721,582859132,591763870.3,40,418272,418377.333,88764731240,476837.667,476989.333,94200356830,2162398871,28818096806,11071149484,57990193,94596464.33,236956283.7,416.333,137.667,2629.667,11216834875,18135700430,56.35
200000,5,4,104,0.78,0.42,0,0,1,1,78,1,0,2,1,4,78,81,8,10,100,27,213,30,2,67,260,4,7,4,7,101.701,3819673.661,802.11,201598103.1,20587.786,56.703,0.194,0,0,6.674,39.261,205056.508,116281.506,15524.531,10404,97601.667,576088108.7,4115365777,528345499.3,535686257.3,38,290454,290544.667,82142967064,466658,466810,84588054689,1732339158,25411201294,10127457177,59743834,76777401,201684428.3,161,104.333,953.333,9894324618,16823681328,52.429
200000,4,6,104,0.42,0.54,1,1,1,0,103,1,1,78,1,1,27,160,8,4,460,52,618,40,3,19,260,9,3,4,4,235.993,6191023.597,1060.334,239076365.1,22736.338,31.817,0.534,0,0,3.478,70.231,284066.462,68164.977,15482.216,12460.333,101135.333,731086371.3,4561167539,606313563.7,617389499.7,46.333,385619.667,385726.333,1.03E+11,484949,485103,1.02E+11,2197580354,31333497710,12078019183,81118961,105700086,258055320,500,127.667,2110,11820912658,19307915776,85.121
200000,1,3,32,0.9,0.54,1,0,0,0,52,0,1,103,0,2,128,121,8,7,640,128,10,11,2,83,180,12,7,4,3,430.228,20902906.56,1229.999,361775846.5,37985.549,31.698,0.38,0,0,1.231,74.371,1012553.738,146069.55,29252.604,12869.333,121598,802019570,4908055120,597364258.3,609098856.3,49.667,457822.333,457935.667,97685917383,523632,523786,1.11E+11,2097691844,32010858464,11927933042,83427940.67,120697646.3,272460546,798.333,978.667,1190.333,11922303297,21674113668,91.47
200000,5,6,8,0.42,0.9,0,0,0,0,78,0,1,27,1,6,52,42,10,7,640,103,416,21,3,35,260,12,6,7,6,229.461,7107954.435,1593.906,525046647.4,53637.25,60.528,0.656,0,0,1.144,58.426,544123.186,293255.382,40517.232,7357,98472,605830032.7,4331039395,549525511.7,549782980.7,109.667,457085.667,457244,76460902390,474403.667,474560.667,82495985747,1806157555,26176136220,10537732448,46412270,70088473.33,196935079.7,1792,718,6479.333,10116968359,16455114540,59.424
200000,2,3,80,0.54,0.66,1,0,0,1,78,0,1,103,0,1,103,81,4,10,1000,103,213,21,2,99,180,7,7,1,1,721.004,15688893.28,1386.533,270777173.8,25336.958,130.176,0.446,0,0,1.603,150.937,680975.484,77908.207,18403.572,15534.667,114051.667,898526700.7,4975232573,620877073,628074689.3,48.333,421747,421872.667,1.06E+11,512250,512400.333,1.06E+11,2314034658,32320234253,12224098419,96489872,116816781,277285724.7,233,83,799.333,12005677816,21579452687,93.48
