spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,466.129,12380978.414,12612.708,2736666441.55,38136.398,128.716,0.268,0.0,0.0,1.875,58.3,706723.082,151915.139,29443.6,27798.0,933543.333,1187363476.333,9940139076.333,863482865.667,858391722.333,792.333,363702.667,364551.333,118399753379.0,2544186.0,2544333.667,104461391814.0,2515478030.333,32545125518.0,14249195709.333,95118302.333,90280783.667,273745335.667,268.0,1732.333,3950.667,12015925406.333,20944498034.0,410.764
4,2,107,0.37,0.8,0,1,1,0,34,1,1,41,1,4,41,183,6,9,244,22,456,20,3,69,319,7,1,7,3,72.274,3649673.206,2933.886,1100487530.564,20252.275,55.398,0.148,0.0,0.0,6.552,76.525,297680.354,147554.47,15327.176,10821.0,156624.0,855345863.0,5333849934.0,693893158.0,679328814.0,356.0,490124.0,490548.0,96476389937.0,614879.0,615033.0,97487249696.0,2061886970.0,28982864638.0,12234098816.0,64932087.0,91884988.0,236447619.0,9015.0,319.0,13367.0,10872017676.0,18918692628.0,344.786
6,2,58,0.46,0.67,1,0,0,0,51,0,1,44,0,5,49,40,7,8,279,112,93,20,2,66,483,14,7,5,1,163.627,5288687.5,6508.854,1253480215.094,28991.328,984.545,0.252,0.0,0.0,4.729,251.342,568128.203,313595.082,22325.434,12372.0,152309.0,739471820.0,5087149094.0,572730803.0,570007079.0,276.0,320675.0,321030.0,92170952722.0,597382.0,597535.0,100336791692.0,2162638273.0,31306379019.0,11655855506.0,95878557.0,76755941.0,205317232.0,8.0,0.0,536.0,11293945096.0,17860070069.0,333.546
2,5,89,0.49,0.82,0,1,1,1,81,0,1,108,0,3,34,151,3,4,933,53,18,7,0,37,156,2,3,7,7,214.144,6982965.004,2404.544,723341995.5,22701.752,53.42,0.159,0.0,0.0,5.675,184.144,521489.721,161182.276,17310.073,11229.0,173271.0,904718291.0,5160356963.0,693644046.0,692903450.0,210.0,364885.0,365142.0,86838338703.0,653312.0,653459.0,91140134480.0,2474329774.0,32368862413.0,13289725988.0,77353089.0,95121128.0,240716201.0,37.0,0.0,2145.0,11919970883.0,20778381663.0,218.848
1,6,123,0.34,0.75,1,0,0,1,44,0,1,29,1,2,110,85,7,7,675,65,503,12,1,22,231,8,6,1,4,172.92,8644875.375,2931.773,976062887.028,19605.389,57.84,0.146,0.0,0.0,3.643,58.154,361249.49,63497.141,13841.026,13263.0,198261.0,1018397487.0,5549806811.0,652549733.0,639898125.0,422.0,367567.0,368059.0,95021360138.0,721610.0,721758.0,99237152302.0,2216627619.0,29823926202.0,11938189121.0,86599175.0,108375099.0,265365592.0,46.0,0.0,1411.0,11498981049.0,18419007895.0,417.344
7,5,82,0.43,0.5,0,1,2,1,103,1,0,123,0,3,127,143,6,10,732,63,577,37,0,55,137,11,5,3,4,168.264,4904255.786,7457.933,1600408259.752,23923.077,529.942,0.175,0.0,0.0,5.181,173.835,481313.214,238020.804,18234.708,8813.0,132572.0,860220711.0,4782006531.0,612052807.0,612181768.0,317.0,307629.0,308001.0,85210045043.0,545728.0,545871.0,89586995340.0,2018120744.0,26742823771.0,11153355391.0,71910514.0,68863467.0,190611343.0,27.0,159.0,1345.0,10941537188.0,17451040889.0,383.766
8,1,31,0.71,0.35,1,1,1,1,98,0,1,20,1,4,113,19,8,9,883,102,908,42,1,57,397,2,5,2,6,299.18,6207707.18,10114.291,1315587543.291,38411.168,140.573,0.247,0.0,0.0,3.487,240.136,566364.304,274074.354,29873.316,7446.0,116987.0,561698479.0,4245766418.0,556715002.0,557556282.0,199.0,303089.0,303382.0,73498686642.0,505005.0,505151.0,80617265850.0,1688711527.0,25158827948.0,10470081453.0,44854369.0,58742642.0,175279434.0,0.0,345.0,1630.0,8939868615.0,15913407480.0,245.07
6,2,99,0.65,0.33,1,0,2,1,24,0,0,86,0,4,97,10,8,7,847,91,115,45,0,85,143,3,3,6,3,117.787,4072556.102,3464.883,960964136.168,21251.187,225.798,0.167,0.0,0.0,6.748,128.087,409906.326,226399.837,16138.83,9385.0,115194.0,823664477.0,4652926161.0,597545857.0,598657435.0,216.0,306629.0,306892.0,85602961912.0,503990.0,504134.0,88863500814.0,1902547031.0,27763883505.0,11348700535.0,72012788.0,104115089.0,229390502.0,0.0,0.0,855.0,10334532664.0,18343301499.0,245.126
3,1,124,0.7,0.74,0,1,2,1,79,1,0,67,1,6,71,3,6,7,386,84,476,25,3,34,286,8,3,2,5,49.961,3510634.532,2540.895,636582810.073,18310.97,39.174,0.138,0.0,0.0,6.737,47.642,230107.805,170021.924,13810.744,8956.0,126337.0,951425745.0,5066431404.0,672421557.0,657340692.0,366.0,361422.0,361858.0,84292904555.0,553450.0,553598.0,90284513721.0,1960064892.0,28345068838.0,12015155586.0,60767738.0,92883158.0,241512562.0,1467.0,946.0,4001.0,12206075715.0,19364955819.0,227.985
2,5,65,0.4,0.66,1,1,2,0,110,0,1,52,0,5,89,123,5,6,819,127,195,16,0,50,180,15,6,4,9,63.642,4200337.83,2908.373,1105410393.4,28940.521,112.726,0.15,0.0,0.0,9.249,97.759,504470.43,376981.033,20905.678,6766.0,161088.0,798615969.0,5626415438.0,703739292.0,619009536.0,583.0,318174.0,318825.0,94358632486.0,610981.0,611124.0,104880266899.0,2073245244.0,32423890691.0,10823809038.0,62459223.0,73810408.0,212453240.0,434.0,15.0,860.0,11341132486.0,17160464313.0,344.446
6,2,104,0.44,0.39,0,0,0,0,119,1,0,128,0,6,38,99,10,8,526,35,355,41,1,95,197,12,2,2,2,128.464,4109598.262,4391.123,801060806.678,20562.722,69.034,0.133,0.0,0.0,5.349,141.664,410798.714,204602.738,15609.632,8410.0,116526.0,661326776.0,4834773309.0,602080793.0,600866694.0,269.0,556870.0,557202.0,87698973791.0,508667.0,508813.0,93240222271.0,2215592774.0,29948872828.0,11968284085.0,60034076.0,93029577.0,246065340.0,219.0,44.0,1774.0,11126850753.0,19426455854.0,238.158
8,5,33,0.54,0.41,1,0,0,1,72,1,1,101,0,5,76,167,9,4,592,9,823,30,1,59,349,5,8,1,4,323.015,7020441.665,12652.932,1395188206.123,37737.317,315.258,0.329,0.0,0.0,3.735,352.249,777818.517,374758.582,29306.683,7263.0,124887.0,724616811.0,4421622261.0,550266273.0,556026591.0,270.0,354109.0,354463.0,72702165327.0,524917.0,525060.0,75460992657.0,1612569034.0,22586687656.0,10502106176.0,50840465.0,69439937.0,219983578.0,0.0,94.0,2009.0,9752563436.0,16201748715.0,272.84
8,1,47,0.5,0.89,0,1,1,0,60,1,0,72,0,2,24,96,4,5,755,71,628,46,3,89,250,7,4,3,4,282.047,6401389.905,12955.987,2727947173.197,32238.213,251.845,0.229,0.0,0.0,4.166,293.06,658144.797,325240.792,24875.874,9196.0,135646.0,781773716.0,5013944204.0,640546587.0,631713495.0,332.0,411658.0,412070.0,89060868377.0,567212.0,567361.0,98398419953.0,1898878631.0,29285552642.0,11707418158.0,68447585.0,78562275.0,205147935.0,4639.0,748.0,5448.0,11784594696.0,18560590285.0,432.239
3,3,113,0.81,0.63,0,0,0,0,10,1,0,119,1,1,82,129,2,6,950,27,656,39,1,99,424,6,8,3,8,206.616,6134372.697,4882.492,1301800927.068,19591.151,116.326,0.162,0.0,0.0,3.258,95.179,348687.997,74233.677,14737.143,12930.0,130480.0,854551390.0,5043643031.0,629729826.0,627308587.0,217.0,406810.0,407099.0,96363948053.0,548835.0,548984.0,97039365393.0,2122142337.0,29351203179.0,11512590955.0,79862848.0,111060412.0,290695243.0,164.0,132.0,1755.0,12036246151.0,18481746325.0,323.514
4,3,117,0.39,0.58,0,0,1,1,6,1,0,89,0,6,20,138,5,8,705,122,247,29,3,86,106,5,8,2,3,78.198,3561393.848,2900.396,648384609.764,19030.152,48.559,0.115,0.0,0.0,7.83,114.902,357179.271,209794.814,14384.291,7167.0,119966.0,647132209.0,4746889609.0,599039058.0,606310965.0,297.0,576041.0,576420.0,83124250900.0,534199.0,534347.0,91783882091.0,2107453327.0,30840295047.0,11815640312.0,62477035.0,92712728.0,228939985.0,3059.0,4870.0,11988.0,10771826629.0,17670063837.0,198.741
4,5,18,0.69,0.47,1,1,2,0,9,0,0,17,1,3,54,169,5,5,486,57,48,23,2,45,279,14,2,8,7,1310.83,19085147.822,9223.621,1711239611.398,45788.046,195.576,0.296,0.0,0.0,1.299,344.576,853550.235,180646.591,35412.121,10248.0,123655.0,710739940.0,4686532260.0,588667919.0,594332869.0,175.0,314947.0,315170.0,96404495191.0,528713.0,528871.0,117167338898.0,1769585996.0,32286514730.0,11132099434.0,70256698.0,83486594.0,225619138.0,8.0,0.0,1075.0,10976787366.0,22677277728.0,198.471
