spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,739.788,15417342.969,7866.928,1761860470.112,38126.085,75.692,0.285,0.0,0.0,1.803,75.204,661936.022,140021.125,29443.572,25977.667,651698.0,928092316.333,8002453995.333,756339808.667,745360056.0,230.0,366628.667,366914.667,111912647224.667,1848927.0,1849076.0,102787525169.333,2284298772.667,29937473782.667,11911096404.0,82597383.333,100092632.0,268921385.333,1843.667,504.333,2421.0,12214540738.333,18552718453.0,272.002
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,2452.173,72653745.199,19502.841,4472310379.497,54235.211,139.44,0.954,0.0,0.0,0.17,93.935,1574500.009,72811.848,40739.674,37242.667,950133.0,1274768358.667,9725428891.0,827987137.667,846341491.667,330.333,363382.333,363778.333,131348390902.667,2606693.667,2606840.667,112642297393.0,2650837813.333,34892055209.667,15338809458.333,119398693.667,113466802.333,295005398.667,267.0,192.333,1458.333,14197978598.333,22387874615.0,416.268
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,140.78,3864602.859,2732.784,517310072.247,21690.329,58.666,0.138,0.0,0.0,5.8,69.803,289953.187,156622.714,13480.171,11577.333,120196.667,724013992.333,5174295818.0,634981543.667,643518545.0,414.667,671206.667,671698.333,96732442697.0,532154.667,532309.333,100203887872.333,2104234410.0,31016079700.0,12215480225.667,66375564.333,116457905.333,275140090.667,10813.667,4438.0,16862.667,11860749788.333,19427324958.667,191.84
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,93.93,4377309.2,2101.567,672080032.233,26586.808,177.905,0.178,0.0,0.0,6.501,116.624,312103.29,239496.849,20441.661,9901.0,118630.667,795957646.333,4608627441.333,590818985.667,587035639.0,194.333,379661.0,379921.333,91656606269.0,512821.333,512972.0,106670374732.667,2038769242.667,30284269718.0,11539343273.0,73990739.333,80256550.0,205943425.0,2294.0,60.333,1346.0,11202335373.667,20334797313.333,158.861
3,3,91,0.84,0.88,1,0,1,0,35,0,0,5,1,5,85,115,4,3,158,59,445,43,1,22,361,1,2,2,4,64.236,3646623.499,2426.011,544876101.01,22363.201,45.516,0.138,0.0,0.0,6.878,53.136,268405.332,194405.934,17062.432,8835.333,110143.667,592254848.0,4325669503.333,538132444.333,540873252.667,169.0,302753.0,302994.0,79471715569.0,492181.0,492326.667,84902686822.0,1931913503.0,26411532126.0,10306680487.333,61070823.667,67884201.333,198360851.0,560.667,8.667,1956.667,10282956914.333,16075698289.667,173.741
8,2,116,0.44,0.37,1,1,1,1,47,0,0,85,1,5,95,70,6,7,854,2,868,45,1,76,235,2,4,7,8,153.174,4047476.714,3424.831,537982828.341,19153.214,35.98,0.143,0.0,0.0,5.93,99.323,262123.145,132285.417,14471.45,10830.667,109075.0,656721828.0,4540752170.667,570719926.0,574128391.667,161.667,381281.667,381525.333,87142170644.333,490318.333,490468.667,89244288939.333,1860796072.667,27559538126.333,11163154973.667,64921877.0,84056703.333,226837327.333,607.667,220.667,2316.333,10807251692.0,16934046081.667,168.325
5,5,103,0.5,0.87,1,1,0,0,105,1,0,86,0,1,16,14,6,4,657,17,77,36,1,27,338,8,8,5,4,104.111,3839363.862,6768.038,1632998314.3,20780.957,234.749,0.188,93713.315,91954.793,6.562,128.235,399191.718,219424.785,15711.614,11762.667,140269.667,860884867.667,4792374486.333,606789794.667,603734814.333,347.0,434889.667,435289.667,90903294885.667,569966.0,570115.0,91088032433.0,2005035492.333,27924811694.667,11104368798.667,75093386.667,95273312.333,218816456.333,97.333,76.0,925.333,11043526643.0,17930278977.0,404.028
2,1,113,0.51,0.31,0,0,1,0,59,1,1,27,0,3,55,144,8,7,591,54,402,35,1,78,359,6,5,5,2,176.127,6164242.88,1595.429,462570345.901,19501.562,17.346,0.136,0.0,0.0,4.011,57.881,427237.855,152969.353,14737.129,12081.333,119968.333,746123254.333,4920636994.0,616844995.0,612051048.667,173.333,311480.667,311722.667,92992615310.0,522627.0,522778.333,93910016279.333,2061965852.333,29233505572.667,11176314060.667,73843932.333,84830921.667,240674511.667,283.0,126.333,1243.0,10984255377.667,17998242028.0,174.449
7,4,124,0.67,0.59,1,0,1,1,79,1,1,65,0,3,42,173,7,5,803,52,642,31,0,61,380,7,4,2,8,139.721,3664138.86,3209.788,517501303.489,19092.684,169.561,0.153,0.0,0.0,5.906,175.176,375312.126,192013.9,13797.399,11632.0,121682.0,761785166.333,4963001068.0,592840156.333,595461499.0,168.0,309070.667,309307.333,93226789988.667,522140.333,522284.333,96422023552.0,2283998092.333,29757711605.0,11449194148.667,67986285.333,87243243.333,229827151.333,135.0,120.333,1257.333,11238021621.667,17989570276.667,199.584
3,3,34,0.46,0.73,0,0,1,1,124,1,0,128,0,4,101,120,4,7,205,66,49,30,3,81,322,12,3,3,2,116.709,6199867.713,3872.782,1038779103.027,37037.551,78.72,0.239,0.0,0.0,4.859,189.17,711153.751,425733.42,28750.216,8168.667,112298.667,678900423.0,4598913452.333,560641183.667,562082419.667,211.667,655299.0,655573.0,81691852084.333,503164.0,503312.667,92232449206.667,1886741438.0,27978168598.667,11209932248.667,76273204.333,93798737.667,219506052.0,6141.0,4363.667,11645.667,11090807381.333,16787960595.0,183.514
