spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
#huge
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,179.869,5748739.157,975.058,74877947.211,3898.005,14.444,0.045,0.0,0.0,78.22,17.364,64112.704,52704.313,1771.037,22771.667,421985.0,1293592431.333,9614732252.333,1055750026.0,1063550062.0,104.0,378888.667,379072.333,162777844037.667,2490492.0,2490651.667,159018202186.667,3933863608.667,49835814125.0,19246200061.333,111098615.333,118827747.333,352937869.667,656.667,230.333,2600.667,19555409088.0,29854086913.0,137.318
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,471.865,17867892.711,1088.774,80070204.908,3984.723,8.096,0.091,0.0,0.0,10.191,56.356,144319.333,10641.71,1788.873,30771.0,489746.333,1466092306.0,10603968950.333,1151940276.667,1156967052.667,267.333,350238.667,350611.0,181636664393.333,2603083.667,2603240.667,170072428698.0,4310390169.0,53392182164.667,20771965387.667,134574464.333,144740865.0,402976442.333,102.333,140.333,1131.0,20865766780.0,33130486902.0,158.453
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,14.601,3257866.928,630.917,69709171.321,3932.702,68.626,0.051,0.0,0.0,73.714,8.553,65498.724,53416.592,1788.873,12976.667,173778.333,1287512974.333,7822238799.667,1020827226.0,1010274984.0,48.667,348298.0,348412.333,153200102499.0,1873136.667,1873297.333,163138945507.333,3358250358.0,49140533050.0,19639428336.333,113640656.0,120536315.667,344750898.333,32.333,62.333,1017.0,18875184156.0,32461435697.333,121.955
5,5,102,0.88,0.51,0,1,1,1,117,0,1,116,0,4,36,33,5,10,775,60,635,23,3,78,168,14,6,1,8,49.74,3528470.359,936.012,80352883.63,3650.286,19.395,0.032,0.0,0.0,74.167,73.201,89717.855,68102.641,1782.71,41760.333,430651.0,1285841530.0,14443137851.0,1270527004.0,1271360484.667,59591.667,743390.667,803085.0,303495895975.333,18206628.667,18206778.333,297692357191.667,8051542594.333,83674246825.0,35340183452.667,110377662.0,177224264.0,659231077.667,1646.333,928.0,15314.333,35714320291.667,61692338750.333,878.72
3,1,89,0.71,0.39,1,0,1,0,120,0,1,73,0,5,67,110,3,9,752,96,834,30,0,69,139,13,3,1,3,29.605,3500088.651,551.256,62019106.876,3913.409,34.376,0.032,0.0,0.0,56.98,26.423,101185.561,53775.482,1788.873,9898.667,170327.0,1201813784.667,7561595450.333,987551574.667,989728511.667,59.0,317854.333,317984.333,135250349797.0,1863476.667,1863631.667,144659505340.667,3145597345.333,45205883249.333,18795403745.333,90020910.0,104690004.333,314650283.667,3.333,3.0,1112.333,17977800493.667,29381512247.333,125.706
3,1,16,0.68,0.52,1,0,1,1,115,0,0,6,1,3,115,71,3,4,124,31,477,38,3,33,291,8,5,5,5,150.967,6329508.337,1031.893,74077275.481,3933.044,5.23,0.064,0.0,0.0,59.212,14.798,78179.276,40736.051,1788.873,13770.333,278110.0,1198842439.0,8591454275.667,1085710419.333,1082194689.333,421.667,330264.333,330751.667,156305949987.667,1937656.0,1937820.0,164361499627.333,3358373663.0,51306379875.333,20690365353.333,119034792.333,116669081.333,364396207.0,397.333,317.667,2611.667,20171663467.333,31815709789.667,156.158
7,5,100,0.86,0.37,0,0,2,0,55,0,0,114,1,5,44,193,9,7,394,69,493,21,2,21,311,15,9,2,6,67.746,3736052.487,1171.404,77501398.921,3934.642,150.169,0.064,0.0,0.0,73.681,14.712,65897.47,52095.487,1788.873,12337.333,172709.333,1240847752.0,7872018253.667,1031090231.333,1030034564.333,55.667,375292.667,375416.667,152799376402.333,1865954.0,1866112.667,162774688464.333,3537534056.0,49703953146.333,19662300534.333,114149870.667,127577871.667,344707541.667,52.333,6.333,577.333,18766460573.0,32642917514.0,121.733
7,3,101,0.38,0.68,0,0,1,0,105,1,0,44,1,2,57,74,7,9,834,3,916,10,1,27,470,13,5,2,5,66.262,3733011.898,1205.232,79778473.676,3927.565,61.321,0.055,0.0,0.0,73.459,20.318,66058.941,52857.269,1788.873,12867.333,181613.333,1161405884.0,7713125061.667,996934570.667,997666070.0,62.333,340532.0,340650.333,148107140302.667,1885906.333,1886062.667,153054407389.667,3341106034.667,46807219630.333,18596330421.333,102699231.667,119240793.333,333069774.333,129.667,40.667,1966.667,18344517556.0,29451721623.333,123.527
4,6,46,0.4,0.44,0,1,0,1,106,0,1,48,0,3,82,125,7,5,515,49,563,26,2,95,482,6,7,4,3,257.7,5955997.08,1218.114,73527566.933,3937.762,58.416,0.056,0.0,0.0,62.667,37.876,111538.885,43379.149,1788.376,12235.667,178975.0,1160595212.333,8183553955.667,1032508160.0,1026069557.667,59.333,379097.333,379228.333,155496597641.667,1884858.0,1885020.667,170434524508.667,3587426035.667,51541484472.667,20004422921.333,106382622.333,121589634.0,352026464.333,9.0,6.0,832.333,19540549617.667,33260276977.667,137.114
