spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7393.667,144083.333,605496540.0,4770668149.333,626849585.333,636327749.0,32.333,332036.0,332120.0,86997064078.667,1971987.333,1972146.667,100473739810.0,1859733334.667,29085308371.0,12205442214.667,49046756.667,62028031.333,210288608.667,257.0,175.667,1631.667,12202497776.667,18386359492.333,48.015
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9449.667,143554.667,626447310.333,4801694316.333,672183113.0,668622283.333,32.0,275220.667,275306.0,91803211333.0,1966970.667,1967128.667,95959133797.333,1877894755.0,28804128129.0,12741034189.333,58341632.667,69233701.333,227966752.333,325.333,132.0,864.0,12128198149.667,19403303988.333,28.29
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3697.0,95033.0,540300117.667,4953923833.0,655718305.0,657158719.0,32.0,597167.0,597236.0,90743439028.333,1877443.0,1877608.667,105720785477.0,1936274121.667,31600118401.667,13366002214.333,41440438.0,74448635.0,239404575.333,13814.667,7556.667,14695.667,13046111322.667,19995777799.667,27.88
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3826.667,96487.0,574904658.0,4639506843.0,641497216.0,636534315.667,32.0,282926.0,283001.0,85555576181.667,1855433.333,1855594.0,102315183694.667,1809083825.667,30267570036.333,12765239551.667,43191647.333,59421729.0,205976312.0,246.333,93.667,689.333,12627090416.667,20035170441.667,25.512
4,3,16,0.51,0.49,0,1,1,0,47,0,1,19,0,6,15,146,2,7,271,23,644,38,1,70,316,2,2,3,1,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3762.333,93042.667,522853441.0,4460351754.0,636469127.667,635891633.0,32.0,293037.333,293107.0,82574842517.667,1843814.333,1843972.0,96615214669.333,1805659908.0,29269943362.333,12531696544.333,40460860.333,55389354.333,205289553.667,46.333,32.333,1663.667,12058456171.0,18922306009.667,26.527
6,3,69,0.84,0.44,1,1,0,1,19,0,1,126,0,5,67,128,4,3,953,99,972,47,1,54,450,7,3,2,7,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444.333,92371.667,503468136.0,4404010143.0,649094612.667,643742624.667,32.0,319106.0,319184.0,81158845515.667,1842373.333,1842530.0,97219065256.333,1798212661.0,28767015572.667,12207703889.0,43192584.333,58672536.333,195652868.0,520.333,266.0,2330.333,12036377382.333,18902951837.667,28.096
2,5,41,0.63,0.68,1,1,1,1,13,0,0,91,0,2,68,41,8,8,749,45,504,6,2,50,253,15,2,5,4,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462.333,103780.333,571957190.333,4344185940.0,624995639.667,622381135.333,34.0,291304.333,291388.0,84812337525.0,1873620.0,1873785.333,98930477476.667,1753940261.333,28458901074.333,12355485062.667,54635480.333,70488330.333,213485403.0,240.333,99.667,1103.0,11949064173.667,18802507671.0,27.778
7,4,44,0.69,0.84,1,1,2,1,4,0,0,9,0,5,48,118,9,5,498,67,523,43,0,80,212,5,9,4,8,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.667,92578.333,558920203.333,4645901147.0,644963659.0,648155591.667,32.0,245146.0,245215.0,85204457487.333,1844150.667,1844305.333,100845680357.0,1836952309.0,29786911704.333,12714110348.333,43446307.0,56786817.0,218083463.0,9.0,0.0,747.667,12525867131.333,19553639901.0,27.259
2,4,105,0.52,0.54,1,0,1,1,95,0,0,22,0,6,37,136,9,5,634,5,683,4,0,71,186,9,5,2,7,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449.667,105355.667,573232307.333,4545414887.667,639366760.0,629946071.333,32.0,239468.0,239541.667,80638517764.333,1875691.333,1875846.333,93439914682.333,1875132420.0,29637795593.0,12591407809.333,48887872.667,58685440.0,207005951.333,52.0,15.667,847.667,11897945436.0,18883187909.667,27.693
7,5,117,0.86,0.45,1,1,1,0,82,1,0,12,1,2,69,191,4,8,441,43,773,24,3,68,154,3,5,1,4,231.87,11077778.07,17775.245,3390523969.405,1534.985,543.33,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3807.0,93855.667,499890519.667,4881832555.0,652017113.0,652034487.667,34.0,575327.0,575396.667,88954553396.667,1869052.333,1869210.333,105194178102.333,1947945549.333,31666089514.0,13243453091.0,44724173.667,77159564.333,227481794.667,5257.333,2756.667,13599.333,13120980929.333,19615476209.333,27.821
