spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,1143.63,13695679.76,1407.695,141642521.565,1537.135,236.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15806.0,461913.0,1100861677.0,9168472674.0,957515323.0,961123267.0,269.0,361195.0,361561.0,132727325610.0,2399653.0,2399813.0,140200976363.0,2987204052.0,43500886382.0,17729056101.0,86376699.0,103136836.0,343132261.0,1448.0,1147.0,3480.0,17904879938.0,26723475931.0,83.417
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,1618.35,34907741.202,1145.43,118857779.19,2439.978,12.62,0.17,0.0,0.0,2.72,91.12,349985.55,9825.17,7499.985,25227.0,384451.0,1187128621.0,8169262585.0,933216159.0,952252021.0,478.0,364690.0,365279.0,141533232535.0,2516574.0,2516731.0,142939627548.0,3166378871.0,44125870031.0,19039752400.0,101615475.0,112322393.0,321319422.0,222.0,280.0,1556.0,17409000655.0,28036661868.0,108.67
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,181.98,8069584.002,635.188,72802835.618,2391.952,59.482,0.06,0.0,0.0,33.635,3.578,131138.515,66492.84,7499.985,8082.0,328160.0,972107517.0,7914177147.0,939733351.0,942023825.0,302.0,321594.0,321953.0,128963436088.0,1973972.0,1974133.0,146909260024.0,2835159798.0,43522182341.0,17677300307.0,77023629.0,95486711.0,305873295.0,576.0,411.0,921.0,16964408979.0,28447089719.0,76.675
5,1,46,0.43,0.56,1,0,1,1,44,1,0,76,1,3,111,27,7,8,323,32,996,15,3,78,129,7,2,3,4,242.96,8708880.148,932.245,81834120.58,2372.388,9.268,0.058,0.0,0.0,33.4,5.132,131622.02,66009.335,7499.985,7846.0,148460.0,809507280.0,6822214818.0,890099376.0,887898491.0,177.0,412142.0,412402.0,114870703004.0,1982203.0,1982363.0,136262084372.0,2492288960.0,40172738196.0,16490758076.0,74284964.0,90521020.0,297862392.0,86.0,58.0,6155.0,16971459557.0,24869479479.0,68.73
8,5,53,0.3,0.89,1,1,0,0,71,0,1,67,1,3,96,43,7,4,846,55,268,12,2,56,268,6,6,5,3,354.9,8834031.282,848.712,83269542.652,2391.63,101.212,0.13,0.0,0.0,33.855,15.828,139055.945,71104.095,7499.985,9013.0,211965.0,924872838.0,7242216206.0,892275730.0,884065715.0,53.0,317389.0,317503.0,122672617958.0,1987640.0,1987805.0,138121282371.0,2827157565.0,41517535027.0,17462415490.0,81580019.0,104826894.0,309295787.0,0.0,0.0,944.0,16414480639.0,27274305171.0,58.212
7,1,42,0.36,0.63,0,1,1,0,2,1,1,29,1,4,84,132,7,8,770,120,147,15,2,81,121,8,9,5,3,305.25,8307725.115,884.27,86364921.74,2390.538,154.702,0.078,0.0,0.0,34.46,13.88,129535.072,68096.282,7499.985,9341.0,151261.0,883587800.0,6679641605.0,871408289.0,861805499.0,45.0,303406.0,303497.0,120807733167.0,1984730.0,1984894.0,131690725870.0,2782459871.0,41091642703.0,16792868604.0,75377799.0,82167526.0,265738900.0,0.0,0.0,520.0,15812992128.0,25713643887.0,63.136
6,2,107,0.57,0.51,0,0,2,1,59,1,0,51,0,5,53,106,7,10,471,41,508,20,2,74,166,8,2,4,2,258.868,7542575.342,804.288,68151199.548,2390.77,42.402,0.042,0.0,0.0,33.98,52.56,237564.82,122245.9,7499.985,7952.0,145714.0,886914458.0,6595495948.0,829267135.0,821330400.0,44.0,305391.0,305492.0,122641640261.0,1968753.0,1968913.0,142969361258.0,2731107991.0,42122434811.0,16164999510.0,73979677.0,79612769.0,285557108.0,0.0,9.0,886.0,16565692940.0,25765897598.0,62.374
2,4,63,0.84,0.87,1,1,1,0,98,0,1,57,1,3,60,90,3,10,646,104,270,9,2,62,292,4,3,7,3,334.01,12393273.342,483.611,81858558.549,2391.04,30.496,0.062,0.0,0.0,36.838,0.02,124358.928,72779.581,7481.282,12825.0,164583.0,1061548797.0,6993663731.0,890920915.0,885461569.0,62.0,326565.0,326706.0,131870573025.0,2022613.0,2022781.0,141512494784.0,3128733836.0,43998950873.0,17713176744.0,87959921.0,92046337.0,281610128.0,848.0,335.0,663.0,16058881329.0,28402915599.0,80.938
3,3,90,0.88,0.75,1,0,1,1,100,1,0,35,1,2,38,159,7,3,787,83,81,39,0,51,301,8,7,5,7,512.168,13170665.032,626.025,85068287.188,2397.522,58.0,0.098,0.0,0.0,38.6,0.15,121393.072,76238.282,7499.985,9833.0,142108.0,908871861.0,6733033987.0,851153906.0,845542473.0,73.0,289755.0,289884.0,118635130164.0,1958924.0,1959081.0,132734124529.0,2669447504.0,40909061615.0,16498405710.0,73521292.0,78695515.0,266040910.0,96.0,0.0,923.0,15939396241.0,25173105910.0,84.065
1,6,124,0.66,0.86,1,0,1,1,77,1,0,121,1,2,27,97,3,9,252,62,969,26,0,93,459,14,5,8,7,377.335,17131826.517,377.408,85805337.602,2393.68,16.4,0.085,0.0,0.0,28.648,0.058,140987.978,56643.378,7499.985,11318.0,147963.0,915815497.0,6721862111.0,849172030.0,853907941.0,66.0,321545.0,321663.0,121298567051.0,1976668.0,1976824.0,132513039044.0,2649996728.0,39272481042.0,16395376507.0,74645488.0,88796014.0,283292558.0,485.0,328.0,945.0,16233715950.0,25074849321.0,86.422
