spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,386.874,13564255.118,1414.097,114071989.08,2385.718,12.609,0.062,0.0,0.0,21.641,4.411,246807.938,68169.492,12499.94,18342.667,317067.333,1133039244.667,8013150199.667,937002857.333,927712854.0,65.667,356928.333,357085.0,132265136402.333,2342314.333,2342474.333,138802009155.0,3009903283.333,42108065645.0,16891423998.0,97781488.667,95709571.0,304471704.333,343.0,153.667,2448.0,17106616611.0,25795530539.333,91.4
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,1259.09,41659109.552,1408.37,144955743.332,2441.537,15.0,0.131,0.0,0.0,6.536,46.157,560021.283,39157.977,12499.94,22719.0,343561.333,1174729238.0,7923364324.333,971220016.667,974959391.667,71.0,344651.0,344813.333,137459371725.667,2408416.0,2408573.0,133665733651.0,3028268629.0,40010704259.667,17436432846.333,108363511.333,113189454.333,307879201.0,436.333,31.667,1637.0,17062079751.0,26772768466.667,102.514
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,229.919,9096225.101,1852.043,133775658.943,2382.999,20.706,0.07,0.0,0.0,33.432,31.529,209389.487,105326.117,12489.549,7367.333,143773.333,811066171.333,6903798325.667,859885208.333,859569269.0,130.333,636228.0,636414.0,117807214735.0,1934392.667,1934558.667,133922385090.667,2594103540.0,41091664539.0,16875195103.667,69211572.333,114583078.333,301712474.0,10662.0,4450.0,12613.0,16655914055.667,25292026766.0,77.66
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,115.465,8127010.916,1061.954,111403521.028,2390.908,78.045,0.077,0.0,0.0,33.272,9.171,211312.1,105574.22,12489.549,7737.0,146600.0,880654758.0,6582341088.0,854317368.667,851722660.333,44.0,324213.333,324324.667,118107969604.667,1923318.0,1923479.0,136989564905.333,2585665364.667,40650575608.667,16237301399.667,77310618.0,78962878.0,268378477.667,6.333,0.0,902.0,15422858268.0,26173749292.0,83.087
4,2,55,0.7,0.35,0,0,0,1,90,0,0,118,0,1,110,78,8,3,735,17,124,15,2,82,338,3,8,6,2,637.988,13900066.594,1696.213,117338421.96,2403.683,96.154,0.072,0.0,0.0,23.123,64.633,460590.917,138588.343,12499.94,11252.0,153866.0,941853714.0,6531475505.0,857196406.333,857337591.667,44.333,346916.667,347024.667,121160218746.0,1943419.0,1943586.0,131108040755.0,2681612577.0,40179339608.333,16359809141.0,83431017.333,90729915.0,283835704.0,252.667,112.667,693.0,15737803678.333,25840696769.0,84.389
7,3,64,0.34,0.38,0,0,2,0,50,1,1,18,0,6,54,190,3,10,816,127,805,15,2,74,332,13,6,5,2,206.32,8272286.765,1751.866,113565429.795,2391.957,137.264,0.049,0.0,0.0,35.125,154.156,388258.508,210422.682,12489.549,8590.333,153376.667,907483494.0,6576480730.0,881455037.333,881001566.333,44.0,295971.667,296076.0,118912296215.333,1940916.667,1941080.333,137173502945.333,2747369486.333,41966135420.667,16829219739.0,73705106.0,83907373.0,281588674.0,48.667,9.333,759.0,16016848530.333,27267318149.333,84.389
8,1,17,0.79,0.62,0,0,0,1,47,0,0,108,1,2,117,85,2,8,761,86,558,35,1,76,424,9,8,7,4,239.31,8430070.822,1980.177,117796534.994,2389.793,49.277,0.039,0.0,0.0,33.14,45.074,224911.636,111482.222,12499.94,7293.0,141068.333,774498304.333,6291821602.333,834427188.667,837507590.333,44.333,341646.0,341743.0,112781127978.0,1908504.667,1908666.667,124596696162.667,2558382687.667,38682076396.0,15927519401.333,69725169.0,81682015.667,266747490.333,9.0,127.667,1334.0,15068166473.667,24773015619.0,83.363
5,2,10,0.74,0.72,1,0,1,0,59,1,0,126,1,3,18,169,5,4,219,38,781,3,3,26,265,15,1,7,8,159.15,8413359.556,1273.252,121254701.218,2373.531,8.513,0.048,0.0,0.0,32.769,14.607,213256.867,103893.086,12499.94,9910.0,192673.0,954139911.333,7145085445.0,889323473.333,896976446.0,44.333,396390.0,396507.667,120486339230.667,2059020.0,2059185.0,138551104577.0,2711139762.0,42237057379.667,17189173230.333,84043972.0,88578635.0,295364013.667,242.667,117.667,2248.333,17061909344.333,26033865731.0,82.387
5,1,75,0.37,0.47,0,0,2,1,96,1,0,35,1,2,9,42,8,8,741,33,392,41,1,51,148,6,3,3,3,148.506,7824770.159,1215.655,106782773.69,2379.82,15.888,0.043,0.0,0.0,32.71,15.48,211943.202,103034.228,12499.94,6802.333,138587.667,782650145.333,6323818646.667,811770951.667,816593471.667,44.0,328855.0,328948.667,109581859509.667,1900904.667,1901062.667,124292535872.333,2413778668.0,37458410883.333,15424913459.667,64101179.333,72173819.0,258819621.667,294.0,147.333,1345.667,15305149806.0,23662046253.333,80.3
3,4,113,0.58,0.65,0,1,0,0,87,0,1,80,0,4,123,11,9,9,506,46,784,34,1,20,405,1,5,6,5,87.91,7417513.438,844.257,99938103.237,2374.922,10.629,0.028,0.0,0.0,32.728,38.874,403157.073,196022.187,12499.94,6774.0,142591.0,825832597.0,6432930753.667,848544125.667,855353839.333,45.667,348931.0,349030.333,114680829393.0,1913196.0,1913356.667,129182951124.667,2689201670.333,39071897077.0,15834058675.0,70307911.0,82864553.0,267356449.0,3.0,12.333,1196.333,15643342348.0,24712999317.0,83.176
