spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,434.307,12353631.129,4254.693,279480711.935,2397.753,25.268,0.043,0.0,0.0,22.9,36.601,695076.848,206343.487,37499.665,18907.667,504717.333,1245696497.333,9132961653.0,1014612198.0,1014789078.333,159.667,360204.0,360441.333,138282842466.0,2746986.0,2747144.667,140992278280.667,3080911458.0,42400144519.0,17683041012.0,104000079.333,93411067.667,309760259.333,459.333,155.667,2706.667,17064179414.333,26864974845.667,158.806
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,1342.175,43004623.343,4247.72,304247727.691,2450.602,30.298,0.171,0.0,0.0,5.855,427.197,1676717.123,104316.757,37499.665,25817.0,486259.0,1376892384.0,9383583343.0,1028131442.667,1031611801.0,230.0,351636.333,351964.333,155918838280.0,2826172.667,2826329.333,145525711494.333,3315526785.667,43979433613.0,18602014736.333,126332474.0,123332190.667,369946310.0,375.667,40.667,1708.667,17993397476.0,28368236803.0,172.234
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,269.918,9557146.965,5064.876,323532937.913,2390.946,48.025,0.099,0.0,0.0,37.154,211.582,566472.966,334947.369,37499.665,7827.333,217014.667,877115478.667,7181827908.667,919280091.0,913125529.0,513.667,643934.333,644506.667,121150195531.0,2011950.333,2012115.0,135842947712.667,2704063293.667,41903158945.667,17209964994.667,78795850.0,112118460.333,302878078.0,7717.667,4254.333,13174.333,16802791049.667,25703431973.333,154.931
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,117.874,7538286.073,2682.515,269809206.439,2390.146,168.472,0.037,0.0,0.0,34.137,92.458,592143.255,306940.195,37499.665,8347.333,156456.0,943149993.333,6780683343.667,863793540.0,864597443.667,58.333,328266.333,328390.0,122014183270.0,2002907.333,2003068.333,143703618225.667,2670700231.0,43083778970.667,16797426538.0,88414931.667,83589339.0,273531229.333,2.667,9.0,859.0,16614386018.0,27690794045.0,141.345
5,2,29,0.6,0.39,1,1,0,0,10,0,1,102,0,1,81,134,2,8,239,28,305,6,1,50,324,4,4,3,6,146.38,7491339.141,3835.234,260375855.761,2390.376,47.096,0.041,0.0,0.0,42.263,526.561,1026735.289,752818.098,37468.493,8993.0,195002.667,988754233.0,6884308150.667,857174182.667,845541408.0,66.0,355970.667,356101.667,113991170450.333,2097053.667,2097210.333,125004416730.667,2689672449.0,40762406908.0,15969001958.333,78986469.333,86182208.0,278488341.333,871.333,361.667,2068.333,14902386558.667,24342573924.667,156.365
3,2,9,0.76,0.58,0,1,2,0,51,1,1,118,0,5,76,157,7,8,635,13,954,11,1,51,151,2,7,4,1,92.202,6944884.666,2397.772,254280304.328,2375.777,15.775,0.038,0.0,0.0,37.361,300.294,1115649.013,665384.867,37499.665,7964.667,171579.333,951522734.667,6703805356.0,863106076.0,850241454.0,60.333,370475.333,370606.667,115014044282.0,2040467.667,2040625.333,124653746100.667,2506752387.0,37982181670.333,15698066155.0,78351962.0,85800956.333,275573224.0,214.333,176.333,744.667,15622157794.667,24190694338.333,153.677
6,2,124,0.47,0.39,1,1,0,1,41,0,0,66,0,6,114,115,7,5,531,79,198,33,0,80,392,13,3,5,7,179.203,8007725.905,4920.276,281327269.49,2390.104,70.602,0.042,0.0,0.0,41.089,683.322,1049366.03,731667.85,37499.665,7057.667,149857.667,891002071.667,6377057554.0,831001222.667,834812406.667,55.333,301242.333,301355.0,109435874634.0,1983708.667,1983862.0,121515249874.667,2573146668.0,38127134228.667,15692384230.667,69441035.0,74422124.0,255984287.667,246.667,121.0,1184.0,14847826032.333,24096991633.333,158.631
7,4,21,0.49,0.51,0,0,1,0,19,1,0,23,1,4,3,181,9,8,674,86,625,28,3,88,387,15,1,7,2,216.405,8819832.058,5021.236,322215780.872,2374.158,20.42,0.046,0.0,0.0,36.469,182.952,571244.986,327838.464,37499.665,7318.667,195585.333,922592660.333,7195665561.0,905073303.667,918820807.667,347.333,534226.333,534634.667,117390122458.333,1997997.333,1998161.667,130137835411.0,2611417062.333,40919051115.667,17104310789.0,78084931.333,95271558.0,305416651.0,13384.667,6503.667,14551.0,16356038138.667,25945772360.333,150.15
2,2,92,0.7,0.79,0,1,1,0,5,0,1,111,1,4,6,23,9,7,282,42,181,50,1,34,427,4,8,1,2,60.397,7345075.773,1443.68,252252335.461,2374.863,19.758,0.034,0.0,0.0,32.132,42.822,610146.169,288937.281,37499.665,6793.667,147478.333,831286402.333,6426157361.0,850215220.333,844739005.333,58.333,356193.0,356313.333,111758287443.333,1979083.667,1979239.333,129217242026.667,2474152872.0,38522460080.0,15862495731.667,73072225.0,91464344.667,271989137.667,130.333,79.333,1135.0,15396872479.333,24292182213.667,142.718
5,2,57,0.86,0.8,0,1,2,1,91,1,1,82,1,2,33,87,7,9,300,15,81,43,1,33,473,6,5,4,8,148.91,7471981.371,3418.535,276152261.579,2389.716,36.951,0.038,0.0,0.0,36.183,172.421,575203.879,326216.456,37499.665,7101.0,148710.0,904218612.0,6357418316.667,865664080.667,867056718.333,60.667,343754.667,343877.667,111987467947.333,1981628.0,1981786.667,122922951880.333,2588647813.0,38215038889.667,15930354725.333,69646800.333,80718345.667,262325750.333,0.0,6.0,1612.333,15013495778.667,25111121186.333,144.283
6,2,105,0.42,0.65,0,1,1,1,127,0,0,88,0,3,36,58,4,5,163,76,313,38,1,88,415,3,5,5,3,176.158,7816282.53,5149.255,279058160.275,2387.362,30.943,0.041,0.0,0.0,41.898,718.801,1034818.623,746215.257,37499.665,6972.0,149074.0,869586210.333,6392494712.667,833276402.667,837211936.333,64.667,347578.667,347708.333,111681325647.0,1979911.0,1980068.667,123129739442.333,2479099179.667,37517609539.0,15798277440.667,69236226.333,79062165.0,257755192.333,313.333,422.333,2336.667,15589692324.333,24244660843.333,163.327
3,3,54,0.81,0.32,0,1,2,1,38,0,1,109,0,1,94,86,2,9,109,107,414,32,0,85,195,12,2,5,7,444.06,12407897.761,4252.474,270784125.446,2397.627,47.208,0.039,0.0,0.0,26.345,86.204,1311630.963,469402.917,37499.665,8670.333,156003.333,937959536.667,6632038910.333,850512182.333,853192330.0,60.333,311538.333,311659.0,114729751432.0,1999350.0,1999505.0,125209371783.0,2716951819.333,38999535115.333,16036536050.0,75221206.667,89075299.667,275979496.0,141.667,113.333,2530.333,15677096303.667,24827749966.0,175.578
6,5,94,0.85,0.36,1,1,2,1,43,1,1,58,1,4,96,132,10,5,595,85,282,16,0,37,136,8,4,7,6,174.607,7897235.338,3786.218,275764671.673,2388.792,81.268,0.038,0.0,0.0,37.963,191.177,559147.691,342272.644,37499.665,7938.667,159399.333,912295450.667,6705560947.333,872893802.0,855536088.667,57.333,298182.667,298308.0,114586700683.667,2006690.0,2006844.667,125741658379.667,2694829345.667,39062334187.0,16075257108.0,65901812.333,80446015.333,255762163.333,327.667,223.0,1100.333,15279176594.333,24804600141.0,138.667
1,6,18,0.32,0.66,0,0,1,1,43,1,0,30,0,6,111,112,5,7,313,87,889,15,0,29,331,11,9,1,4,31.982,7638554.361,1045.517,232852217.55,2386.486,38.324,0.039,0.0,0.0,32.953,88.538,1193956.79,587077.09,37499.665,7200.333,167606.667,923172390.667,6642581278.667,869560276.667,863078070.0,61.0,284686.333,284807.333,113270753492.333,2026694.667,2026846.667,127877380570.0,2654879204.333,39399707274.0,16099455561.333,75195048.667,78363859.0,272154157.667,215.333,112.0,651.333,15614077258.667,24685372050.0,185.146
2,2,73,0.62,0.85,0,0,0,1,13,1,1,19,1,1,22,198,10,9,486,98,484,17,1,97,223,8,7,7,1,1123.347,26324790.674,4916.893,319480946.911,2434.735,36.465,0.082,0.0,0.0,9.1,318.68,856447.54,85755.145,37499.665,12646.333,164715.0,946941008.333,6645580958.667,898095575.0,895715981.0,113.333,350256.333,350438.0,130334116519.0,2029243.667,2029407.333,134805400091.667,2795589259.667,41167492349.333,16522941739.667,97008794.333,97872223.667,306079069.333,406.333,514.0,1306.667,16161709806.667,25359359139.667,157.359
4,3,98,0.48,0.58,1,0,0,1,89,0,1,37,1,5,103,102,5,6,421,116,15,26,1,50,168,9,3,2,3,116.809,7334064.467,2901.857,267724366.592,2374.528,17.678,0.028,0.0,0.0,34.812,129.827,617932.734,330232.263,37499.665,7223.0,153742.0,912423211.667,6611422798.333,867644529.333,866906935.333,64.667,361626.0,361756.0,114275097434.667,1992241.667,1992398.333,127848878100.333,2625530565.0,38832443004.333,16137700956.0,68548687.0,84848914.667,278028241.333,723.667,615.667,3304.0,15710415104.333,25033009702.333,145.691
7,5,21,0.85,0.83,1,1,1,1,39,1,1,113,1,1,127,114,10,6,938,123,456,35,0,48,222,8,4,4,3,229.784,8411462.093,4687.146,302934826.839,2391.199,211.132,0.043,0.0,0.0,38.258,258.902,541900.07,336201.628,37468.493,7438.0,150165.667,864102094.667,6423158934.667,836514733.333,837659872.0,57.667,318782.0,318894.333,112477411608.667,1983146.0,1983300.333,125692048361.667,2533057537.667,37973858203.667,15868303817.333,75781794.0,77816363.0,265452447.333,448.333,239.667,1042.0,15553624935.667,24191542128.333,144.789
8,4,19,0.46,0.63,0,0,0,0,120,0,0,65,1,1,95,147,9,8,770,70,849,5,1,29,142,2,7,5,5,239.649,8226052.499,5763.838,301454119.191,2391.627,134.184,0.048,0.0,0.0,38.028,402.331,581150.808,356554.283,37499.665,9904.333,197317.667,1016613777.0,6841116054.667,889171953.0,878137217.0,64.0,325242.333,325367.0,119035066384.333,2103896.0,2104056.0,129094541495.667,2724033749.333,39809547709.0,16365227309.333,78609540.0,81040057.667,258984053.0,15.333,86.333,1311.333,15916173193.667,25757910707.0,143.434
4,2,33,0.45,0.77,0,1,2,0,32,1,1,74,1,6,49,158,3,3,492,17,690,32,2,32,128,1,6,4,9,123.924,7543113.995,2948.598,276947331.103,2388.008,138.699,0.039,0.0,0.0,35.206,132.223,584042.831,317377.504,37499.665,8311.667,155132.667,977485700.333,6754313827.0,861344606.333,865762422.0,58.333,315883.0,316015.333,119600179971.333,2000386.0,2000546.333,133451767682.0,2642941638.333,40390808289.667,16562732487.333,89366728.333,89770889.667,269762852.0,3.0,0.0,839.0,15899970485.333,26513812114.667,148.016
4,4,63,0.76,0.43,0,0,1,1,74,1,1,114,1,1,7,171,7,6,958,9,985,2,2,56,326,5,6,5,8,650.317,13333488.962,4359.279,287287861.448,2398.881,140.855,0.049,0.0,0.0,23.029,33.294,692005.208,207078.242,37499.665,17081.667,290374.0,1278947278.333,8106396240.333,969868944.333,967495971.333,69.0,354083.333,354219.333,137633089563.667,2340702.333,2340868.0,144428691492.333,3171599704.0,44196435790.0,18195189712.667,112440994.667,103674927.333,312797401.333,294.0,150.0,1330.0,16872926745.667,29041974580.333,145.125
5,4,10,0.89,0.35,1,0,1,0,92,0,0,79,1,3,101,91,5,9,751,43,630,10,1,40,498,5,8,2,5,146.115,7634505.117,3598.126,281585620.908,2390.367,62.753,0.045,0.0,0.0,35.114,170.5,583301.698,315781.752,37499.665,7818.667,168355.0,914043714.0,6430225322.333,844069262.333,846729870.333,61.667,338770.667,338888.333,111966495047.0,2029988.667,2030145.0,125127328983.667,2618037841.667,38851089388.667,16199661444.333,75857290.333,87611203.333,272971766.333,11.667,22.0,1500.333,15327073189.667,24425030007.333,143.673
6,2,24,0.59,0.89,1,0,0,1,56,1,1,84,0,3,61,80,8,7,506,94,701,28,1,47,396,3,6,5,5,182.51,7765649.133,4504.932,276157614.653,2388.563,32.665,0.032,0.0,0.0,43.518,602.081,968889.32,746608.58,37499.665,7111.0,154229.333,856945683.667,6604663296.333,869780918.0,875396292.333,69.0,335628.333,335757.333,118230830668.333,1996355.333,1996513.0,132781551488.0,2741319845.333,40713765595.333,16619254946.333,71608905.333,80428790.0,271669251.333,213.0,166.333,1092.0,15515923992.0,25893829248.0,152.365
5,1,83,0.63,0.8,1,0,2,1,42,0,0,107,1,3,112,128,3,4,406,41,402,9,1,49,127,7,9,3,3,149.024,7578861.172,3790.648,282260388.988,2388.916,43.399,0.046,0.0,0.0,35.548,159.614,580960.109,320460.226,37499.665,8459.333,173019.333,969289590.333,6720174396.0,860767728.333,872538593.0,68.333,344721.333,344861.333,117535838501.0,2043493.0,2043651.0,131001191410.667,2727889351.667,40038842726.333,16599462896.333,81000703.667,85742466.667,276484671.0,236.0,128.0,1322.0,15900931891.667,25515223586.333,147.602
