spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,12.789,3593908.037,370.118,33300477.044,3925.892,34.975,0.053,0.0,0.0,126.293,0.123,4683.64,41858.693,537.232,20211.0,313153.0,1189272537.0,9297689282.0,1093791296.0,1096807443.0,117.0,382946.0,383118.0,163805067783.0,2510384.0,2510544.0,175984883147.0,3825065747.0,50110884120.0,19272280173.0,99250641.0,121756846.0,372614848.0,154.0,59.0,1742.0,20959217657.0,31680399210.0,182.338
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,657.978,14200120.093,339.203,49523796.731,3978.331,23.24,0.188,0.0,0.0,14.195,16.27,40560.12,5982.213,537.232,33328.0,393649.0,1423166695.0,11336858943.0,1156392320.0,1142062965.0,196.0,352399.0,352676.0,225408175682.0,17242669.0,17242824.0,197102395536.0,6106664426.0,60937448469.0,25702275194.0,134529903.0,146792731.0,391276570.0,40.0,9.0,733.0,25570454532.0,39182300817.0,132.702
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,298.436,4491325.643,554.561,44476265.057,3915.22,20.739,0.151,0.0,0.0,70.508,8.903,20212.665,19851.585,536.784,10106.0,198323.0,985639312.0,8591691652.0,1066187620.0,1067295193.0,489.0,727123.0,727709.0,154103470584.0,2815881.0,2816047.0,175865978160.0,3468061478.0,52306130156.0,20630951384.0,80728730.0,152460324.0,392142310.0,525.0,246.0,13625.0,21084045124.0,32118650575.0,105.61
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,61.495,3928917.441,278.73,35243279.986,3934.972,43.299,0.059,0.0,0.0,48.327,6.204,25766.484,13368.513,537.232,13286.0,207430.0,1092153471.0,8264162166.0,1023496478.0,1020119154.0,284.0,355348.0,355678.0,152620894622.0,2156719.0,2156880.0,168526983061.0,3335636645.0,50311081573.0,19550207782.0,107701988.0,125066974.0,368592424.0,1240.0,654.0,1725.0,19741454346.0,31100926678.0,83.305
6,4,74,0.56,0.35,0,0,1,1,35,1,0,16,0,2,94,109,9,4,581,71,375,24,3,88,358,14,2,2,8,89.999,4088172.061,312.805,33788683.573,3903.472,9.358,0.037,0.0,0.0,124.577,0.24,6309.587,40232.747,537.232,14571.0,163204.0,1212130250.0,7830184859.0,1060139490.0,1065355794.0,44.0,609355.0,609459.0,167768344882.0,2145039.0,2145198.0,165138439601.0,3417102387.0,50602420491.0,20531888454.0,124331747.0,163215097.0,412920070.0,409.0,278.0,16368.0,20394540115.0,31285371913.0,83.934
5,1,122,0.81,0.43,1,0,0,1,101,1,1,19,0,1,22,30,7,5,903,63,807,44,1,73,499,13,6,2,7,8.836,3028692.105,277.312,27971261.122,3911.558,11.206,0.037,0.0,0.0,126.449,0.151,4653.397,41888.937,537.232,15458.0,163575.0,1137972453.0,7604338439.0,965695870.0,970967246.0,44.0,306627.0,306731.0,155830383696.0,2133346.0,2133503.0,154654444076.0,3461482188.0,46624321385.0,18238726573.0,107614106.0,120390648.0,355422220.0,838.0,183.0,1111.0,18814189101.0,29780037398.0,96.545
3,3,40,0.85,0.32,1,1,1,1,28,1,0,23,0,3,50,22,2,3,704,35,683,25,2,41,361,13,3,8,9,172.478,5608381.717,293.728,34855295.378,3923.733,14.569,0.062,0.0,0.0,64.291,3.759,25861.82,20680.513,537.232,17392.0,172574.0,1225177341.0,7666753800.0,989962358.0,980743412.0,50.0,306984.0,307101.0,166419997973.0,2161493.0,2161662.0,162725101758.0,3637693524.0,48335734069.0,19071312433.0,122450814.0,140059553.0,361907651.0,27.0,0.0,988.0,19415087351.0,31026263562.0,90.348
5,5,61,0.84,0.72,0,0,1,1,51,1,1,33,1,4,19,162,9,4,700,70,53,40,3,85,256,11,3,4,1,122.641,4099897.547,387.483,36591013.658,3903.932,13.39,0.066,0.0,0.0,118.641,0.326,7743.004,31392.002,537.232,14931.0,168544.0,1196984054.0,7825340863.0,1062117890.0,1073184110.0,230.0,683992.0,684272.0,162472565791.0,2155710.0,2155871.0,167831241775.0,3412963450.0,51020754172.0,20703419708.0,121512507.0,147808981.0,383078790.0,1768.0,590.0,16183.0,19659206455.0,32400959400.0,130.226
8,3,47,0.87,0.57,0,0,2,0,122,0,0,108,1,5,11,163,8,6,991,49,737,11,3,22,305,8,6,8,4,122.708,4350042.006,394.148,39510758.576,3906.339,8.772,0.037,0.0,0.0,124.297,0.176,6094.146,34003.817,537.232,13570.0,217615.0,1302086273.0,9100725333.0,1115560605.0,1132985064.0,71.0,405423.0,405580.0,180803130206.0,2274720.0,2274885.0,179737550185.0,3655106703.0,54206385183.0,21559174385.0,138776396.0,168465636.0,430815792.0,9.0,0.0,1131.0,21340967267.0,33928680205.0,90.795
6,5,46,0.35,0.72,0,1,0,0,14,0,0,71,0,5,52,119,5,7,119,123,809,10,0,62,495,15,8,4,3,91.906,4281372.302,345.878,24606674.015,3941.241,35.404,0.036,0.0,0.0,124.178,0.333,6426.103,40116.23,537.232,16434.0,178915.0,1153239446.0,7802376387.0,1008830405.0,1021080808.0,48.0,306118.0,306228.0,155989882074.0,2172507.0,2172662.0,157994938696.0,3582340261.0,48604312251.0,19142254060.0,120544526.0,130197466.0,362651592.0,0.0,0.0,580.0,19202842295.0,30428755324.0,104.885
