spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,18049.0,261640.0,1116941355.0,7924366558.333,1041271404.667,1045185848.667,40.0,371653.0,371774.0,160710599132.333,2285292.667,2285452.667,153273536974.333,3450934946.0,46553210480.0,19247832951.333,119687669.667,135868970.333,369089048.0,279.0,257.0,1524.0,18576437141.667,30220553118.333,68.845
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,11663.333,138924.0,1031338175.0,7101757793.0,951535518.333,951594099.0,38.0,334217.667,334334.667,148916695864.333,1980775.333,1980936.667,155497819253.667,3329245483.667,46486966678.0,18470074581.667,111677451.667,123570632.0,355705226.667,9.333,21.667,1077.333,18056648493.667,30400333913.0,44.301
3,2,108,0.79,0.3,0,1,1,1,70,1,1,58,1,3,47,84,5,6,977,81,892,27,1,86,354,4,2,3,6,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,12600.333,138895.667,988101554.333,6800141694.333,940261538.0,945848273.333,38.667,381722.0,381835.333,148687554546.667,1977562.0,1977723.0,144945578742.0,3269606462.333,44908890622.667,18007567973.0,105026696.667,129325360.0,339639755.667,773.333,320.667,2667.0,17338019647.667,28406551343.0,44.317
4,2,85,0.76,0.33,1,1,0,0,125,1,0,16,0,3,14,153,9,7,727,16,904,18,1,65,245,10,2,5,9,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,10905.0,144661.0,985479726.0,6896486645.667,944007876.333,947023382.333,44.0,385038.0,385143.0,151139160071.0,1994928.667,1995091.333,146186797891.0,3289984527.667,45164656859.667,17983422456.0,107620865.667,130165378.667,342555198.667,85.0,9.667,1928.667,17480858012.0,28318688213.333,67.426
7,2,66,0.58,0.37,1,0,2,1,88,0,0,26,0,5,84,179,6,8,558,72,388,31,0,29,309,3,7,7,1,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,10338.667,137156.667,961167578.333,6824793724.667,942706409.0,940974100.333,39.0,309249.333,309351.667,141227158423.0,1973137.333,1973293.333,143212511036.333,3298304162.667,44597790019.667,18109946668.0,100266440.667,117614530.0,331322835.333,3.0,9.333,717.0,17505743734.333,28564410237.0,54.95
8,3,14,0.43,0.83,0,0,0,0,55,0,1,94,0,6,42,172,6,9,451,93,770,3,1,28,322,9,3,3,3,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,11347.667,156832.667,1028863597.667,7279258495.333,988917889.333,983830475.333,38.0,378277.333,378378.0,153782150898.667,2018819.333,2018978.0,152104101696.667,3460986926.667,47317616822.667,18656152232.333,109151230.0,125390434.0,350053865.0,896.333,194.667,2247.333,18169670635.667,29936419721.0,43.614
5,3,74,0.82,0.53,1,1,1,1,13,1,1,33,1,5,22,117,8,7,393,64,835,8,2,89,171,5,6,1,8,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,12216.0,143242.333,1028376427.0,6897480621.0,957070394.0,955726060.0,38.0,305166.667,305273.333,140257106938.0,1991329.333,1991487.667,142257976544.333,3210880813.333,45144901693.333,18445952966.667,98498212.0,111075627.667,341606754.333,3.0,15.0,690.0,17302329016.667,29463585703.0,44.224
5,3,18,0.51,0.64,0,1,0,0,81,1,0,47,0,5,41,120,9,8,867,122,730,36,1,66,216,5,4,1,9,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,10035.0,135448.0,943171277.0,6955380688.333,935613949.333,933137461.333,38.333,404676.333,404773.667,144838779663.0,1967521.0,1967678.0,147043100557.667,3288117329.333,44789980083.333,17910960448.667,95659559.333,137222327.0,351927889.333,874.0,437.0,4030.333,17910850624.333,28522967592.667,55.383
8,1,103,0.57,0.44,1,1,0,1,32,1,1,110,1,2,45,74,8,6,789,12,925,27,3,54,209,11,3,4,1,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,9679.0,137199.667,1078747171.0,7525479960.333,1011538017.0,1014823512.333,38.0,448441.333,448537.333,158813504553.0,1984630.0,1984791.667,158418602239.333,3199412481.667,48287328417.0,19751241137.0,119290389.667,141139443.333,390482752.333,1225.667,563.333,5840.667,19344985168.333,30513372341.333,43.534
1,6,100,0.8,0.65,1,1,1,1,100,0,0,120,1,5,66,8,7,4,942,75,657,2,1,30,291,6,4,4,3,995.287,12376671.456,17001.948,3838446783.331,1519.522,9029.294,0.029,55155079.103,3226123.25,6.375,5130.963,8904348.257,4441396.228,1198796.206,12133.0,192353.333,1103348887.0,7638186195.667,976548458.667,993488023.0,38.0,378738.333,378834.333,141532781174.667,2122428.333,2122588.333,153241232178.0,3275500256.333,46684281779.667,18771054632.333,97843285.0,112815738.0,330426633.0,55.667,100.667,1495.667,17938198172.0,29960016731.0,58.242
