spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,138.503,5523933.233,155.289,21566550.822,3906.854,3.354,0.052,0.0,0.0,41.618,2.391,8439.586,6647.371,179.04,26869.333,302487.333,1257225549.333,8590893132.0,1038868838.667,1023531752.667,69.0,359995.0,360152.0,159878694314.667,2180420.0,2180579.333,157884856969.0,3763689697.667,48234242078.667,18827711849.0,117606981.333,133690269.667,373701582.333,61.667,64.667,3012.667,19295585318.0,29891138565.0,80.219
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,431.021,18498185.293,225.56,33077507.149,3967.828,3.742,0.121,0.0,0.0,12.152,5.193,13187.977,2311.383,179.04,29200.0,393160.0,1379756038.0,9372676831.0,1108636302.0,1124610763.0,313.667,345587.0,346000.0,178995737397.667,2302995.333,2303151.667,167776699094.0,4053289127.0,51667752101.0,20694134898.0,130245691.0,151612475.0,412855163.333,712.333,344.0,1956.333,20143382421.0,33053473918.667,103.902
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,23.375,4027082.504,160.893,23792102.563,3906.244,5.924,0.04,0.0,0.0,57.88,7.436,5459.524,9627.099,179.04,12598.333,209855.333,1124542137.333,8276109390.333,1066010276.0,1068625760.333,140.333,678400.333,678613.0,160295925846.333,1848286.667,1848453.667,162032675798.667,3449599189.0,50007442795.333,20100861674.0,107168995.333,159117149.0,399302324.333,5947.667,2759.333,13051.0,19914214646.667,31548503091.667,62.691
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,16.44,3931893.314,117.419,20396992.313,3927.081,20.449,0.037,0.0,0.0,65.782,2.188,4252.96,9879.66,178.99,13254.667,163529.667,1180967684.667,7740089298.0,988750935.667,992722418.0,39.0,346967.333,347085.333,159140181586.667,1835550.0,1835711.333,166320325823.0,3728221924.333,51067101126.333,19609127512.0,115915172.667,121199484.333,337534192.0,33.667,260.333,1301.667,18790460368.333,33225549679.333,68.35
4,4,124,0.4,0.41,1,1,0,1,84,0,1,37,1,2,123,146,4,5,548,14,394,4,3,33,298,14,5,4,8,25.204,4195547.922,144.031,24823127.541,3911.265,5.06,0.056,0.0,0.0,42.986,8.456,9153.789,8064.632,179.04,18758.667,188617.0,1318241495.333,8473793534.333,1089274145.333,1067713899.667,43.0,350331.667,350442.667,173666110179.0,1933981.667,1934145.333,169474017252.333,3510001751.667,52034222877.333,20416677123.0,134997284.0,135355682.333,370378242.667,70.667,88.667,2567.0,20318513410.667,31681285409.0,65.664
6,2,77,0.59,0.79,0,0,1,1,94,1,1,111,0,5,15,6,9,6,659,34,924,46,2,46,321,7,8,4,4,9.777,3517087.68,115.352,17219000.695,3925.448,13.826,0.044,0.0,0.0,83.289,0.171,1264.428,14234.932,179.04,13314.667,158761.333,1111101361.667,7695339514.0,983297574.333,980745231.667,37.0,347184.667,347295.333,151000304898.667,1821676.333,1821838.333,160695777837.333,3409269887.0,48422206976.0,19102049178.667,111047760.0,125431386.0,354663233.333,9.333,3.0,883.0,18580538663.667,30819136102.0,62.766
4,6,113,0.64,0.39,1,1,1,1,27,1,1,103,0,2,58,36,3,9,458,52,910,27,2,35,357,2,3,4,4,14.016,3508012.759,145.214,18687168.754,3924.04,8.981,0.046,0.0,0.0,43.866,5.798,7972.177,7522.881,178.99,15753.0,162733.667,1306921121.667,8004709265.0,1018131776.667,1028212201.0,37.0,396476.667,396599.333,169711120199.0,1836224.333,1836387.333,177867551790.0,4069637917.333,53442385783.333,20398302439.333,136453643.333,155895559.333,382066531.0,243.667,48.0,1530.667,19763983985.667,35546666705.333,64.392
5,2,81,0.54,0.47,1,0,2,0,51,1,0,28,0,2,96,33,5,3,822,37,798,11,3,87,285,1,2,2,2,49.141,3792362.789,105.745,18743323.339,3898.105,2.645,0.036,0.0,0.0,45.728,7.724,7675.416,7823.944,179.04,12440.333,164616.333,1099983488.667,8290262047.667,1041947054.0,1049594582.333,39.0,478144.0,478270.333,153152837251.0,1860063.333,1860223.333,166293058346.333,3443025892.667,51400654468.333,19950089859.333,103552073.0,123718968.667,359589086.667,1508.667,651.667,11764.667,19863677946.667,31497647029.667,58.228
3,3,22,0.56,0.38,0,0,0,1,17,0,1,95,0,5,127,70,8,5,432,25,855,41,2,37,480,7,6,5,3,31.109,3513012.264,103.412,17319825.383,3917.463,12.803,0.038,0.0,0.0,30.304,9.254,10320.98,5178.38,179.04,11934.333,164804.0,1164510037.0,7647856703.0,984014046.333,987998147.667,39.0,339604.333,339702.667,145835468792.333,1841358.333,1841522.333,159521101261.0,3303279448.0,47653706118.333,18972838075.333,101755537.667,117072518.667,334210223.0,9.333,13.0,896.0,18926716134.0,30792630429.667,63.369
6,4,123,0.65,0.69,1,1,1,0,127,0,0,70,0,1,4,140,5,5,224,72,142,3,1,94,459,6,6,2,7,59.881,4169572.877,115.143,17694233.951,3908.77,6.726,0.034,0.0,0.0,82.319,0.406,1662.256,13837.104,179.04,14847.0,186937.667,1122157506.667,7972614400.333,1004346576.333,1006280601.333,38.0,388139.0,388247.667,147378337940.0,1891563.333,1891720.667,150822041176.667,3748402754.0,48140017418.667,19077032383.0,96728951.667,115261821.333,339366512.0,277.667,159.333,2140.667,18223533449.0,30669141501.333,59.384
7,5,26,0.74,0.63,1,0,1,1,119,0,0,93,0,3,5,185,5,10,168,64,950,22,0,54,110,3,2,5,4,68.581,3624014.01,126.567,14180644.586,3922.83,8.973,0.035,0.0,0.0,46.536,12.456,7560.904,7938.456,179.04,11565.333,158223.667,1087998110.667,7676960571.333,990666860.0,988777377.667,39.333,325032.667,325132.0,144019400879.0,1818449.667,1818605.667,150622431313.667,3590621743.0,46678512125.333,18627919229.0,95240536.0,112280236.0,342999201.333,9.667,3.0,1556.667,18359094275.0,29866329803.333,58.009
3,1,29,0.42,0.58,0,1,1,0,101,0,1,124,1,3,82,39,10,4,760,26,218,24,2,92,148,14,8,5,7,23.989,3785630.098,125.825,23205536.693,3933.947,24.861,0.07,0.0,0.0,40.754,3.369,8094.133,6030.667,178.891,17791.0,166791.333,1246469297.0,7767043646.0,1023994150.333,1019769443.667,39.0,351449.0,351582.667,168940590741.333,1846215.0,1846381.333,168348544425.333,3810247967.0,51336086649.333,19508740519.333,135103719.333,151186530.667,377593905.333,35.333,51.667,866.0,19055854544.667,33575765192.667,66.164
8,5,118,0.82,0.48,0,1,1,0,53,0,0,61,0,4,23,97,4,4,975,54,1020,43,1,77,368,11,1,7,9,74.864,3856456.925,139.874,19102381.738,3895.656,4.06,0.027,0.0,0.0,69.985,5.264,3748.962,11750.398,179.04,11261.333,154155.667,990754764.333,7447924124.333,957267333.667,960847798.667,38.0,386780.333,386875.333,144003322519.667,1807826.667,1807989.0,151006955897.667,3368269040.333,45932513255.333,18156300532.333,91652512.667,122112506.0,356026824.667,300.333,339.0,3747.333,18101588920.0,29352728735.0,57.39
5,5,54,0.51,0.78,0,1,2,1,112,1,0,80,1,2,117,130,2,8,866,91,970,44,3,44,417,5,3,7,3,50.006,4291035.141,104.489,21360021.309,3903.435,3.857,0.035,0.0,0.0,81.959,0.067,1696.656,13389.662,179.04,11455.667,156366.333,1093548236.0,7919326904.0,1005989745.333,1008693698.667,41.333,570029.333,570129.667,154327085981.333,1832480.333,1832646.0,158977011752.0,3259506145.333,48562534873.0,19379050088.333,105575286.0,128812166.333,354813173.333,3673.0,1842.333,14131.0,19270269532.0,29961255092.0,62.845
2,5,126,0.8,0.52,0,0,1,1,74,1,0,3,1,6,20,66,4,9,799,16,291,17,0,23,450,8,9,4,4,21.19,3606682.953,87.958,17160003.426,3924.391,14.063,0.035,0.0,0.0,30.256,4.494,9398.994,4737.42,179.04,9801.333,163265.333,1069499124.0,7663172770.0,982428462.333,984959189.667,39.0,280998.333,281108.333,138491896351.667,1834119.0,1834274.333,150666360016.667,3262182813.0,46619124588.0,18586685596.667,90478764.667,97792841.333,320576600.667,0.0,0.0,853.333,18304861685.333,29462626362.0,66.156
4,4,74,0.52,0.37,1,0,1,0,45,1,1,55,0,1,73,58,6,3,353,118,362,29,3,61,352,10,7,7,3,23.283,3526332.009,107.989,19158691.231,3911.562,4.646,0.044,0.0,0.0,43.746,7.65,8117.401,7373.362,178.941,15875.667,161711.333,1143952656.667,8145154722.667,1042381137.667,1042627063.667,37.333,576859.667,576985.0,156299352957.0,1850983.667,1851151.667,161981053534.333,3362117181.0,49726125357.333,19647422591.667,108616793.333,144056852.0,389622526.667,6192.0,3444.0,13380.667,19677996528.0,30689165286.0,61.075
7,3,47,0.57,0.3,1,1,0,0,5,0,0,105,0,4,54,10,4,8,768,47,103,49,1,95,407,11,6,2,7,66.854,4111622.408,124.361,18636223.109,3900.998,7.559,0.035,0.0,0.0,82.123,0.235,1737.442,13761.918,179.04,11316.0,151976.333,989532734.667,7397950191.0,952960523.333,953248376.0,40.0,380686.0,380784.333,141684641973.0,1801611.333,1801768.333,148860806225.0,3370927188.667,45996192953.333,18173164565.667,90343304.333,116843057.0,341542896.333,214.333,101.333,1837.667,17907441696.667,29317615382.0,60.025
5,2,93,0.7,0.82,1,0,2,0,85,1,1,89,1,2,87,180,6,7,317,126,530,9,0,69,267,2,3,5,5,18.534,3796010.033,105.189,19586739.884,3918.143,12.443,0.035,0.0,0.0,80.271,0.052,2062.505,13011.272,178.891,13712.0,167504.667,1180533313.333,7890240252.0,1000624248.333,998958694.333,37.0,319143.333,319241.667,148479345070.667,1843710.667,1843865.667,154718811982.667,3607548826.667,48200913282.667,19013356923.0,108660454.0,134788795.667,352148810.333,71.0,3.0,1263.333,18499048169.667,30835150770.333,62.651
8,4,119,0.33,0.83,0,0,0,0,40,1,1,117,0,1,41,25,5,8,742,111,133,19,2,58,159,8,9,6,9,14.413,3351045.841,135.957,18452385.834,3924.042,17.955,0.048,0.0,0.0,83.391,0.212,1224.771,14257.389,178.841,14374.0,163680.0,1214397679.0,7926749593.0,978050024.667,976790845.333,39.0,351894.0,352001.667,159717710974.333,1834413.333,1834578.667,162636530484.0,3792220612.0,49930053978.0,19149855027.0,115286929.0,125098546.333,345033235.333,127.667,16.0,1619.667,18874093319.333,31844741721.667,60.025
6,2,83,0.72,0.89,0,0,2,0,90,0,0,23,1,2,50,172,8,6,116,60,278,47,2,70,490,3,2,5,5,59.0,3849304.403,117.528,14940101.649,3942.509,6.712,0.038,0.0,0.0,58.491,6.346,5414.241,9672.615,179.04,11853.667,157968.0,1042980733.0,7375027362.0,971363553.0,965661708.333,37.0,291792.667,291891.667,148476251325.333,1817118.333,1817283.333,153868135311.333,3378656936.667,47359920999.333,18846719460.667,97389123.333,116974725.667,339282424.0,0.0,6.0,1057.333,18140738549.667,31022475976.0,58.041
7,3,8,0.76,0.4,0,1,1,0,24,1,1,64,0,5,69,200,6,9,295,42,694,13,0,55,389,6,3,8,7,35.189,3785894.784,146.217,19002999.937,3908.082,17.678,0.035,0.0,0.0,64.624,7.022,4534.392,10947.775,178.841,12710.333,162490.667,1046005921.0,7582890521.667,962880663.0,979415969.667,39.333,304819.333,304906.0,142566417935.333,1827245.333,1827401.667,148532836175.0,3368618724.667,46562147272.333,18691276663.667,100971726.667,117261586.333,330419705.667,53.333,9.333,1401.0,17940711614.0,29665375713.0,59.405
6,4,55,0.69,0.61,0,1,0,0,80,0,0,7,1,2,79,189,7,8,192,107,692,35,1,25,435,2,8,3,2,57.323,3665588.493,121.352,16106872.026,3930.541,8.35,0.034,0.0,0.0,47.781,10.094,8009.321,9210.675,179.04,11844.667,157223.0,1047732756.0,7611389689.667,1003580326.0,1003378878.667,40.0,294027.333,294132.667,151129329249.0,1815430.333,1815589.0,155149111508.0,3728775673.333,48194400560.667,18965359826.0,95740627.333,110264892.333,331274039.0,16.0,3.0,733.0,18294447713.667,31295105115.667,57.317
3,5,14,0.87,0.35,1,1,1,0,14,0,0,78,1,3,60,89,2,5,848,11,740,31,1,76,460,7,3,2,6,129.672,5500214.282,100.181,24124723.055,3905.036,5.756,0.052,0.0,0.0,43.403,2.782,7505.935,6630.258,179.04,14363.333,159331.667,1087863317.667,7556754313.333,979160552.667,980196221.0,38.0,427277.667,427377.667,154558159321.333,1818142.0,1818302.0,149656143865.667,3723942219.667,46946248280.0,18796726525.333,105530438.667,120535987.667,342896582.0,1280.667,863.667,4119.667,18058249936.0,30441581855.333,65.029
7,1,60,0.45,0.63,1,0,1,1,71,1,0,76,1,4,107,109,6,5,589,81,521,48,1,22,384,8,5,8,8,67.976,4062620.056,138.574,24727216.288,3911.606,15.043,0.051,0.0,0.0,68.523,3.507,3699.525,10436.545,179.04,12013.667,155344.333,1039172042.0,7261348735.667,956460519.333,962893422.333,42.0,360592.333,360689.667,157247086899.0,1808029.333,1808192.667,150813560286.667,3309743680.333,46117009852.333,18332088127.667,103555674.667,119789926.333,337906088.0,19.333,3.0,1652.667,18193510405.0,28954053436.333,58.758
2,1,38,0.74,0.74,1,1,0,0,41,0,1,121,0,1,12,84,6,6,335,125,348,1,0,52,317,6,4,6,1,20.171,4157344.851,110.628,21128757.932,3929.012,9.833,0.075,0.0,0.0,22.584,3.391,11632.839,3866.521,179.04,27722.333,264549.333,1353379571.333,8556835190.667,1059597720.667,1052755868.0,39.0,321740.333,321870.0,171274553667.667,2077523.667,2077681.333,161142844869.667,3764948634.333,48988302282.0,19972328617.333,139312139.667,144252305.0,388104430.667,0.0,6.333,608.0,19572236886.333,31438921155.333,61.956
4,5,66,0.49,0.77,1,0,1,0,37,0,0,13,0,5,22,123,6,4,518,18,646,7,2,42,118,13,4,7,6,39.87,4225500.195,88.131,16423428.167,3920.486,6.046,0.031,0.0,0.0,80.757,0.223,1982.874,13516.486,179.04,13425.667,173748.0,1098801988.333,7826689176.0,988653475.0,996954770.0,37.0,293169.333,293262.333,148755789744.333,1859505.333,1859672.0,158326199992.0,3529133799.333,48523820560.667,19121451874.667,104648224.667,116981262.0,331469973.0,18.667,6.0,975.333,18582978322.0,31266149373.333,62.026
3,6,89,0.31,0.57,0,1,1,1,95,1,0,63,0,2,67,27,7,8,924,93,757,30,3,61,334,13,8,8,2,139.839,5692256.646,107.075,20890593.085,3908.496,3.07,0.045,0.0,0.0,43.765,2.077,8085.234,7414.126,179.04,14604.333,161651.667,1099172432.0,7902290928.0,1008200813.0,1007687022.333,41.0,634446.667,634561.667,152112167797.667,1851247.667,1851416.333,157872378152.667,3234480182.333,48840441443.0,19742755741.0,109969045.0,131193609.667,365912235.333,259.0,220.0,13348.0,19059117267.0,30018684378.667,66.373
7,1,42,0.62,0.84,0,0,1,0,107,0,0,34,1,4,29,8,3,4,719,109,730,13,0,89,240,3,3,7,3,68.461,4257696.708,147.674,24061341.359,3925.673,29.138,0.053,0.0,0.0,77.269,0.113,2783.079,11353.303,179.04,13785.667,160273.333,1076300925.667,7661261629.0,972862653.667,965102127.0,39.333,287024.0,287129.0,150619590709.333,1819723.667,1819879.0,152352929069.667,3505542321.667,47434292912.333,18523406182.667,97091906.333,105527665.333,331521332.0,24.667,6.333,1256.667,18157041544.667,29895576361.667,59.845
8,6,67,0.39,0.33,1,0,0,1,104,1,1,86,1,5,114,20,7,8,372,49,415,33,2,66,171,10,2,1,1,31.292,3605756.484,220.966,24332825.214,3933.495,94.447,0.075,0.0,0.0,45.413,19.264,8420.813,8795.159,178.99,13526.667,160468.0,1169324634.0,7802469429.667,997157895.0,989466409.333,39.0,353230.0,353334.667,152579432563.333,1824480.667,1824639.667,166476557823.667,3539905841.333,51160974269.667,19669159958.333,108258769.667,133469656.667,368076328.667,0.0,3.0,1137.667,19263177374.0,32323112738.667,61.846
2,3,34,0.35,0.46,0,1,1,0,57,1,0,56,1,1,119,132,9,7,604,21,896,18,1,51,257,3,2,2,7,366.859,10089711.076,136.604,34015010.24,3923.324,7.824,0.085,0.0,0.0,22.261,4.021,10640.687,3495.801,179.04,16580.333,164718.0,1158654316.0,7907671479.0,1012604024.333,1016612137.0,44.0,392233.667,392344.0,172593700079.0,1833415.0,1833573.333,161335034758.333,3892669457.667,49148395545.333,18868465664.0,121689461.333,136140803.333,354629009.333,320.333,232.667,3673.0,18905483528.0,30461112673.667,80.933
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,136.057,5359652.368,469.763,44647592.795,3916.584,6.227,0.046,0.0,0.0,63.494,5.014,41667.262,21503.935,895.363,20695.333,349388.667,1232843582.333,8981263879.333,1022493435.0,1029192548.0,67.333,372131.0,372289.0,155161752624.0,2299088.333,2299248.333,155473468216.0,3831048259.667,49520477521.0,19343619458.0,114019313.667,116457657.333,356886197.667,1003.333,499.333,2435.667,19077660829.0,30155152088.0,101.613
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,459.211,17251851.975,585.467,54982688.201,3986.21,6.234,0.115,0.0,0.0,8.782,40.216,73347.541,4229.872,895.363,27717.0,386580.0,1427351688.333,9463269549.667,1130367575.667,1127736295.0,95.667,352479.667,352691.667,181354465381.667,2387389.0,2387545.333,163974230760.667,4238844871.0,49892583879.667,20394589065.667,141550201.0,141450496.667,395839394.333,38.667,46.333,1702.667,20427688341.667,33232598822.667,117.97
