ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
1120000,3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,138.503,5523933.233,155.289,21566550.82,3906.854,3.354,0.052,0,0,41.618,2.391,8439.586,6647.371,179.04,26869.333,302487.333,1257225549,8590893132,1038868839,1023531753,69,359995,360152,1.59879E+11,2180420,2180579.333,1.57885E+11,3763689698,48234242079,18827711849,117606981.3,133690269.7,373701582.3,61.667,64.667,3012.667,19295585318,29891138565,80.219
1120000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,431.021,18498185.29,225.56,33077507.15,3967.828,3.742,0.121,0,0,12.152,5.193,13187.977,2311.383,179.04,29200,393160,1379756038,9372676831,1108636302,1124610763,313.667,345587,346000,1.78996E+11,2302995.333,2303151.667,1.67777E+11,4053289127,51667752101,20694134898,130245691,151612475,412855163.3,712.333,344,1956.333,20143382421,33053473919,103.902
1120000,8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,23.375,4027082.504,160.893,23792102.56,3906.244,5.924,0.04,0,0,57.88,7.436,5459.524,9627.099,179.04,12598.333,209855.333,1124542137,8276109390,1066010276,1068625760,140.333,678400.333,678613,1.60296E+11,1848286.667,1848453.667,1.62033E+11,3449599189,50007442795,20100861674,107168995.3,159117149,399302324.3,5947.667,2759.333,13051,19914214647,31548503092,62.691
1120000,4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,16.44,3931893.314,117.419,20396992.31,3927.081,20.449,0.037,0,0,65.782,2.188,4252.96,9879.66,178.99,13254.667,163529.667,1180967685,7740089298,988750935.7,992722418,39,346967.333,347085.333,1.5914E+11,1835550,1835711.333,1.6632E+11,3728221924,51067101126,19609127512,115915172.7,121199484.3,337534192,33.667,260.333,1301.667,18790460368,33225549679,68.35
1120000,4,4,124,0.4,0.41,1,1,0,1,84,0,1,37,1,2,123,146,4,5,548,14,394,4,3,33,298,14,5,4,8,25.204,4195547.922,144.031,24823127.54,3911.265,5.06,0.056,0,0,42.986,8.456,9153.789,8064.632,179.04,18758.667,188617,1318241495,8473793534,1089274145,1067713900,43,350331.667,350442.667,1.73666E+11,1933981.667,1934145.333,1.69474E+11,3510001752,52034222877,20416677123,134997284,135355682.3,370378242.7,70.667,88.667,2567,20318513411,31681285409,65.664
1120000,6,2,77,0.59,0.79,0,0,1,1,94,1,1,111,0,5,15,6,9,6,659,34,924,46,2,46,321,7,8,4,4,9.777,3517087.68,115.352,17219000.7,3925.448,13.826,0.044,0,0,83.289,0.171,1264.428,14234.932,179.04,13314.667,158761.333,1111101362,7695339514,983297574.3,980745231.7,37,347184.667,347295.333,1.51E+11,1821676.333,1821838.333,1.60696E+11,3409269887,48422206976,19102049179,111047760,125431386,354663233.3,9.333,3,883,18580538664,30819136102,62.766
1120000,4,6,113,0.64,0.39,1,1,1,1,27,1,1,103,0,2,58,36,3,9,458,52,910,27,2,35,357,2,3,4,4,14.016,3508012.759,145.214,18687168.75,3924.04,8.981,0.046,0,0,43.866,5.798,7972.177,7522.881,178.99,15753,162733.667,1306921122,8004709265,1018131777,1028212201,37,396476.667,396599.333,1.69711E+11,1836224.333,1836387.333,1.77868E+11,4069637917,53442385783,20398302439,136453643.3,155895559.3,382066531,243.667,48,1530.667,19763983986,35546666705,64.392
1120000,5,2,81,0.54,0.47,1,0,2,0,51,1,0,28,0,2,96,33,5,3,822,37,798,11,3,87,285,1,2,2,2,49.141,3792362.789,105.745,18743323.34,3898.105,2.645,0.036,0,0,45.728,7.724,7675.416,7823.944,179.04,12440.333,164616.333,1099983489,8290262048,1041947054,1049594582,39,478144,478270.333,1.53153E+11,1860063.333,1860223.333,1.66293E+11,3443025893,51400654468,19950089859,103552073,123718968.7,359589086.7,1508.667,651.667,11764.667,19863677947,31497647030,58.228
1120000,3,3,22,0.56,0.38,0,0,0,1,17,0,1,95,0,5,127,70,8,5,432,25,855,41,2,37,480,7,6,5,3,31.109,3513012.264,103.412,17319825.38,3917.463,12.803,0.038,0,0,30.304,9.254,10320.98,5178.38,179.04,11934.333,164804,1164510037,7647856703,984014046.3,987998147.7,39,339604.333,339702.667,1.45835E+11,1841358.333,1841522.333,1.59521E+11,3303279448,47653706118,18972838075,101755537.7,117072518.7,334210223,9.333,13,896,18926716134,30792630430,63.369
1120000,6,4,123,0.65,0.69,1,1,1,0,127,0,0,70,0,1,4,140,5,5,224,72,142,3,1,94,459,6,6,2,7,59.881,4169572.877,115.143,17694233.95,3908.77,6.726,0.034,0,0,82.319,0.406,1662.256,13837.104,179.04,14847,186937.667,1122157507,7972614400,1004346576,1006280601,38,388139,388247.667,1.47378E+11,1891563.333,1891720.667,1.50822E+11,3748402754,48140017419,19077032383,96728951.67,115261821.3,339366512,277.667,159.333,2140.667,18223533449,30669141501,59.384
