spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
2,2,102,0.77,0.73,0,1,1,0,4,0,1,53,0,3,66,186,9,9,103,74,576,33,2,27,127,4,7,5,7,110.694,5662052.91,817.573,70577996.373,3935.183,20.318,0.032,0.0,0.0,69.096,12.265,121738.837,64170.997,2146.112,11758.0,199312.0,1167543867.0,8294564318.0,1057918417.0,1080806291.0,74.0,340515.0,340645.0,156253205583.0,1911400.0,1911564.0,178817649037.0,3659518465.0,52797804285.0,20655039394.0,116215179.0,115128635.0,346697667.0,38.0,0.0,1125.0,19109505930.0,35384547555.0,160.308
6,3,55,0.34,0.55,1,1,0,0,123,1,0,8,0,2,82,45,5,6,720,100,749,22,1,39,113,7,4,4,4,58.071,3736174.145,1247.607,77539798.653,3913.438,20.355,0.021,0.0,0.0,71.344,76.128,112566.763,73343.07,2146.112,10744.0,173682.0,1129012834.0,8033731788.0,1017514830.0,1014189916.0,62.0,341649.0,341790.0,148912497288.0,1887976.0,1888134.0,159770089539.0,3626652945.0,48185914146.0,19159146773.0,95794855.0,114375364.0,328741008.0,19.0,0.0,1335.0,19263105224.0,30993549953.0,136.375
8,3,107,0.72,0.51,1,0,1,1,107,1,1,57,1,4,58,101,6,4,155,47,157,39,1,20,258,7,2,3,6,78.432,3605085.585,1636.187,79624542.405,3921.387,13.622,0.03,0.0,0.0,87.169,52.291,72710.858,68173.056,2146.112,13015.0,164938.0,1120859470.0,7619125311.0,1022424054.0,1018674985.0,75.0,340542.0,340689.0,147550627433.0,1862029.0,1862186.0,151096360262.0,3153523259.0,45654979953.0,18538327689.0,102256160.0,127226895.0,335691456.0,115.0,158.0,1361.0,18022068163.0,29455181890.0,146.101
5,5,68,0.39,0.81,1,0,1,1,22,1,0,99,0,3,71,90,7,5,202,96,257,11,1,79,366,12,7,1,2,49.841,3574531.105,1058.092,77270894.082,3911.478,34.169,0.025,0.0,0.0,72.724,27.889,107303.11,78606.723,2146.112,12523.0,183924.0,1153521141.0,7446724122.0,1004420405.0,993060442.0,73.0,391181.0,391307.0,138394699394.0,1912553.0,1912709.0,150825363675.0,3093271786.0,46661522115.0,18817446302.0,97661475.0,126003403.0,335759435.0,9.0,0.0,1287.0,17131206994.0,29657656295.0,140.456
4,1,91,0.85,0.39,1,1,0,1,127,1,0,66,0,3,94,154,9,7,642,83,780,48,1,24,408,9,4,6,3,223.448,6063699.148,1215.33,81934068.16,3919.124,23.778,0.049,0.0,0.0,69.498,11.448,110496.05,75413.783,2146.112,15640.0,164110.0,1150419018.0,7675156519.0,1012956568.0,1009970677.0,96.0,343979.0,344143.0,151615364359.0,1865251.0,1865414.0,149185538398.0,3296490378.0,45337394304.0,18716977211.0,103072011.0,115464492.0,360629461.0,9.0,89.0,2469.0,18270134797.0,30335281298.0,125.033
6,2,112,0.61,0.49,0,0,0,1,85,0,1,12,1,6,122,15,2,9,787,25,84,18,1,78,497,14,1,6,9,60.026,3628822.778,1150.071,82353356.522,3904.169,17.686,0.034,0.0,0.0,58.484,51.175,93146.696,54464.694,2146.112,11852.0,176928.0,1153896864.0,7733705962.0,1014553812.0,1001626258.0,124.0,371168.0,371357.0,137154207333.0,1891935.0,1892096.0,141183490293.0,3549597244.0,47748046175.0,18722788314.0,84833327.0,102156231.0,320254238.0,1159.0,720.0,7084.0,17323763693.0,30154423901.0,131.643
1,4,53,0.8,0.89,0,1,2,1,94,1,1,28,1,6,87,110,9,8,387,27,854,32,1,33,356,3,8,7,7,5.241,3342903.558,180.465,65080705.307,3896.272,1.985,0.032,0.0,0.0,83.25,1.592,69656.604,69845.652,2146.112,10699.0,192144.0,1142246087.0,7897489200.0,1016386235.0,1018936737.0,62.0,302785.0,302915.0,144685069632.0,1879902.0,1880065.0,151415433932.0,3385034824.0,46490073687.0,18687688374.0,90079488.0,103090230.0,328823819.0,768.0,306.0,999.0,17871192025.0,29642003682.0,155.09
1,4,25,0.87,0.59,0,1,2,1,120,0,1,87,0,2,28,6,8,8,259,52,823,13,0,94,445,5,4,8,2,110.612,7664409.168,498.148,77363545.592,3939.089,17.841,0.048,0.0,0.0,18.832,30.951,164538.35,21371.483,2146.112,16569.0,185727.0,1266174892.0,7677777229.0,1027501043.0,1015870340.0,52.0,364552.0,364688.0,145805053665.0,1921103.0,1921259.0,153472317190.0,3122774723.0,46820803641.0,18939203820.0,117938570.0,112749951.0,324533273.0,0.0,0.0,1129.0,18611254764.0,29552291183.0,133.142
5,3,28,0.65,0.59,1,1,2,0,114,1,1,67,0,1,63,71,3,7,962,6,52,9,2,52,236,9,3,7,8,49.338,3795434.018,912.556,76695880.867,3928.315,34.816,0.034,0.0,0.0,65.064,59.752,116873.76,69036.073,2146.112,13632.0,196144.0,1355507998.0,8509591662.0,1059756462.0,1061541354.0,53.0,338810.0,338952.0,166177788953.0,1945684.0,1945849.0,190293790252.0,3793500971.0,55820290272.0,20409060551.0,124328902.0,141060111.0,363890554.0,0.0,0.0,1029.0,19560896235.0,37897144060.0,132.723
2,1,48,0.44,0.87,0,1,0,0,88,0,0,112,1,5,71,11,5,9,987,33,302,30,1,36,455,4,9,1,1,20.928,3576435.846,433.895,75253966.448,3907.836,12.288,0.032,0.0,0.0,74.457,4.226,81369.85,66243.121,2146.112,10027.0,169314.0,1287579384.0,7468741989.0,1008062696.0,1010377291.0,68.0,504895.0,505038.0,136575710670.0,1880757.0,1880912.0,149614710554.0,3197015599.0,45426698719.0,18839807161.0,97726354.0,108091098.0,354976789.0,0.0,0.0,961.0,18329921657.0,30159256232.0,145.978
