spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,908.383,21963517.138,347.887,30971269.347,1499.247,8.255,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14410.0,231505.0,791983022.333,6539468413.667,796637045.667,808441151.333,44.0,346287.333,346393.0,113943796984.0,2197134.333,2197295.333,123792101979.667,2462217837.333,37074402815.0,15372205338.667,65423563.667,81123238.0,241443139.0,236.333,160.0,1768.667,15107267928.667,22965882689.0,53.302
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,308.012,13936022.752,315.403,18365849.112,1506.187,7.513,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6794.667,133612.667,721789196.667,5824535027.0,792376943.333,788133050.0,38.333,314808.667,314900.667,105316705460.667,1951275.333,1951437.0,125301906005.667,2274682603.0,36380903633.333,14917814608.333,61487751.0,71198115.667,250954257.667,528.667,131.0,839.333,14743206040.0,23943608456.0,48.56
4,5,28,0.86,0.32,0,0,1,1,103,1,0,109,0,5,124,157,4,7,625,41,895,44,3,62,177,6,7,7,2,303.678,15564449.21,299.195,19147338.785,1485.988,3.087,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060.667,130622.667,691707566.0,6211969246.667,803053732.667,805866524.333,38.0,633850.0,633934.0,103424351000.667,1962768.333,1962934.0,121356173885.667,2348586603.667,36770442356.0,15692779120.0,54848487.0,87224316.667,269239819.667,499.333,207.0,15057.0,15203145850.333,23877028910.333,47.506
4,5,24,0.42,0.56,1,1,2,0,43,0,1,53,1,1,80,164,6,9,839,86,111,42,3,25,298,10,5,5,3,77.422,10112557.142,289.933,14267831.717,1484.417,4.697,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9352.667,132446.0,726048869.0,6247223990.667,816179670.667,813209722.0,40.0,450901.333,450990.667,109028351617.667,1965288.667,1965453.333,121921126685.0,2357942942.0,37467170002.0,15755057448.0,61719393.0,81865791.333,274765814.0,378.0,334.667,9491.0,14928082069.0,23833388443.0,48.404
2,2,109,0.34,0.78,0,0,2,0,72,1,1,52,1,2,8,47,10,9,994,87,882,16,1,94,194,10,7,5,3,72.652,10786056.728,276.0,18935050.433,1475.742,3.557,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10292.667,136478.333,697390323.333,5852040429.0,775883277.667,778705962.333,42.0,323416.0,323507.667,105773336152.667,1959303.667,1959466.667,116076823247.667,2247487733.0,35094025650.333,14786855426.333,63266994.333,78039435.667,263658389.333,590.0,326.667,1844.667,14398779837.667,22788605566.667,49.421
2,2,73,0.42,0.49,0,1,0,0,53,1,1,50,1,5,91,64,6,9,461,10,377,45,2,28,413,14,8,2,5,159.33,14698279.35,197.23,18301732.14,1498.065,4.855,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6130.333,131248.667,684374343.667,5833926314.0,780185301.0,781841349.0,38.0,291647.333,291736.333,101757678969.0,1946249.0,1946409.0,121878203939.667,2198704931.0,36330804416.333,15060036557.0,60939969.0,76431764.0,245165562.667,9.0,0.0,908.333,14661019746.0,23192602454.667,50.368
1,3,72,0.72,0.65,0,0,2,1,5,0,1,114,0,4,119,36,9,7,907,102,1011,29,2,69,375,11,1,3,2,83.907,15144055.303,153.117,18790035.347,1476.077,2.018,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991.0,132418.667,784592043.0,5871679399.333,799705644.333,803969252.667,38.0,330693.0,330779.667,106326336828.667,1947859.0,1948020.0,131087675332.333,2282693357.0,37932564301.667,15545090426.667,61501363.0,75380607.0,259398431.667,9.333,12.0,1122.0,14714169844.0,25557537298.0,53.893
5,2,111,0.82,0.64,1,1,1,1,89,1,1,21,0,1,97,106,5,8,242,61,509,30,2,22,446,1,1,8,8,319.735,11969748.245,212.42,16105405.073,1491.56,6.285,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7519.0,133780.0,743256942.0,5728425690.0,781859023.0,776059055.333,38.0,296148.333,296243.0,107292683497.667,1953799.333,1953967.0,130407167730.0,2288832886.0,37681732418.333,15199622149.333,62562433.0,74829472.0,240058568.0,463.667,196.667,1355.333,14731255230.667,24838666188.0,44.971
7,4,50,0.45,0.61,1,1,1,0,82,1,1,24,1,6,56,76,4,4,234,29,265,26,3,97,495,5,7,6,9,455.823,15192132.37,331.808,18345117.502,1486.053,4.703,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7253.667,132065.667,745472849.333,6338093247.667,807109133.667,802221126.0,45.0,550287.333,550384.0,108448711850.0,1970885.0,1971050.0,125138315894.333,2406286089.0,37627276301.667,15767257935.667,62363612.333,86717394.333,280451753.667,6934.667,4092.333,12971.667,15755829636.0,23860314666.333,47.126
5,5,46,0.59,0.38,1,0,1,1,56,0,0,63,1,5,90,87,8,7,525,19,436,35,2,63,238,4,4,3,8,383.782,13392024.012,219.808,17059745.383,1503.32,9.912,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7387.667,129950.333,749986164.667,5690216334.0,766955031.667,775994298.333,38.0,321305.0,321392.0,103759780419.667,1941658.0,1941819.0,122949625006.667,2226906769.333,36746771525.0,15108703370.667,64230566.667,73527191.0,248630118.0,3.0,3.0,962.667,14343561894.333,24009767135.0,47.926
