spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
# thuge
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,849.332,18781040.641,9642.528,2749079087.267,1685.167,3435.266,0.04,37327313.661,3425266.571,5.943,3519.561,12109799.825,2450622.762,1165853.866,21881.667,396734.667,619495801.333,4363738602.667,430131065.0,430698355.333,62.0,329122.0,329222.333,62993679710.0,1168650.0,1168799.333,54050465203.333,1365448239.333,17505795367.0,7646489388.667,50382600.333,67455802.333,149306823.333,325.667,203.333,1193.333,6638222893.0,11600927275.667,162.184
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,5385.194,145495936.101,17719.052,6092254578.733,1860.819,1729.399,0.135,189173496.833,34733917.67,1.306,7843.556,41203811.594,2458274.01,2485716.167,24664.0,491659.0,627274840.667,4421700701.0,452014534.333,433716591.333,488.667,303031.0,303580.0,68813994504.333,1401195.0,1401343.333,57123930182.0,1414640402.0,18571629328.0,8102073524.0,61618229.333,76052461.667,167781491.667,425.0,318.667,1619.667,7414800634.667,11416814149.0,209.381
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,168.249,3778232.643,2695.226,1339610054.083,1612.269,477.206,0.018,0.0,0.0,77.586,450.403,971739.076,3012342.115,318910.702,25414.333,184322.333,767063235.667,6822754526.333,596468607.333,601419303.333,37111.0,706617.333,743805.0,158602445846.333,13464819.0,13464971.333,146117710815.667,4803132378.0,42785308681.333,18700785328.333,61155711.667,109507067.333,336892852.333,3269.333,2500.0,12013.667,18465397821.667,29853454975.667,506.251
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,139.828,5489978.213,3067.616,1273929697.395,1565.839,677.116,0.046,0.0,0.0,17.406,957.498,3852084.387,1972346.896,513349.637,9458.667,85896.667,578070479.0,3155821806.667,380801185.667,387524487.333,47.0,343940.333,344021.667,59398390227.667,397555.333,397708.333,60607987410.667,1361937615.333,18509327896.667,7421646229.333,52004195.333,57625823.333,144975498.0,0.0,76.333,810.667,6968394313.333,12366019379.333,105.38
2,3,95,0.59,0.49,1,0,2,1,86,1,1,109,0,5,82,197,8,6,698,44,481,6,1,55,270,12,8,4,3,63.441,4511735.319,1800.265,984752424.183,1573.889,446.865,0.014,0.0,0.0,45.13,243.705,3477136.89,4091364.758,405801.701,10486.0,161810.0,678561898.667,3729640592.667,427684352.667,430643831.333,151.667,369271.333,369457.0,66152548704.667,587380.0,587528.667,62693236879.333,1659945453.333,20685271053.0,7893821656.333,67420842.333,57748432.333,161442454.667,145.333,97.333,779.0,7733912644.0,12496501056.667,221.953
2,3,59,0.77,0.44,0,1,2,0,98,0,0,111,0,4,98,130,10,3,909,46,419,13,1,75,436,8,1,6,3,74.61,5427666.382,2677.137,1434367553.224,1531.882,197.5,0.018,0.0,0.0,19.578,857.781,6331202.694,4252253.189,562871.413,7279.333,103151.333,542470537.0,3137963709.0,390935752.333,388002355.0,93.333,362193.667,362317.0,58882491895.333,437268.667,437419.333,58682849756.0,1400476686.667,17861935458.333,7001440580.667,51287520.0,75882231.667,155998432.333,688.667,593.667,2814.0,7022855197.667,10938510924.333,170.551
2,2,74,0.35,0.58,0,1,1,1,95,0,0,38,1,5,121,8,4,8,290,92,499,47,2,30,377,11,6,5,2,63.372,5021573.512,1858.02,1111215098.756,1567.31,349.383,0.031,0.0,0.0,18.417,268.177,3669258.159,1839201.191,484847.753,8631.0,82337.333,500862700.667,2901511617.667,374280511.667,372012437.0,48.667,267663.333,267739.333,54194998180.333,389425.333,389580.333,55314382853.667,1227974987.333,17261304205.333,6978760658.0,42286653.333,47412124.667,135753053.0,35.0,0.0,539.667,6508983378.333,11391420763.667,124.301
2,4,101,0.64,0.78,1,1,1,0,40,0,0,124,1,2,24,186,7,9,826,39,405,11,1,51,461,11,9,5,6,513.214,11946047.321,2490.345,1071450167.786,1635.456,366.637,0.039,0.0,0.0,13.828,783.298,3654792.208,766106.062,387908.624,18577.667,102582.0,624971220.333,3390963052.333,425182103.667,425202435.667,86.333,399332.0,399450.333,70415975640.333,443858.0,444011.333,63066293224.333,1545363900.333,19677492583.333,7895612181.667,60058948.667,71486843.0,169938144.667,199.333,185.0,1174.333,7460911036.333,11990899871.0,114.209
6,4,47,0.84,0.7,1,1,2,1,88,1,1,37,1,4,46,5,8,4,252,82,522,32,0,40,482,10,6,3,2,279.352,7658696.177,6606.29,1798733775.75,1547.583,2743.38,0.097,0.0,0.0,12.444,2335.769,5430799.206,2792985.347,645373.302,7938.333,79858.667,524167014.333,2653968125.667,364535113.333,359080635.0,47.0,256712.0,256782.333,49361348884.333,376828.333,376975.0,47763384794.0,1050935295.667,15310334706.0,6642374059.0,36081316.333,43130625.0,125685419.0,8.333,8.0,527.333,5970264194.667,9797658453.667,117.199
6,5,62,0.47,0.56,0,0,0,1,66,0,1,96,1,4,70,166,6,8,118,10,735,9,1,98,468,9,5,4,9,224.563,5900008.356,5711.62,1347210587.097,1563.946,2928.082,0.072,1889752.476,343472.599,9.196,1770.017,3678130.136,2381828.845,515531.765,12360.0,125097.0,569665521.667,3394077169.0,409452682.0,417818956.333,64.0,343217.667,343322.0,63993678454.0,494993.667,495141.333,62751133004.667,1414424549.667,18946115124.0,7372060488.333,58576398.333,80901284.333,161025727.333,62.333,87.667,1423.0,7396120147.0,11584335423.0,181.793
7,5,117,0.33,0.47,0,1,1,0,67,1,0,95,0,6,110,23,7,9,462,26,550,18,2,79,229,14,2,6,4,150.486,4292843.066,4638.734,998918106.511,1667.21,537.996,0.02,0.0,0.0,44.536,2807.339,3938669.572,2964332.179,375590.127,10285.333,104265.0,821416327.0,3897165440.0,461353570.333,458168140.667,57.0,349910.667,350009.667,78329339716.333,448178.333,448332.667,93071912198.333,1824510453.667,26226434052.667,9188495309.333,79534435.333,65110545.0,164343601.0,8.0,2.667,1132.667,8654478450.333,18304379082.0,159.905
6,2,113,0.51,0.37,0,0,1,0,97,1,1,54,1,6,52,163,9,7,949,100,830,48,2,60,437,12,5,5,7,134.581,4239125.038,3030.488,933572692.407,1601.945,602.138,0.023,0.0,0.0,29.503,1304.32,2658375.191,1422812.446,356225.926,10201.0,88148.333,550708874.0,2999538473.667,399467599.333,398392468.333,47.0,271011.333,271106.667,59226855898.0,406643.667,406799.667,63450545400.0,1294836824.667,17978087117.0,7028416011.0,48870914.0,53773633.667,142635001.0,0.0,0.0,634.333,6986223307.667,12318368101.333,110.219
4,2,78,0.89,0.49,1,1,1,1,114,0,0,100,0,6,9,3,9,9,386,55,466,44,0,95,118,5,2,5,4,121.229,4957609.781,4264.167,1311664047.891,1569.546,827.861,0.024,0.0,0.0,20.883,2079.953,5701867.822,3049098.399,467591.588,7256.333,84811.667,531103083.333,3098887102.333,377302593.0,382470129.333,52.0,287767.667,287848.333,54957024652.0,392766.667,392911.0,54764451745.333,1345004223.333,17748043691.333,7261920450.333,42847949.0,50283619.333,134694719.0,191.667,115.0,1089.667,6523027120.0,11298554881.333,156.695
1,4,45,0.76,0.6,0,0,2,0,123,1,0,10,1,2,93,58,7,5,671,43,240,30,0,65,121,8,2,4,5,532.064,24657602.31,3748.168,1756545178.581,1641.641,317.971,0.056,0.0,0.0,4.171,1381.608,7473838.127,993156.546,661429.074,9979.0,81975.0,436685527.667,2677477845.333,355908025.333,353996282.333,47.0,279252.0,279332.667,52406890783.667,386046.333,386192.667,51778407396.667,1031815928.333,16038079413.333,6686884535.333,49745053.333,51115270.333,137055546.333,113.667,113.333,1119.333,6320969220.0,9674208645.333,127.027
8,5,36,0.65,0.88,1,1,2,1,33,0,1,15,1,5,106,102,5,5,775,56,846,32,1,45,422,4,5,1,7,518.022,9642617.91,18969.926,2001025330.045,1541.683,12899.449,0.043,0.0,0.0,9.798,6580.067,6325472.7,3210701.277,744288.582,8263.667,92607.667,523516107.333,2957813638.0,375035831.0,377872213.667,84.667,278192.667,278310.0,53513964576.333,405996.333,406141.667,50364621899.667,1204344725.0,16599045891.333,6983843241.667,36676845.667,48489359.0,126743643.0,490.0,137.667,1305.0,6085941243.667,10765362665.333,223.545
7,1,112,0.39,0.68,0,1,2,1,77,1,0,46,1,6,48,64,3,9,786,107,976,18,1,27,284,12,8,1,5,162.831,4367899.693,8128.496,945122540.783,1600.168,5166.141,0.024,0.0,0.0,27.978,2865.076,3018544.745,1554423.158,358669.185,9911.0,115599.0,819944618.0,4261925202.333,463300058.667,465893251.667,91.333,294365.333,294494.0,71808650416.667,474350.667,474495.333,74356838888.0,1765535179.667,22678865631.667,8296225476.667,56953673.333,67884116.0,156896996.333,17.667,54.333,941.667,8242973572.333,14031636508.0,248.317
3,6,115,0.69,0.48,1,1,2,1,103,0,1,63,1,5,116,152,6,5,869,59,269,45,2,80,163,4,4,2,8,65.155,4061784.43,1568.781,834563322.142,1589.002,497.81,0.015,0.0,0.0,81.069,148.845,1069103.805,3403315.835,351456.265,7122.333,97875.667,660872236.667,3440791604.333,415730473.667,417074528.333,167.333,317370.0,317576.0,63626847396.667,428637.0,428785.333,68258563816.333,1389858332.667,20282958069.333,7899335779.333,60965525.0,67008974.0,157877950.333,155.0,79.0,869.333,7612397959.0,13603534156.333,208.483
5,5,105,0.82,0.61,0,1,0,1,41,0,0,68,0,3,2,145,7,7,338,18,615,28,1,42,372,4,7,2,7,115.721,4243963.706,5823.697,960592122.449,1590.546,2533.72,0.019,0.0,0.0,35.492,2648.992,4147332.222,2873475.877,376737.417,8014.0,105255.333,564119987.667,3261066582.0,411877998.333,419627739.667,192.667,308010.0,308244.0,57998725700.333,445097.667,445245.0,56890968576.667,1264036207.667,17753934412.333,7227434225.0,52240785.0,51503285.0,132995359.333,242.333,221.0,1422.0,6603359196.667,11147627971.333,260.896
